Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,CLASS    38,MACLEAN R B,A,15
W15,Undergraduate,CLASS    38,MACLEAN R B,A-,15
W15,Undergraduate,CLASS    38,MACLEAN R B,B+,10
W15,Undergraduate,CLASS    38,MACLEAN R B,B,7
W15,Undergraduate,CLASS    38,MACLEAN R B,B-,3
W15,Undergraduate,CLASS    38,MACLEAN R B,C+,1
W15,Undergraduate,CLASS    38,MACLEAN R B,C,4
W15,Undergraduate,CLASS    38,MACLEAN R B,C-,1
W15,Undergraduate,CLASS    38,MACLEAN R B,D,1
W15,Undergraduate,CLASS    38,MACLEAN R B,F,2
W15,Undergraduate,CLASS    39,GALLUCCI R,A+,5
W15,Undergraduate,CLASS    39,GALLUCCI R,A,24
W15,Undergraduate,CLASS    39,GALLUCCI R,A-,18
W15,Undergraduate,CLASS    39,GALLUCCI R,B+,9
W15,Undergraduate,CLASS    39,GALLUCCI R,B,22
W15,Undergraduate,CLASS    39,GALLUCCI R,B-,7
W15,Undergraduate,CLASS    39,GALLUCCI R,C+,2
W15,Undergraduate,CLASS    39,GALLUCCI R,C,5
W15,Undergraduate,CLASS    39,GALLUCCI R,F,2
W15,Undergraduate,CLASS    40,MORALES H L,A+,5
W15,Undergraduate,CLASS    40,MORALES H L,A,62
W15,Undergraduate,CLASS    40,MORALES H L,A-,108
W15,Undergraduate,CLASS    40,MORALES H L,B+,121
W15,Undergraduate,CLASS    40,MORALES H L,B,139
W15,Undergraduate,CLASS    40,MORALES H L,B-,68
W15,Undergraduate,CLASS    40,MORALES H L,C+,51
W15,Undergraduate,CLASS    40,MORALES H L,C,37
W15,Undergraduate,CLASS    40,MORALES H L,C-,15
W15,Undergraduate,CLASS    40,MORALES H L,D+,8
W15,Undergraduate,CLASS    40,MORALES H L,D,9
W15,Undergraduate,CLASS    40,MORALES H L,D-,8
W15,Undergraduate,CLASS    40,MORALES H L,F,25
W15,Undergraduate,CLASS    80A,GALLUCCI R,A+,3
W15,Undergraduate,CLASS    80A,GALLUCCI R,A,45
W15,Undergraduate,CLASS    80A,GALLUCCI R,A-,16
W15,Undergraduate,CLASS    80A,GALLUCCI R,B+,11
W15,Undergraduate,CLASS    80A,GALLUCCI R,B,16
W15,Undergraduate,CLASS    80A,GALLUCCI R,B-,11
W15,Undergraduate,CLASS    80A,GALLUCCI R,C+,11
W15,Undergraduate,CLASS    80A,GALLUCCI R,C,12
W15,Undergraduate,CLASS    80A,GALLUCCI R,F,1
W15,Undergraduate,CLASS    80AH,GALLUCCI R,A+,2
W15,Undergraduate,CLASS    80AH,GALLUCCI R,A,8
W15,Undergraduate,CLASS    80AH,GALLUCCI R,B+,3
W15,Undergraduate,CLASS   160,ERICKSON B L,A,8
W15,Undergraduate,CLASS   160,ERICKSON B L,A-,3
W15,Undergraduate,CLASS   160,ERICKSON B L,B,1
W15,Undergraduate,CLASS   160,ERICKSON B L,D,1
W15,Undergraduate,CLASS   170,ERICKSON B L,A+,3
W15,Undergraduate,CLASS   170,ERICKSON B L,A,17
W15,Undergraduate,CLASS   170,ERICKSON B L,A-,18
W15,Undergraduate,CLASS   170,ERICKSON B L,B+,9
W15,Undergraduate,CLASS   170,ERICKSON B L,B,12
W15,Undergraduate,CLASS   170,ERICKSON B L,B-,8
W15,Undergraduate,CLASS   170,ERICKSON B L,D-,1
W15,Undergraduate,CLASS   170,ERICKSON B L,F,1
W15,Undergraduate,CLASS   180A,PATTEN G,A-,1
W15,Undergraduate,CLASS   180A,PATTEN G,B+,1
W15,Undergraduate,CLASS   180A,PATTEN G,B,1
W15,Undergraduate,CLASS   180A,PATTEN G,B-,1
W15,Undergraduate,CLASS   180A,PATTEN G,C+,1
W15,Undergraduate,CLASS   180A,PATTEN G,C,1
W15,Undergraduate,CLASS   180A,PATTEN G,D+,1
W15,Graduate,CLASS   212,LINDHEIM S H,A+,1
W15,Graduate,CLASS   212,LINDHEIM S H,A,3
W15,Graduate,CLASS   212,LINDHEIM S H,A-,2
W15,Graduate,CLASS   233,MORSTEIN-MARX,A,4
W15,Graduate,CLASS   233,MORSTEIN-MARX,A-,3
W15,Graduate,CLASS   233,MORSTEIN-MARX,B+,1
