Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,CMPSC     2,KOC C K,A+,1
W15,Undergraduate,CMPSC     2,KOC C K,A,4
W15,Undergraduate,CMPSC     2,KOC C K,A-,5
W15,Undergraduate,CMPSC     2,KOC C K,B+,2
W15,Undergraduate,CMPSC     2,KOC C K,C,2
W15,Undergraduate,CMPSC     8,COSTANZO C,A+,4
W15,Undergraduate,CMPSC     8,COSTANZO C,A,40
W15,Undergraduate,CMPSC     8,COSTANZO C,A-,11
W15,Undergraduate,CMPSC     8,COSTANZO C,B+,12
W15,Undergraduate,CMPSC     8,COSTANZO C,B,32
W15,Undergraduate,CMPSC     8,COSTANZO C,B-,2
W15,Undergraduate,CMPSC     8,COSTANZO C,C,3
W15,Undergraduate,CMPSC     8,COSTANZO C,C-,1
W15,Undergraduate,CMPSC     8,COSTANZO C,F,1
W15,Undergraduate,CMPSC     8,EGECIOGLU O,A+,3
W15,Undergraduate,CMPSC     8,EGECIOGLU O,A,14
W15,Undergraduate,CMPSC     8,EGECIOGLU O,A-,10
W15,Undergraduate,CMPSC     8,EGECIOGLU O,B+,11
W15,Undergraduate,CMPSC     8,EGECIOGLU O,B,18
W15,Undergraduate,CMPSC     8,EGECIOGLU O,B-,16
W15,Undergraduate,CMPSC     8,EGECIOGLU O,C+,10
W15,Undergraduate,CMPSC     8,EGECIOGLU O,C,8
W15,Undergraduate,CMPSC     8,EGECIOGLU O,C-,4
W15,Undergraduate,CMPSC     8,EGECIOGLU O,D+,1
W15,Undergraduate,CMPSC     8,EGECIOGLU O,D,2
W15,Undergraduate,CMPSC     8,EGECIOGLU O,F,1
W15,Undergraduate,CMPSC    16,BUONI M J,A+,3
W15,Undergraduate,CMPSC    16,BUONI M J,A,17
W15,Undergraduate,CMPSC    16,BUONI M J,A-,12
W15,Undergraduate,CMPSC    16,BUONI M J,B+,16
W15,Undergraduate,CMPSC    16,BUONI M J,B,10
W15,Undergraduate,CMPSC    16,BUONI M J,B-,11
W15,Undergraduate,CMPSC    16,BUONI M J,C+,5
W15,Undergraduate,CMPSC    16,BUONI M J,C,2
W15,Undergraduate,CMPSC    16,BUONI M J,C-,4
W15,Undergraduate,CMPSC    16,BUONI M J,D,1
