Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,COMM      1,MULLIN D I,A+,3
W15,Undergraduate,COMM      1,MULLIN D I,A,38
W15,Undergraduate,COMM      1,MULLIN D I,A-,53
W15,Undergraduate,COMM      1,MULLIN D I,B+,76
W15,Undergraduate,COMM      1,MULLIN D I,B,51
W15,Undergraduate,COMM      1,MULLIN D I,B-,65
W15,Undergraduate,COMM      1,MULLIN D I,C+,72
W15,Undergraduate,COMM      1,MULLIN D I,C,56
W15,Undergraduate,COMM      1,MULLIN D I,C-,27
W15,Undergraduate,COMM      1,MULLIN D I,D+,24
W15,Undergraduate,COMM      1,MULLIN D I,D,12
W15,Undergraduate,COMM      1,MULLIN D I,D-,6
W15,Undergraduate,COMM      1,MULLIN D I,F,25
W15,Undergraduate,COMM     87,WEBER R,A,3
W15,Undergraduate,COMM     87,WEBER R,A-,10
W15,Undergraduate,COMM     87,WEBER R,B+,20
W15,Undergraduate,COMM     87,WEBER R,B,24
W15,Undergraduate,COMM     87,WEBER R,B-,21
W15,Undergraduate,COMM     87,WEBER R,C+,15
W15,Undergraduate,COMM     87,WEBER R,C,16
W15,Undergraduate,COMM     87,WEBER R,C-,15
W15,Undergraduate,COMM     87,WEBER R,D+,5
W15,Undergraduate,COMM     87,WEBER R,D,4
W15,Undergraduate,COMM     87,WEBER R,D-,6
W15,Undergraduate,COMM     87,WEBER R,F,9
W15,Undergraduate,COMM     89,JANSMA L L,A,33
W15,Undergraduate,COMM     89,JANSMA L L,A-,56
W15,Undergraduate,COMM     89,JANSMA L L,B+,62
W15,Undergraduate,COMM     89,JANSMA L L,B,68
W15,Undergraduate,COMM     89,JANSMA L L,B-,35
W15,Undergraduate,COMM     89,JANSMA L L,C+,14
W15,Undergraduate,COMM     89,JANSMA L L,C,9
W15,Undergraduate,COMM     89,JANSMA L L,C-,6
W15,Undergraduate,COMM     89,JANSMA L L,D+,1
W15,Undergraduate,COMM     89,JANSMA L L,D,3
W15,Undergraduate,COMM     89,JANSMA L L,F,2
W15,Undergraduate,COMM    104,REID S A,A+,2
W15,Undergraduate,COMM    104,REID S A,A,15
W15,Undergraduate,COMM    104,REID S A,A-,7
W15,Undergraduate,COMM    104,REID S A,B+,13
W15,Undergraduate,COMM    104,REID S A,B,25
W15,Undergraduate,COMM    104,REID S A,B-,4
W15,Undergraduate,COMM    104,REID S A,C+,4
W15,Undergraduate,COMM    104,REID S A,C,3
W15,Undergraduate,COMM    104,REID S A,C-,1
W15,Undergraduate,COMM    104,REID S A,F,1
W15,Undergraduate,COMM    111,GANGI K E,A+,1
W15,Undergraduate,COMM    111,GANGI K E,A,3
W15,Undergraduate,COMM    111,GANGI K E,A-,4
W15,Undergraduate,COMM    111,GANGI K E,B+,8
W15,Undergraduate,COMM    111,GANGI K E,B,9
W15,Undergraduate,COMM    111,GANGI K E,B-,3
W15,Undergraduate,COMM    111,GANGI K E,C+,7
W15,Undergraduate,COMM    111,GANGI K E,C,5
W15,Undergraduate,COMM    112,MASTRO D E,A+,3
W15,Undergraduate,COMM    112,MASTRO D E,A,26
W15,Undergraduate,COMM    112,MASTRO D E,A-,14
W15,Undergraduate,COMM    112,MASTRO D E,B+,9
W15,Undergraduate,COMM    112,MASTRO D E,B,20
W15,Undergraduate,COMM    112,MASTRO D E,B-,10
W15,Undergraduate,COMM    112,MASTRO D E,C+,4
W15,Undergraduate,COMM    112,MASTRO D E,C,3
W15,Undergraduate,COMM    112,MASTRO D E,C-,1
W15,Undergraduate,COMM    114,MULLIN C R,A+,1
W15,Undergraduate,COMM    114,MULLIN C R,A,8
W15,Undergraduate,COMM    114,MULLIN C R,A-,6
W15,Undergraduate,COMM    114,MULLIN C R,B+,6
W15,Undergraduate,COMM    114,MULLIN C R,B,10
W15,Undergraduate,COMM    114,MULLIN C R,B-,14
W15,Undergraduate,COMM    114,MULLIN C R,C+,6
W15,Undergraduate,COMM    114,MULLIN C R,C,3
W15,Undergraduate,COMM    114,MULLIN C R,C-,3
W15,Undergraduate,COMM    114,MULLIN C R,D+,7
W15,Undergraduate,COMM    114,MULLIN C R,D,5
W15,Undergraduate,COMM    114,MULLIN C R,D-,1
W15,Undergraduate,COMM    114,MULLIN C R,F,4
W15,Undergraduate,COMM    118,FLANAGIN A J,A,10
W15,Undergraduate,COMM    118,FLANAGIN A J,A-,4
W15,Undergraduate,COMM    118,FLANAGIN A J,B+,7
W15,Undergraduate,COMM    118,FLANAGIN A J,B,15
W15,Undergraduate,COMM    118,FLANAGIN A J,B-,1
W15,Undergraduate,COMM    118,FLANAGIN A J,C+,3
W15,Undergraduate,COMM    118,FLANAGIN A J,C,23
W15,Undergraduate,COMM    118,FLANAGIN A J,C-,1
W15,Undergraduate,COMM    118,FLANAGIN A J,D+,2
W15,Undergraduate,COMM    118,FLANAGIN A J,D,3
W15,Undergraduate,COMM    122,DAVIS C W,A,1
W15,Undergraduate,COMM    122,DAVIS C W,A-,8
W15,Undergraduate,COMM    122,DAVIS C W,B+,12
W15,Undergraduate,COMM    122,DAVIS C W,B,14
W15,Undergraduate,COMM    122,DAVIS C W,B-,14
