Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,EARTH     2,THOMAS S F,A,13
W15,Undergraduate,EARTH     2,THOMAS S F,A-,9
W15,Undergraduate,EARTH     2,THOMAS S F,B+,10
W15,Undergraduate,EARTH     2,THOMAS S F,B,20
W15,Undergraduate,EARTH     2,THOMAS S F,B-,24
W15,Undergraduate,EARTH     2,THOMAS S F,C+,33
W15,Undergraduate,EARTH     2,THOMAS S F,C,29
W15,Undergraduate,EARTH     2,THOMAS S F,C-,9
W15,Undergraduate,EARTH     2,THOMAS S F,D,10
W15,Undergraduate,EARTH     2,THOMAS S F,F,7
W15,Undergraduate,EARTH     4,PETERSON C D,A,24
W15,Undergraduate,EARTH     4,PETERSON C D,A-,28
W15,Undergraduate,EARTH     4,PETERSON C D,B+,22
W15,Undergraduate,EARTH     4,PETERSON C D,B,38
W15,Undergraduate,EARTH     4,PETERSON C D,B-,15
W15,Undergraduate,EARTH     4,PETERSON C D,C+,14
W15,Undergraduate,EARTH     4,PETERSON C D,C,4
W15,Undergraduate,EARTH     4,PETERSON C D,C-,2
W15,Undergraduate,EARTH     4,PETERSON C D,D+,2
W15,Undergraduate,EARTH     4,PETERSON C D,D,4
W15,Undergraduate,EARTH     4,PETERSON C D,F,5
W15,Undergraduate,EARTH     9,JI C,A+,7
W15,Undergraduate,EARTH     9,JI C,A,7
W15,Undergraduate,EARTH     9,JI C,A-,1
W15,Undergraduate,EARTH     9,JI C,B+,8
W15,Undergraduate,EARTH     9,JI C,B,18
W15,Undergraduate,EARTH     9,JI C,B-,2
W15,Undergraduate,EARTH     9,JI C,C+,12
W15,Undergraduate,EARTH     9,JI C,C-,1
W15,Undergraduate,EARTH     9,JI C,D,1
W15,Undergraduate,EARTH     9,JI C,D-,1
W15,Undergraduate,EARTH     9,JI C,F,3
W15,Undergraduate,EARTH    10,HAGEN-PETER G,A,28
W15,Undergraduate,EARTH    10,HAGEN-PETER G,A-,27
W15,Undergraduate,EARTH    10,HAGEN-PETER G,B+,39
W15,Undergraduate,EARTH    10,HAGEN-PETER G,B,34
W15,Undergraduate,EARTH    10,HAGEN-PETER G,B-,13
W15,Undergraduate,EARTH    10,HAGEN-PETER G,C+,11
W15,Undergraduate,EARTH    10,HAGEN-PETER G,C,5
W15,Undergraduate,EARTH    10,HAGEN-PETER G,C-,2
W15,Undergraduate,EARTH    10,HAGEN-PETER G,D-,3
W15,Undergraduate,EARTH    20,MCATAMNEY J J,A+,24
W15,Undergraduate,EARTH    20,MCATAMNEY J J,A,33
W15,Undergraduate,EARTH    20,MCATAMNEY J J,A-,53
W15,Undergraduate,EARTH    20,MCATAMNEY J J,B+,55
W15,Undergraduate,EARTH    20,MCATAMNEY J J,B,19
W15,Undergraduate,EARTH    20,MCATAMNEY J J,B-,6
W15,Undergraduate,EARTH    20,MCATAMNEY J J,C+,4
W15,Undergraduate,EARTH    20,MCATAMNEY J J,F,1
W15,Undergraduate,EARTH    30,AWRAMIK S M,A+,1
W15,Undergraduate,EARTH    30,AWRAMIK S M,A,3
W15,Undergraduate,EARTH    30,AWRAMIK S M,A-,7
W15,Undergraduate,EARTH    30,AWRAMIK S M,B+,8
W15,Undergraduate,EARTH    30,AWRAMIK S M,B,9
W15,Undergraduate,EARTH    30,AWRAMIK S M,B-,12
W15,Undergraduate,EARTH    30,AWRAMIK S M,C+,10
W15,Undergraduate,EARTH    30,AWRAMIK S M,C,13
W15,Undergraduate,EARTH    30,AWRAMIK S M,C-,5
W15,Undergraduate,EARTH    30,AWRAMIK S M,D,2
W15,Undergraduate,EARTH    30,AWRAMIK S M,F,7
W15,Undergraduate,EARTH    30H,AWRAMIK S M,A,9
W15,Undergraduate,EARTH   103,GANS P B,A,3
W15,Undergraduate,EARTH   103,GANS P B,B+,1
W15,Undergraduate,EARTH   103,GANS P B,B,3
W15,Undergraduate,EARTH   103,GANS P B,B-,2
W15,Undergraduate,EARTH   103,GANS P B,C+,2
W15,Undergraduate,EARTH   103,GANS P B,C,2
W15,Undergraduate,EARTH   103,GANS P B,C-,2
W15,Undergraduate,EARTH   103,GANS P B,D+,2
W15,Undergraduate,EARTH   103,GANS P B,D,1
W15,Undergraduate,EARTH   103,GANS P B,F,2
W15,Undergraduate,EARTH   103,GARBER J M,A,3
W15,Undergraduate,EARTH   103,GARBER J M,B+,1
W15,Undergraduate,EARTH   103,GARBER J M,B,3
W15,Undergraduate,EARTH   103,GARBER J M,B-,2
W15,Undergraduate,EARTH   103,GARBER J M,C+,2
W15,Undergraduate,EARTH   103,GARBER J M,C,2
W15,Undergraduate,EARTH   103,GARBER J M,C-,2
W15,Undergraduate,EARTH   103,GARBER J M,D+,2
W15,Undergraduate,EARTH   103,GARBER J M,D,1
W15,Undergraduate,EARTH   103,GARBER J M,F,2
W15,Undergraduate,EARTH   106,LISIECKI L E,A+,2
W15,Undergraduate,EARTH   106,LISIECKI L E,A,3
W15,Undergraduate,EARTH   106,LISIECKI L E,A-,3
W15,Undergraduate,EARTH   106,LISIECKI L E,B,1
W15,Undergraduate,EARTH   111,MOORE J,A+,1
W15,Undergraduate,EARTH   111,MOORE J,A,3
W15,Undergraduate,EARTH   111,MOORE J,A-,6
W15,Undergraduate,EARTH   111,MOORE J,B+,5
W15,Undergraduate,EARTH   111,MOORE J,B,7
W15,Undergraduate,EARTH   111,MOORE J,B-,5
W15,Undergraduate,EARTH   111,MOORE J,C+,7
W15,Undergraduate,EARTH   111,MOORE J,C,5
W15,Undergraduate,EARTH   111,MOORE J,C-,4
W15,Undergraduate,EARTH   111,MOORE J,D,3
W15,Undergraduate,EARTH   111,MOORE J,D-,1
W15,Undergraduate,EARTH   111,MOORE J,F,4
W15,Undergraduate,EARTH   111,TIFFNEY B H,A+,1
W15,Undergraduate,EARTH   111,TIFFNEY B H,A,3
W15,Undergraduate,EARTH   111,TIFFNEY B H,A-,6
W15,Undergraduate,EARTH   111,TIFFNEY B H,B+,5
W15,Undergraduate,EARTH   111,TIFFNEY B H,B,7
W15,Undergraduate,EARTH   111,TIFFNEY B H,B-,5
W15,Undergraduate,EARTH   111,TIFFNEY B H,C+,7
W15,Undergraduate,EARTH   111,TIFFNEY B H,C,5
W15,Undergraduate,EARTH   111,TIFFNEY B H,C-,4
W15,Undergraduate,EARTH   111,TIFFNEY B H,D,3
W15,Undergraduate,EARTH   111,TIFFNEY B H,D-,1
W15,Undergraduate,EARTH   111,TIFFNEY B H,F,4
W15,Undergraduate,EARTH   111L,TIFFNEY B H,A-,5
W15,Undergraduate,EARTH   111L,TIFFNEY B H,B+,2
W15,Undergraduate,EARTH   111L,TIFFNEY B H,B,1
W15,Undergraduate,EARTH   111L,TIFFNEY B H,B-,2
W15,Undergraduate,EARTH   111L,TIFFNEY B H,C,2
W15,Undergraduate,EARTH   115,RIOUX M E,A,5
W15,Undergraduate,EARTH   115,RIOUX M E,A-,2
W15,Undergraduate,EARTH   115,RIOUX M E,B+,1
W15,Undergraduate,EARTH   115,RIOUX M E,B,2
W15,Undergraduate,EARTH   115,RIOUX M E,B-,1
W15,Undergraduate,EARTH   121,SWEET S S,A,2
W15,Undergraduate,EARTH   121,SWEET S S,B+,1
W15,Undergraduate,EARTH   121,SWEET S S,B,1
W15,Undergraduate,EARTH   121,SWEET S S,B-,1
W15,Undergraduate,EARTH   121,SWEET S S,C+,1
W15,Undergraduate,EARTH   121,SWEET S S,C,1
W15,Undergraduate,EARTH   121,SWEET S S,C-,2
W15,Undergraduate,EARTH   121,SWEET S S,F,1
W15,Undergraduate,EARTH   123,SPERA F J,A,2
W15,Undergraduate,EARTH   123,SPERA F J,A-,6
W15,Undergraduate,EARTH   123,SPERA F J,B+,7
W15,Undergraduate,EARTH   123,SPERA F J,B,5
W15,Undergraduate,EARTH   123,SPERA F J,B-,1
W15,Undergraduate,EARTH   123,SPERA F J,C+,4
W15,Undergraduate,EARTH   123,SPERA F J,C,1
W15,Undergraduate,EARTH   123,SPERA F J,D,1
W15,Undergraduate,EARTH   123,SPERA F J,D-,1
W15,Undergraduate,EARTH   123,SPERA F J,F,1
W15,Undergraduate,EARTH   124IG,JACKSON M G,A+,1
W15,Undergraduate,EARTH   124IG,JACKSON M G,A,1
W15,Undergraduate,EARTH   124IG,JACKSON M G,A-,4
W15,Undergraduate,EARTH   124IG,JACKSON M G,B+,1
W15,Undergraduate,EARTH   124IG,JACKSON M G,B,1
W15,Undergraduate,EARTH   124IG,JACKSON M G,B-,1
W15,Undergraduate,EARTH   124IG,JACKSON M G,C+,1
W15,Undergraduate,EARTH   130,LEA D W,A,13
W15,Undergraduate,EARTH   130,LEA D W,A-,10
W15,Undergraduate,EARTH   130,LEA D W,B+,8
W15,Undergraduate,EARTH   130,LEA D W,B,22
W15,Undergraduate,EARTH   130,LEA D W,B-,6
W15,Undergraduate,EARTH   130,LEA D W,C+,4
W15,Undergraduate,EARTH   130,LEA D W,C,12
W15,Undergraduate,EARTH   130,LEA D W,C-,3
