Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,ECON      1,BEDARD K L,A,44
W15,Undergraduate,ECON      1,BEDARD K L,A-,45
W15,Undergraduate,ECON      1,BEDARD K L,B+,67
W15,Undergraduate,ECON      1,BEDARD K L,B,62
W15,Undergraduate,ECON      1,BEDARD K L,B-,70
W15,Undergraduate,ECON      1,BEDARD K L,C+,81
W15,Undergraduate,ECON      1,BEDARD K L,C,328
W15,Undergraduate,ECON      1,BEDARD K L,C-,19
W15,Undergraduate,ECON      1,BEDARD K L,D+,4
W15,Undergraduate,ECON      1,BEDARD K L,D,3
W15,Undergraduate,ECON      1,BEDARD K L,D-,2
W15,Undergraduate,ECON      1,BEDARD K L,F,7
W15,Undergraduate,ECON      2,RUPERT P,A,28
W15,Undergraduate,ECON      2,RUPERT P,A-,28
W15,Undergraduate,ECON      2,RUPERT P,B+,45
W15,Undergraduate,ECON      2,RUPERT P,B,42
W15,Undergraduate,ECON      2,RUPERT P,B-,57
W15,Undergraduate,ECON      2,RUPERT P,C+,38
W15,Undergraduate,ECON      2,RUPERT P,C,123
W15,Undergraduate,ECON      2,RUPERT P,C-,71
W15,Undergraduate,ECON      2,RUPERT P,F,25
W15,Undergraduate,ECON      3A,ANDERSON R W,A+,2
W15,Undergraduate,ECON      3A,ANDERSON R W,A,9
W15,Undergraduate,ECON      3A,ANDERSON R W,A-,10
W15,Undergraduate,ECON      3A,ANDERSON R W,B+,15
W15,Undergraduate,ECON      3A,ANDERSON R W,B,14
W15,Undergraduate,ECON      3A,ANDERSON R W,B-,23
W15,Undergraduate,ECON      3A,ANDERSON R W,C+,18
W15,Undergraduate,ECON      3A,ANDERSON R W,C,32
W15,Undergraduate,ECON      3A,ANDERSON R W,C-,13
W15,Undergraduate,ECON      3A,ANDERSON R W,D,8
W15,Undergraduate,ECON      3A,ANDERSON R W,F,19
W15,Undergraduate,ECON      3B,HARMON C J,A,17
W15,Undergraduate,ECON      3B,HARMON C J,A-,13
W15,Undergraduate,ECON      3B,HARMON C J,B+,14
W15,Undergraduate,ECON      3B,HARMON C J,B,13
W15,Undergraduate,ECON      3B,HARMON C J,B-,13
W15,Undergraduate,ECON      3B,HARMON C J,C+,12
W15,Undergraduate,ECON      3B,HARMON C J,C,10
W15,Undergraduate,ECON      3B,HARMON C J,C-,9
W15,Undergraduate,ECON      3B,HARMON C J,D+,5
W15,Undergraduate,ECON      3B,HARMON C J,D,3
W15,Undergraduate,ECON      3B,HARMON C J,F,15
W15,Undergraduate,ECON      3BH,HARMON C J,P,11
W15,Undergraduate,ECON      3BH,HARMON C J,NP,1
W15,Undergraduate,ECON      9,WATSON R B,A,14
W15,Undergraduate,ECON      9,WATSON R B,A-,10
W15,Undergraduate,ECON      9,WATSON R B,B+,22
W15,Undergraduate,ECON      9,WATSON R B,B,20
W15,Undergraduate,ECON      9,WATSON R B,B-,12
W15,Undergraduate,ECON      9,WATSON R B,C+,17
W15,Undergraduate,ECON      9,WATSON R B,C,59
W15,Undergraduate,ECON      9,WATSON R B,C-,11
W15,Undergraduate,ECON      9,WATSON R B,D,5
W15,Undergraduate,ECON      9,WATSON R B,F,6
W15,Undergraduate,ECON     10A,BENELLI C A,A,1
W15,Undergraduate,ECON     10A,BENELLI C A,A-,1
W15,Undergraduate,ECON     10A,BENELLI C A,B+,2
W15,Undergraduate,ECON     10A,BENELLI C A,B,2
W15,Undergraduate,ECON     10A,BENELLI C A,B-,12
W15,Undergraduate,ECON     10A,BENELLI C A,C+,10
W15,Undergraduate,ECON     10A,BENELLI C A,C,10
W15,Undergraduate,ECON     10A,BENELLI C A,C-,7
W15,Undergraduate,ECON     10A,BENELLI C A,D,2
W15,Undergraduate,ECON     10A,BENELLI C A,F,8
W15,Undergraduate,ECON     10A,HARTMAN J L,A,13
W15,Undergraduate,ECON     10A,HARTMAN J L,A-,15
W15,Undergraduate,ECON     10A,HARTMAN J L,B+,21
W15,Undergraduate,ECON     10A,HARTMAN J L,B,8
W15,Undergraduate,ECON     10A,HARTMAN J L,B-,14
W15,Undergraduate,ECON     10A,HARTMAN J L,C+,23
W15,Undergraduate,ECON     10A,HARTMAN J L,C,11
W15,Undergraduate,ECON     10A,HARTMAN J L,C-,9
W15,Undergraduate,ECON     10A,HARTMAN J L,D,9
W15,Undergraduate,ECON     10A,HARTMAN J L,F,2
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,A,12
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,A-,6
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,B+,13
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,B,17
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,B-,29
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,C+,19
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,C,12
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,C-,9
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,D,7
W15,Undergraduate,ECON     10A,ROSSIN-SLATER,F,13
W15,Undergraduate,ECON     96,ROYER H N,A,14
W15,Undergraduate,ECON    100B,DELGADO HELLE,A+,1
W15,Undergraduate,ECON    100B,DELGADO HELLE,A,10
W15,Undergraduate,ECON    100B,DELGADO HELLE,A-,11
W15,Undergraduate,ECON    100B,DELGADO HELLE,B+,10
W15,Undergraduate,ECON    100B,DELGADO HELLE,B,15
W15,Undergraduate,ECON    100B,DELGADO HELLE,B-,12
W15,Undergraduate,ECON    100B,DELGADO HELLE,C+,19
W15,Undergraduate,ECON    100B,DELGADO HELLE,C,8
W15,Undergraduate,ECON    100B,DELGADO HELLE,C-,12
W15,Undergraduate,ECON    100B,DELGADO HELLE,D,8
W15,Undergraduate,ECON    100B,DELGADO HELLE,F,8
W15,Undergraduate,ECON    100B,VESPA E I,A+,2
W15,Undergraduate,ECON    100B,VESPA E I,A,8
W15,Undergraduate,ECON    100B,VESPA E I,A-,8
W15,Undergraduate,ECON    100B,VESPA E I,B+,10
W15,Undergraduate,ECON    100B,VESPA E I,B,8
W15,Undergraduate,ECON    100B,VESPA E I,B-,9
W15,Undergraduate,ECON    100B,VESPA E I,C+,11
W15,Undergraduate,ECON    100B,VESPA E I,C,7
W15,Undergraduate,ECON    100B,VESPA E I,C-,7
W15,Undergraduate,ECON    100B,VESPA E I,D,3
W15,Undergraduate,ECON    100B,VESPA E I,F,4
W15,Undergraduate,ECON    100C,QIN C Z,A+,1
W15,Undergraduate,ECON    100C,QIN C Z,A,4
W15,Undergraduate,ECON    100C,QIN C Z,A-,2
W15,Undergraduate,ECON    100C,QIN C Z,B+,2
W15,Undergraduate,ECON    100C,QIN C Z,B,6
W15,Undergraduate,ECON    100C,QIN C Z,B-,2
W15,Undergraduate,ECON    100C,QIN C Z,C+,2
W15,Undergraduate,ECON    100C,QIN C Z,C,2
W15,Undergraduate,ECON    100C,QIN C Z,C-,1
W15,Undergraduate,ECON    100C,QIN C Z,D,1
W15,Undergraduate,ECON    100C,QIN C Z,F,1
W15,Undergraduate,ECON    101,DELGADO HELLE,A+,7
W15,Undergraduate,ECON    101,DELGADO HELLE,A,10
