Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,POL S     1,HUGHES T,A+,1
W15,Undergraduate,POL S     1,HUGHES T,A,17
W15,Undergraduate,POL S     1,HUGHES T,A-,14
W15,Undergraduate,POL S     1,HUGHES T,B+,32
W15,Undergraduate,POL S     1,HUGHES T,B,37
W15,Undergraduate,POL S     1,HUGHES T,B-,19
W15,Undergraduate,POL S     1,HUGHES T,C+,10
W15,Undergraduate,POL S     1,HUGHES T,C,9
W15,Undergraduate,POL S     1,HUGHES T,C-,5
W15,Undergraduate,POL S     1,HUGHES T,D+,3
W15,Undergraduate,POL S     1,HUGHES T,D,1
W15,Undergraduate,POL S     1,HUGHES T,F,2
W15,Undergraduate,POL S     6,ZDANOWICZ F,A,20
W15,Undergraduate,POL S     6,ZDANOWICZ F,A-,29
W15,Undergraduate,POL S     6,ZDANOWICZ F,B+,28
W15,Undergraduate,POL S     6,ZDANOWICZ F,B,41
W15,Undergraduate,POL S     6,ZDANOWICZ F,B-,17
W15,Undergraduate,POL S     6,ZDANOWICZ F,C+,12
W15,Undergraduate,POL S     6,ZDANOWICZ F,C,4
W15,Undergraduate,POL S     6,ZDANOWICZ F,C-,6
W15,Undergraduate,POL S     6,ZDANOWICZ F,D,1
W15,Undergraduate,POL S     6,ZDANOWICZ F,F,1
W15,Undergraduate,POL S     7,NARANG N,A,23
W15,Undergraduate,POL S     7,NARANG N,A-,17
W15,Undergraduate,POL S     7,NARANG N,B+,18
W15,Undergraduate,POL S     7,NARANG N,B,53
W15,Undergraduate,POL S     7,NARANG N,B-,23
W15,Undergraduate,POL S     7,NARANG N,C+,14
W15,Undergraduate,POL S     7,NARANG N,C,11
W15,Undergraduate,POL S     7,NARANG N,C-,1
W15,Undergraduate,POL S     7,NARANG N,D+,2
W15,Undergraduate,POL S     7,NARANG N,D,1
W15,Undergraduate,POL S    15,KIM H A,A+,1
W15,Undergraduate,POL S    15,KIM H A,A,28
W15,Undergraduate,POL S    15,KIM H A,A-,6
W15,Undergraduate,POL S    15,KIM H A,B+,2
W15,Undergraduate,POL S    15,KIM H A,B,29
W15,Undergraduate,POL S    15,KIM H A,B-,8
W15,Undergraduate,POL S    15,KIM H A,C+,2
W15,Undergraduate,POL S    15,KIM H A,C,12
W15,Undergraduate,POL S    15,KIM H A,F,2
W15,Undergraduate,POL S   106CW,COGGINS B L,A,6
W15,Undergraduate,POL S   106CW,COGGINS B L,A-,12
W15,Undergraduate,POL S   106CW,COGGINS B L,B+,2
W15,Undergraduate,POL S   106CW,COGGINS B L,B,23
W15,Undergraduate,POL S   106CW,COGGINS B L,B-,1
W15,Undergraduate,POL S   106CW,COGGINS B L,C,1
W15,Undergraduate,POL S   106DM,STRATHMAN B A,A,8
W15,Undergraduate,POL S   106DM,STRATHMAN B A,A-,8
W15,Undergraduate,POL S   106DM,STRATHMAN B A,B+,8
W15,Undergraduate,POL S   106DM,STRATHMAN B A,B,5
W15,Undergraduate,POL S   106DM,STRATHMAN B A,B-,2
W15,Undergraduate,POL S   106DM,STRATHMAN B A,C+,4
W15,Undergraduate,POL S   106DM,STRATHMAN B A,C,1
W15,Undergraduate,POL S   106DM,STRATHMAN B A,C-,1
W15,Undergraduate,POL S   106DM,STRATHMAN B A,D+,2
W15,Undergraduate,POL S   106MM,MARQUEZ M,A+,1
W15,Undergraduate,POL S   106MM,MARQUEZ M,A,2
W15,Undergraduate,POL S   106MM,MARQUEZ M,A-,5
W15,Undergraduate,POL S   106MM,MARQUEZ M,B+,3
W15,Undergraduate,POL S   106MM,MARQUEZ M,B,4
W15,Undergraduate,POL S   106MM,MARQUEZ M,B-,1
W15,Undergraduate,POL S   106MM,MARQUEZ M,C,2
W15,Undergraduate,POL S   110,ZEDDY A G,A,1
W15,Undergraduate,POL S   110,ZEDDY A G,A-,9
W15,Undergraduate,POL S   110,ZEDDY A G,B,6
W15,Undergraduate,POL S   110,ZEDDY A G,B-,6
W15,Undergraduate,POL S   110,ZEDDY A G,C+,5
W15,Undergraduate,POL S   110,ZEDDY A G,C,4
W15,Undergraduate,POL S   110,ZEDDY A G,C-,2
W15,Undergraduate,POL S   110,ZEDDY A G,D+,1
W15,Undergraduate,POL S   110,ZEDDY A G,D,1
W15,Undergraduate,POL S   110,ZEDDY A G,D-,1
W15,Undergraduate,POL S   121,STRATHMAN B A,A,7
W15,Undergraduate,POL S   121,STRATHMAN B A,A-,12
W15,Undergraduate,POL S   121,STRATHMAN B A,B+,8
W15,Undergraduate,POL S   121,STRATHMAN B A,B,16
W15,Undergraduate,POL S   121,STRATHMAN B A,B-,5
W15,Undergraduate,POL S   121,STRATHMAN B A,C+,3
W15,Undergraduate,POL S   121,STRATHMAN B A,C,2
W15,Undergraduate,POL S   121,STRATHMAN B A,D,2
W15,Undergraduate,POL S   127,AUSTIN L G,A,4
W15,Undergraduate,POL S   127,AUSTIN L G,A-,6
W15,Undergraduate,POL S   127,AUSTIN L G,B+,1
W15,Undergraduate,POL S   127,STRATHMAN B A,A,23
W15,Undergraduate,POL S   127,STRATHMAN B A,A-,21
W15,Undergraduate,POL S   127,STRATHMAN B A,B+,12
W15,Undergraduate,POL S   127,STRATHMAN B A,B,35
W15,Undergraduate,POL S   127,STRATHMAN B A,B-,10
W15,Undergraduate,POL S   127,STRATHMAN B A,C+,2
W15,Undergraduate,POL S   127,STRATHMAN B A,C,14
W15,Undergraduate,POL S   127,STRATHMAN B A,C-,1
W15,Undergraduate,POL S   127,STRATHMAN B A,D,1
W15,Undergraduate,POL S   127,STRATHMAN B A,F,2
W15,Undergraduate,POL S   143,KAPLAN C S,A-,3
W15,Undergraduate,POL S   143,KAPLAN C S,B+,5
W15,Undergraduate,POL S   143,KAPLAN C S,B,17
W15,Undergraduate,POL S   143,KAPLAN C S,B-,9
W15,Undergraduate,POL S   143,KAPLAN C S,C+,8
W15,Undergraduate,POL S   143,KAPLAN C S,C,12
W15,Undergraduate,POL S   143,KAPLAN C S,C-,1
W15,Undergraduate,POL S   145,DEAN J,A,8
W15,Undergraduate,POL S   145,DEAN J,A-,3
W15,Undergraduate,POL S   145,DEAN J,B+,4
W15,Undergraduate,POL S   145,DEAN J,B,6
W15,Undergraduate,POL S   145,DEAN J,B-,4
W15,Undergraduate,POL S   145,DEAN J,C+,2
W15,Undergraduate,POL S   145,DEAN J,C,9
W15,Undergraduate,POL S   145,DEAN J,D+,1
W15,Undergraduate,POL S   145,DEAN J,D,1
W15,Undergraduate,POL S   145,DEAN J,F,2
W15,Undergraduate,POL S   151,KIM H A,A,4
W15,Undergraduate,POL S   151,KIM H A,A-,5
W15,Undergraduate,POL S   151,KIM H A,B+,7
W15,Undergraduate,POL S   151,KIM H A,B,25
W15,Undergraduate,POL S   151,KIM H A,B-,7
W15,Undergraduate,POL S   151,KIM H A,C+,4
W15,Undergraduate,POL S   151,KIM H A,C,4
W15,Undergraduate,POL S   151,KIM H A,F,2
W15,Undergraduate,POL S   170,MCDONNELL L M,A,2
W15,Undergraduate,POL S   170,MCDONNELL L M,A-,10
W15,Undergraduate,POL S   170,MCDONNELL L M,B+,14
W15,Undergraduate,POL S   170,MCDONNELL L M,B,23
W15,Undergraduate,POL S   170,MCDONNELL L M,B-,8
W15,Undergraduate,POL S   170,MCDONNELL L M,C+,5
W15,Undergraduate,POL S   170,MCDONNELL L M,C,3
W15,Undergraduate,POL S   170,MCDONNELL L M,F,1
W15,Undergraduate,POL S   175,HODGES H E,A+,1
W15,Undergraduate,POL S   175,HODGES H E,A,5
W15,Undergraduate,POL S   175,HODGES H E,A-,4
W15,Undergraduate,POL S   175,HODGES H E,B+,6
W15,Undergraduate,POL S   175,HODGES H E,B,9
W15,Undergraduate,POL S   175,HODGES H E,B-,7
W15,Undergraduate,POL S   175,HODGES H E,C+,2
W15,Undergraduate,POL S   175,HODGES H E,C,5
W15,Undergraduate,POL S   175,HODGES H E,D+,1
W15,Undergraduate,POL S   185,WOOLLEY J T,A,10
W15,Undergraduate,POL S   185,WOOLLEY J T,A-,20
W15,Undergraduate,POL S   185,WOOLLEY J T,B+,20
W15,Undergraduate,POL S   185,WOOLLEY J T,B,29
W15,Undergraduate,POL S   185,WOOLLEY J T,B-,6
W15,Undergraduate,POL S   185,WOOLLEY J T,C+,2
W15,Undergraduate,POL S   185,WOOLLEY J T,C,1
W15,Undergraduate,POL S   185,WOOLLEY J T,D+,1
W15,Undergraduate,POL S   185,WOOLLEY J T,F,2
W15,Undergraduate,POL S   186,COHEN B J,A+,1
W15,Undergraduate,POL S   186,COHEN B J,A,24
W15,Undergraduate,POL S   186,COHEN B J,A-,27
W15,Undergraduate,POL S   186,COHEN B J,B+,21
W15,Undergraduate,POL S   186,COHEN B J,B,34
W15,Undergraduate,POL S   186,COHEN B J,B-,10
W15,Undergraduate,POL S   186,COHEN B J,C+,5
W15,Undergraduate,POL S   186,COHEN B J,C,3
W15,Undergraduate,POL S   186,COHEN B J,C-,1
W15,Undergraduate,POL S   186,COHEN B J,F,3
W15,Undergraduate,POL S   188,HUGHES T,A,5
W15,Undergraduate,POL S   188,HUGHES T,A-,10
W15,Undergraduate,POL S   188,HUGHES T,B+,12
W15,Undergraduate,POL S   188,HUGHES T,B,41
W15,Undergraduate,POL S   188,HUGHES T,B-,9
W15,Undergraduate,POL S   188,HUGHES T,C+,11
W15,Undergraduate,POL S   188,HUGHES T,C,4
W15,Undergraduate,POL S   188,HUGHES T,C-,2
W15,Undergraduate,POL S   188,HUGHES T,D-,1
W15,Undergraduate,POL S   188,HUGHES T,F,1
W15,Undergraduate,POL S   189,,A+,2
W15,Undergraduate,POL S   189,,A,11
W15,Undergraduate,POL S   189,,A-,9
W15,Undergraduate,POL S   189,,B+,5
W15,Undergraduate,POL S   189,,B,4
W15,Undergraduate,POL S   189,,B-,1
W15,Undergraduate,POL S   189,,D,1
W15,Undergraduate,POL S   189,,F,1
W15,Undergraduate,POL S   197B,MCDONNELL L M,A,6
W15,Undergraduate,POL S   197B,MCDONNELL L M,A-,1
W15,Undergraduate,POL S   197B,MCDONNELL L M,B+,1
W15,Graduate,POL S   205,STOLL H M,A,4
W15,Graduate,POL S   205,STOLL H M,A-,6
W15,Graduate,POL S   252,SMITH E R,A,4
W15,Graduate,POL S   252,SMITH E R,A-,2
W15,Graduate,POL S   252,SMITH E R,F,1
W15,Graduate,POL S   273,COHEN B J,A,2
W15,Graduate,POL S   273,COHEN B J,A-,2
W15,Graduate,POL S   273,COHEN B J,B+,2
W15,Graduate,POL S   501B,WIENER S L,S,9
W15,Graduate,POL S   595B,DIGESER P,F,1
W15,Graduate,POL S   595B,DIGESER P,S,23
