Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W15,Undergraduate,WRIT      1,BAILLARGEON K,A,14
W15,Undergraduate,WRIT      1,BAILLARGEON K,A-,5
W15,Undergraduate,WRIT      1,BAILLARGEON K,B+,1
W15,Undergraduate,WRIT      1,BAILLARGEON K,B,2
W15,Undergraduate,WRIT      1,BAILLARGEON K,B-,1
W15,Undergraduate,WRIT      1,BAILLARGEON K,C,1
W15,Undergraduate,WRIT      1,BERNSTEIN M M,A-,3
W15,Undergraduate,WRIT      1,BERNSTEIN M M,B+,1
W15,Undergraduate,WRIT      1,BERNSTEIN M M,B,7
W15,Undergraduate,WRIT      1,BERNSTEIN M M,B-,6
W15,Undergraduate,WRIT      1,BERNSTEIN M M,C+,2
W15,Undergraduate,WRIT      1,BERNSTEIN M M,C,1
W15,Undergraduate,WRIT      1,BERNSTEIN M M,C-,2
W15,Undergraduate,WRIT      1,BERNSTEIN M M,D+,1
W15,Undergraduate,WRIT      1,BERNSTEIN M M,F,1
W15,Undergraduate,WRIT      1,HAMMER L M,A-,6
W15,Undergraduate,WRIT      1,HAMMER L M,B+,8
W15,Undergraduate,WRIT      1,HAMMER L M,B,2
W15,Undergraduate,WRIT      1,HAMMER L M,B-,1
W15,Undergraduate,WRIT      1,HAMMER L M,C+,1
W15,Undergraduate,WRIT      1,HARRIS-MOORE,A,7
W15,Undergraduate,WRIT      1,HARRIS-MOORE,A-,14
W15,Undergraduate,WRIT      1,HARRIS-MOORE,B+,14
W15,Undergraduate,WRIT      1,HARRIS-MOORE,B,10
W15,Undergraduate,WRIT      1,HARRIS-MOORE,B-,3
W15,Undergraduate,WRIT      1,HARRIS-MOORE,C+,1
W15,Undergraduate,WRIT      1,HARRIS-MOORE,C,1
W15,Undergraduate,WRIT      1,MIELE I,A,5
W15,Undergraduate,WRIT      1,MIELE I,A-,6
W15,Undergraduate,WRIT      1,MIELE I,B+,4
W15,Undergraduate,WRIT      1,MIELE I,B,2
W15,Undergraduate,WRIT      1,MIELE I,B-,1
W15,Undergraduate,WRIT      1,WUEBBEN D L,A+,1
W15,Undergraduate,WRIT      1,WUEBBEN D L,A,6
W15,Undergraduate,WRIT      1,WUEBBEN D L,A-,5
W15,Undergraduate,WRIT      1,WUEBBEN D L,B+,1
W15,Undergraduate,WRIT      1,WUEBBEN D L,B,3
W15,Undergraduate,WRIT      1,WUEBBEN D L,B-,1
W15,Undergraduate,WRIT      1,WUEBBEN D L,C+,1
W15,Undergraduate,WRIT      2,ABRECHT R R,A,8
W15,Undergraduate,WRIT      2,ABRECHT R R,A-,5
W15,Undergraduate,WRIT      2,ABRECHT R R,B+,4
W15,Undergraduate,WRIT      2,ABRECHT R R,B,5
W15,Undergraduate,WRIT      2,ABRECHT R R,B-,1
W15,Undergraduate,WRIT      2,ABRECHT R R,F,1
W15,Undergraduate,WRIT      2,BRADLEY N D,A+,2
