Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W16,Undergraduate,C LIT    27,JULLIEN D M,A+,3
W16,Undergraduate,C LIT    27,JULLIEN D M,A,6
W16,Undergraduate,C LIT    27,JULLIEN D M,A-,10
W16,Undergraduate,C LIT    27,JULLIEN D M,B+,6
W16,Undergraduate,C LIT    27,JULLIEN D M,B,9
W16,Undergraduate,C LIT    27,JULLIEN D M,B-,7
W16,Undergraduate,C LIT    27,JULLIEN D M,C+,3
W16,Undergraduate,C LIT    27,JULLIEN D M,C,6
W16,Undergraduate,C LIT    27,JULLIEN D M,C-,2
W16,Undergraduate,C LIT    27,JULLIEN D M,D,1
W16,Undergraduate,C LIT    27,JULLIEN D M,F,1
W16,Undergraduate,C LIT    30A,DUNN F M,A+,9
W16,Undergraduate,C LIT    30A,DUNN F M,A,83
W16,Undergraduate,C LIT    30A,DUNN F M,A-,56
W16,Undergraduate,C LIT    30A,DUNN F M,B+,27
W16,Undergraduate,C LIT    30A,DUNN F M,B,22
W16,Undergraduate,C LIT    30A,DUNN F M,B-,14
W16,Undergraduate,C LIT    30A,DUNN F M,C+,5
W16,Undergraduate,C LIT    30A,DUNN F M,C,10
W16,Undergraduate,C LIT    30A,DUNN F M,C-,1
W16,Undergraduate,C LIT    30A,DUNN F M,D,1
W16,Undergraduate,C LIT    30A,DUNN F M,F,6
W16,Undergraduate,C LIT    30H,DUNN F M,A+,4
W16,Undergraduate,C LIT    30H,DUNN F M,A,6
W16,Undergraduate,C LIT    30H,DUNN F M,F,1
W16,Undergraduate,C LIT    32,REYNOLDS D F,A+,12
W16,Undergraduate,C LIT    32,REYNOLDS D F,A,70
W16,Undergraduate,C LIT    32,REYNOLDS D F,A-,8
W16,Undergraduate,C LIT    32,REYNOLDS D F,B+,7
W16,Undergraduate,C LIT    32,REYNOLDS D F,B,5
W16,Undergraduate,C LIT    32,REYNOLDS D F,B-,2
W16,Undergraduate,C LIT    32,REYNOLDS D F,C+,1
W16,Undergraduate,C LIT    32,REYNOLDS D F,C,2
W16,Undergraduate,C LIT   100,GRAFALS M G,A+,1
W16,Undergraduate,C LIT   100,GRAFALS M G,A,19
W16,Undergraduate,C LIT   100,GRAFALS M G,A-,17
W16,Undergraduate,C LIT   100,GRAFALS M G,B+,6
W16,Undergraduate,C LIT   100,GRAFALS M G,B,1
W16,Undergraduate,C LIT   100,GRAFALS M G,C,1
W16,Undergraduate,C LIT   100,GRAFALS M G,F,2
W16,Undergraduate,C LIT   119,FRADENBURG L,A,1
W16,Undergraduate,C LIT   119,FRADENBURG L,A-,17
W16,Undergraduate,C LIT   119,FRADENBURG L,B+,12
W16,Undergraduate,C LIT   119,FRADENBURG L,B,8
W16,Undergraduate,C LIT   119,FRADENBURG L,B-,8
W16,Undergraduate,C LIT   119,FRADENBURG L,C+,1
W16,Undergraduate,C LIT   119,FRADENBURG L,C,3
W16,Undergraduate,C LIT   119,FRADENBURG L,F,2
W16,Undergraduate,C LIT   126,AKUDINOBI J,A+,4
W16,Undergraduate,C LIT   126,AKUDINOBI J,A,6
W16,Undergraduate,C LIT   126,AKUDINOBI J,A-,11
W16,Undergraduate,C LIT   126,AKUDINOBI J,B+,6
W16,Undergraduate,C LIT   126,AKUDINOBI J,B,5
W16,Undergraduate,C LIT   128A,WELD S P,A,28
W16,Undergraduate,C LIT   128A,WELD S P,A-,27
W16,Undergraduate,C LIT   128A,WELD S P,B+,39
W16,Undergraduate,C LIT   128A,WELD S P,B,22
W16,Undergraduate,C LIT   128A,WELD S P,B-,5
W16,Undergraduate,C LIT   128A,WELD S P,C+,1
W16,Undergraduate,C LIT   128A,WELD S P,C,3
W16,Undergraduate,C LIT   128A,WELD S P,C-,1
W16,Undergraduate,C LIT   128A,WELD S P,F,2
W16,Undergraduate,C LIT   158,NATHAN J,A+,1
W16,Undergraduate,C LIT   158,NATHAN J,A,4
W16,Undergraduate,C LIT   158,NATHAN J,A-,1
W16,Undergraduate,C LIT   158,NATHAN J,B,1
W16,Undergraduate,C LIT   158,NATHAN J,B-,1
W16,Undergraduate,C LIT   158,NATHAN J,C+,1
W16,Undergraduate,C LIT   180,SKENAZI E C,A,6
W16,Undergraduate,C LIT   180,SKENAZI E C,A-,9
W16,Undergraduate,C LIT   180,SKENAZI E C,B+,4
W16,Undergraduate,C LIT   180,SKENAZI E C,B,3
W16,Undergraduate,C LIT   180,SKENAZI E C,B-,3
W16,Undergraduate,C LIT   180,SKENAZI E C,C,1
W16,Undergraduate,C LIT   186DF,ROSA GRINCHO,A+,5
W16,Undergraduate,C LIT   186DF,ROSA GRINCHO,A,6
W16,Undergraduate,C LIT   186DF,ROSA GRINCHO,B+,2
W16,Undergraduate,C LIT   186DF,ROSA GRINCHO,B,6
W16,Undergraduate,C LIT   186DF,ROSA GRINCHO,F,1
W16,Graduate,C LIT   200,JULLIEN D M,A,4
W16,Graduate,C LIT   200,JULLIEN D M,S,2
W16,Graduate,C LIT   279,WEBER E,A+,1
W16,Graduate,C LIT   279,WEBER E,A,6
W16,Graduate,C LIT   279,WEBER E,A-,3
W16,Graduate,C LIT   279,WEBER E,S,3
W16,Graduate,C LIT   591,DUNN F M,S,5
W16,Graduate,C LIT   595,NESCI C,S,7
