Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W16,Undergraduate,CNCSP   101,ISRAEL T,A+,33
W16,Undergraduate,CNCSP   101,ISRAEL T,A,101
W16,Undergraduate,CNCSP   101,ISRAEL T,A-,48
W16,Undergraduate,CNCSP   101,ISRAEL T,B+,29
W16,Undergraduate,CNCSP   101,ISRAEL T,B,21
W16,Undergraduate,CNCSP   101,ISRAEL T,B-,5
W16,Undergraduate,CNCSP   101,ISRAEL T,C+,3
W16,Undergraduate,CNCSP   101,ISRAEL T,C,1
W16,Undergraduate,CNCSP   101,ISRAEL T,F,2
W16,Undergraduate,CNCSP   110,MEIER L R,P,129
W16,Undergraduate,CNCSP   110,MEIER L R,NP,3
W16,Undergraduate,CNCSP   197,DOWDY E T,A,13
W16,Undergraduate,CNCSP   197,DOWDY E T,A-,2
W16,Undergraduate,CNCSP   197,JIMERSON S R,A+,14
W16,Undergraduate,CNCSP   197,JIMERSON S R,A,6
W16,Undergraduate,CNCSP   197,JIMERSON S R,A-,1
W16,Undergraduate,CNCSP   197,JIMERSON S R,B+,2
W16,Undergraduate,CNCSP   197,JIMERSON S R,B-,5
W16,Undergraduate,CNCSP   197,JIMERSON S R,C+,7
W16,Undergraduate,CNCSP   197,JIMERSON S R,C,10
W16,Undergraduate,CNCSP   197,JIMERSON S R,C-,1
W16,Undergraduate,CNCSP   197,JIMERSON S R,F,2
W16,Undergraduate,CNCSP   199RA,JIMERSON S R,A+,5
W16,Undergraduate,CNCSP   199RA,JIMERSON S R,A,1
W16,Undergraduate,CNCSP   199RA,JIMERSON S R,A-,2
W16,Undergraduate,CNCSP   199RA,JIMERSON S R,B+,2
W16,Undergraduate,CNCSP   199RA,JIMERSON S R,B,2
W16,Undergraduate,CNCSP   199RA,JIMERSON S R,C+,2
W16,Undergraduate,CNCSP   199RA,JIMERSON S R,C,2
W16,Undergraduate,CNCSP   199RA,KIA-KEATING M,A,7
W16,Undergraduate,CNCSP   199RA,KOEGEL R L,A,5
W16,Undergraduate,CNCSP   199RA,SHARKEY J D,A+,1
W16,Undergraduate,CNCSP   199RA,SHARKEY J D,A,8
W16,Undergraduate,CNCSP   199RA,VERNON T W,A,20
W16,Graduate,CNCSP   209A,CONOLEY C W,S,5
W16,Graduate,CNCSP   209A,KOEGEL R L,S,6
W16,Graduate,CNCSP   212,KOEGEL R L,A+,1
W16,Graduate,CNCSP   212,KOEGEL R L,A,11
W16,Graduate,CNCSP   212,KOEGEL R L,A-,2
W16,Graduate,CNCSP   212,KOEGEL R L,B+,1
W16,Graduate,CNCSP   215,GEHLBACH H S,A,3
W16,Graduate,CNCSP   215,GEHLBACH H S,A-,9
W16,Graduate,CNCSP   215,GEHLBACH H S,B+,2
W16,Graduate,CNCSP   216,CONSOLI A J,A,10
W16,Graduate,CNCSP   223B,VERNON T W,A,13
W16,Graduate,CNCSP   223B,VERNON T W,B+,1
W16,Graduate,CNCSP   260B,CONSOLI A J,S,9
W16,Graduate,CNCSP   260B,CONSOLI A J,U,1
W16,Graduate,CNCSP   263A,KIA-KEATING M,A,7
W16,Graduate,CNCSP   270,BROOKS R B,S,5
W16,Graduate,CNCSP   270,DOWDY E T,S,7
W16,Graduate,CNCSP   270,JIMERSON S R,S,7
W16,Graduate,CNCSP   271B,LANDE E S,S,8
W16,Graduate,CNCSP   272,VERNON T W,S,10
W16,Graduate,CNCSP   275,SHARKEY J D,S,6
W16,Graduate,CNCSP   279B,DOWDY E T,S,16
W16,Graduate,CNCSP   291C,FELIX E D,A,11
W16,Graduate,CNCSP   599,FURLONG M J,S,5
W16,Graduate,CNCSP   599,ISRAEL T,S,5
