Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W16,Undergraduate,FEMST    20,BORIS E C,A+,7
W16,Undergraduate,FEMST    20,BORIS E C,A,43
W16,Undergraduate,FEMST    20,BORIS E C,A-,61
W16,Undergraduate,FEMST    20,BORIS E C,B+,49
W16,Undergraduate,FEMST    20,BORIS E C,B,39
W16,Undergraduate,FEMST    20,BORIS E C,B-,10
W16,Undergraduate,FEMST    20,BORIS E C,C+,5
W16,Undergraduate,FEMST    20,BORIS E C,C,5
W16,Undergraduate,FEMST    20,BORIS E C,C-,2
W16,Undergraduate,FEMST    20,BORIS E C,D,1
W16,Undergraduate,FEMST    20,BORIS E C,F,2
W16,Undergraduate,FEMST    20H,BORIS E C,A+,1
W16,Undergraduate,FEMST    20H,BORIS E C,A,3
W16,Undergraduate,FEMST    20H,BORIS E C,A-,6
W16,Undergraduate,FEMST    30,FIGUEROA T,A+,5
W16,Undergraduate,FEMST    30,FIGUEROA T,A,52
W16,Undergraduate,FEMST    30,FIGUEROA T,A-,32
W16,Undergraduate,FEMST    30,FIGUEROA T,B+,15
W16,Undergraduate,FEMST    30,FIGUEROA T,B,2
W16,Undergraduate,FEMST    30,FIGUEROA T,B-,4
W16,Undergraduate,FEMST    30,FIGUEROA T,D+,2
W16,Undergraduate,FEMST    80,GARRISON E K,A+,11
W16,Undergraduate,FEMST    80,GARRISON E K,A,106
W16,Undergraduate,FEMST    80,GARRISON E K,A-,15
W16,Undergraduate,FEMST    80,GARRISON E K,B+,10
W16,Undergraduate,FEMST    80,GARRISON E K,B,6
W16,Undergraduate,FEMST    80,GARRISON E K,B-,3
W16,Undergraduate,FEMST    80,GARRISON E K,C+,3
W16,Undergraduate,FEMST    80,GARRISON E K,C,7
W16,Undergraduate,FEMST    80,GARRISON E K,D+,1
W16,Undergraduate,FEMST    80,GARRISON E K,D,2
W16,Undergraduate,FEMST    80,GARRISON E K,D-,1
W16,Undergraduate,FEMST    80,GARRISON E K,F,7
W16,Undergraduate,FEMST   142,BOBO J,A,15
W16,Undergraduate,FEMST   142,BOBO J,A-,4
W16,Undergraduate,FEMST   142,BOBO J,B,3
W16,Undergraduate,FEMST   142,BOBO J,C+,2
W16,Undergraduate,FEMST   142,BOBO J,C,1
W16,Undergraduate,FEMST   151MI,MILLER-YOUNG,A+,7
W16,Undergraduate,FEMST   151MI,MILLER-YOUNG,A,6
W16,Undergraduate,FEMST   151MI,MILLER-YOUNG,A-,3
W16,Undergraduate,FEMST   151MI,MILLER-YOUNG,B+,5
W16,Undergraduate,FEMST   151MI,MILLER-YOUNG,B,2
W16,Undergraduate,FEMST   151MI,MILLER-YOUNG,B-,1
W16,Undergraduate,FEMST   159B,CASE S H,B+,2
W16,Undergraduate,FEMST   159B,CASE S H,B,1
W16,Undergraduate,FEMST   159B,CASE S H,B-,5
W16,Undergraduate,FEMST   159B,CASE S H,C,1
W16,Undergraduate,FEMST   180,TOMLINSON B M,A,10
W16,Undergraduate,FEMST   180,TOMLINSON B M,A-,7
W16,Undergraduate,FEMST   180,TOMLINSON B M,B+,5
W16,Undergraduate,FEMST   180,TOMLINSON B M,B,7
W16,Undergraduate,FEMST   180,TOMLINSON B M,B-,2
W16,Undergraduate,FEMST   180,TOMLINSON B M,C+,1
W16,Undergraduate,FEMST   180,TOMLINSON B M,D-,1
W16,Undergraduate,FEMST   181,GARRISON E K,A,7
W16,Undergraduate,FEMST   181,GARRISON E K,A-,9
W16,Undergraduate,FEMST   181,GARRISON E K,B+,2
W16,Undergraduate,FEMST   181,GARRISON E K,B,1
W16,Undergraduate,FEMST   181,GARRISON E K,B-,2
W16,Undergraduate,FEMST   181,GARRISON E K,C+,1
W16,Undergraduate,FEMST   181,GARRISON E K,C,1
W16,Undergraduate,FEMST   181,GARRISON E K,F,1
W16,Undergraduate,FEMST   185GR,FIGUEROA T,A+,2
W16,Undergraduate,FEMST   185GR,FIGUEROA T,A,6
W16,Undergraduate,FEMST   185GR,FIGUEROA T,A-,4
W16,Undergraduate,FEMST   185GR,FIGUEROA T,B+,3
W16,Undergraduate,FEMST   185JT,TYBURCZY J L,A+,13
W16,Undergraduate,FEMST   185JT,TYBURCZY J L,A,8
W16,Undergraduate,FEMST   185JT,TYBURCZY J L,B,1
W16,Undergraduate,FEMST   185JT,TYBURCZY J L,B-,1
W16,Undergraduate,FEMST   185JT,TYBURCZY J L,C-,1
W16,Undergraduate,FEMST   185TO,TOMLINSON B M,A,4
W16,Undergraduate,FEMST   185TO,TOMLINSON B M,A-,6
W16,Undergraduate,FEMST   185TO,TOMLINSON B M,B+,4
W16,Undergraduate,FEMST   185TO,TOMLINSON B M,B,3
W16,Undergraduate,FEMST   185TO,TOMLINSON B M,B-,2
W16,Undergraduate,FEMST   185TO,TOMLINSON B M,C+,3
W16,Undergraduate,FEMST   185TO,TOMLINSON B M,C-,1
W16,Undergraduate,FEMST   186BV,GARRISON E K,A,12
W16,Undergraduate,FEMST   186BV,GARRISON E K,A-,5
W16,Undergraduate,FEMST   186BV,GARRISON E K,B,1
W16,Undergraduate,FEMST   186BV,GARRISON E K,C+,2
W16,Undergraduate,FEMST   186BV,GARRISON E K,C,1
W16,Graduate,FEMST   250JT,TYBURCZY J L,A,10
W16,Graduate,FEMST   595,MILLER-YOUNG,S,5
