Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W17,Undergraduate,ART       1A,TASCHIAN H J,A,1
W17,Undergraduate,ART       1A,TASCHIAN H J,A-,7
W17,Undergraduate,ART       1A,TASCHIAN H J,B+,9
W17,Undergraduate,ART       1A,TASCHIAN H J,B,12
W17,Undergraduate,ART       1A,TASCHIAN H J,B-,12
W17,Undergraduate,ART       1A,TASCHIAN H J,C+,11
W17,Undergraduate,ART       1A,TASCHIAN H J,C,10
W17,Undergraduate,ART       1A,TASCHIAN H J,C-,7
W17,Undergraduate,ART       1A,TASCHIAN H J,D+,7
W17,Undergraduate,ART       1A,TASCHIAN H J,D-,3
W17,Undergraduate,ART       1A,TASCHIAN H J,F,12
W17,Undergraduate,ART       7C,MULFINGER J,A,9
W17,Undergraduate,ART       7C,MULFINGER J,A-,20
W17,Undergraduate,ART       7C,MULFINGER J,B+,14
W17,Undergraduate,ART       7C,MULFINGER J,B,6
W17,Undergraduate,ART       7C,MULFINGER J,B-,1
W17,Undergraduate,ART       7C,MULFINGER J,C,1
W17,Undergraduate,ART       7D,JEVBRATT L V,A,5
W17,Undergraduate,ART       7D,JEVBRATT L V,A-,38
W17,Undergraduate,ART       7D,JEVBRATT L V,B+,12
W17,Undergraduate,ART       7D,JEVBRATT L V,B,10
W17,Undergraduate,ART       7D,JEVBRATT L V,B-,7
W17,Undergraduate,ART       7D,JEVBRATT L V,C+,2
W17,Undergraduate,ART       7D,JEVBRATT L V,F,1
W17,Undergraduate,ART      10,ELLIS C M,A+,3
W17,Undergraduate,ART      10,ELLIS C M,A,13
W17,Undergraduate,ART      10,ELLIS C M,A-,2
W17,Undergraduate,ART      10,ELLIS C M,B+,1
W17,Undergraduate,ART      10,ELLIS C M,B,1
W17,Undergraduate,ART      14,ELLIS C M,A+,2
W17,Undergraduate,ART      14,ELLIS C M,A,6
W17,Undergraduate,ART      14,ELLIS C M,A-,8
W17,Undergraduate,ART      14,ELLIS C M,B,1
W17,Undergraduate,ART      18,BELTZ E A,A+,1
W17,Undergraduate,ART      18,BELTZ E A,A,3
W17,Undergraduate,ART      18,BELTZ E A,A-,4
W17,Undergraduate,ART      18,BELTZ E A,B+,3
W17,Undergraduate,ART      18,BELTZ E A,B,4
W17,Undergraduate,ART      18,BELTZ E A,C,2
W17,Undergraduate,ART      18,BELTZ E A,C-,1
W17,Undergraduate,ART      18,BELTZ E A,F,1
W17,Undergraduate,ART      19,ST. ANDREWS J,A+,6
W17,Undergraduate,ART      19,ST. ANDREWS J,A,18
W17,Undergraduate,ART      19,ST. ANDREWS J,A-,13
W17,Undergraduate,ART      19,ST. ANDREWS J,B+,5
W17,Undergraduate,ART      19,ST. ANDREWS J,B,9
W17,Undergraduate,ART      19,ST. ANDREWS J,B-,1
W17,Undergraduate,ART      19,ST. ANDREWS J,F,1
W17,Undergraduate,ART      22,CHEN MENGYU,A+,4
W17,Undergraduate,ART      22,CHEN MENGYU,A,11
W17,Undergraduate,ART      22,CHEN MENGYU,A-,1
W17,Undergraduate,ART      22,CHEN MENGYU,B,1
W17,Undergraduate,ART      22,CHEN MENGYU,B-,2
W17,Undergraduate,ART      22,CHEN MENGYU,C,1
W17,Undergraduate,ART     100,ARGENT P,A,6
W17,Undergraduate,ART     100,ARGENT P,A-,3
W17,Undergraduate,ART     100,ARGENT P,B+,5
W17,Undergraduate,ART     100,ARGENT P,B,2
W17,Undergraduate,ART     100,ARGENT P,B-,1
W17,Undergraduate,ART     100,ARGENT P,D-,2
W17,Undergraduate,ART     101,CALLISTER J,A+,2
W17,Undergraduate,ART     101,CALLISTER J,A,3
W17,Undergraduate,ART     101,CALLISTER J,A-,3
W17,Undergraduate,ART     101,CALLISTER J,B+,1
W17,Undergraduate,ART     101,CALLISTER J,B,3
W17,Undergraduate,ART     106FA,YASUDA K,A,13
W17,Undergraduate,ART     106FA,YASUDA K,A-,3
W17,Undergraduate,ART     106FA,YASUDA K,B,1
W17,Undergraduate,ART     106W,WHITE J S,A-,1
W17,Undergraduate,ART     106W,WHITE J S,B+,1
W17,Undergraduate,ART     106W,WHITE J S,B,5
W17,Undergraduate,ART     106W,WHITE J S,F,2
W17,Undergraduate,ART     112,WEBB J S,A,6
W17,Undergraduate,ART     112,WEBB J S,A-,3
W17,Undergraduate,ART     112,WEBB J S,B+,2
W17,Undergraduate,ART     112,WEBB J S,B,3
W17,Undergraduate,ART     117,BELTZ E A,A+,1
W17,Undergraduate,ART     117,BELTZ E A,A,6
W17,Undergraduate,ART     117,BELTZ E A,A-,4
W17,Undergraduate,ART     117,BELTZ E A,B+,3
W17,Undergraduate,ART     117,BELTZ E A,B,5
W17,Undergraduate,ART     117,BELTZ E A,B-,1
W17,Undergraduate,ART     117,BELTZ E A,C,1
W17,Undergraduate,ART     120PV,ST. ANDREWS J,A+,5
W17,Undergraduate,ART     120PV,ST. ANDREWS J,A,13
W17,Undergraduate,ART     120PV,ST. ANDREWS J,A-,3
W17,Undergraduate,ART     132,GURANTZ M,A,2
W17,Undergraduate,ART     132,GURANTZ M,A-,9
W17,Undergraduate,ART     132,GURANTZ M,B,1
W17,Undergraduate,ART     177,PELJHAN M,A+,3
W17,Undergraduate,ART     177,PELJHAN M,A,5
W17,Undergraduate,ART     177,PELJHAN M,A-,2
W17,Undergraduate,ART     177,PELJHAN M,B+,2
W17,Undergraduate,ART     177,PELJHAN M,B,2
W17,Undergraduate,ART     177,PELJHAN M,B-,2
W17,Undergraduate,ART     196,BECKMAN L B,A,2
W17,Undergraduate,ART     196,BECKMAN L B,A-,3
W17,Undergraduate,ART     196,BECKMAN L B,B+,3
W17,Undergraduate,ART     196,BECKMAN L B,C,1
W17,Undergraduate,ART     199,YASUDA K,A,14
W17,Graduate,ART     244,GURANTZ M,A,12
W17,Graduate,ART     245,GARDNER C,A+,1
W17,Graduate,ART     245,GARDNER C,A,3
W17,Graduate,ART     245,GARDNER C,B,1
W17,Undergraduate,ART  CS 101,CONNALLY D E,P,9
W17,Undergraduate,ART  CS 101,PITCHER H,P,13
W17,Undergraduate,ART  CS 102,PITCHER H,P,11
W17,Undergraduate,ART  CS 105,EKSTROM L,P,12
W17,Undergraduate,ART  CS 120,BAKER E A,P,14
W17,Undergraduate,ARTHI     1,PAUL C,A+,1
W17,Undergraduate,ARTHI     1,PAUL C,A,22
W17,Undergraduate,ARTHI     1,PAUL C,A-,17
W17,Undergraduate,ARTHI     1,PAUL C,B+,17
W17,Undergraduate,ARTHI     1,PAUL C,B,22
W17,Undergraduate,ARTHI     1,PAUL C,B-,17
W17,Undergraduate,ARTHI     1,PAUL C,C+,5
W17,Undergraduate,ARTHI     1,PAUL C,C,9
W17,Undergraduate,ARTHI     1,PAUL C,D+,1
W17,Undergraduate,ARTHI     1,PAUL C,D,2
W17,Undergraduate,ARTHI     1,PAUL C,F,13
W17,Undergraduate,ARTHI     6B,BADAMO H A,A+,6
W17,Undergraduate,ARTHI     6B,BADAMO H A,A,34
W17,Undergraduate,ARTHI     6B,BADAMO H A,A-,56
W17,Undergraduate,ARTHI     6B,BADAMO H A,B+,51
W17,Undergraduate,ARTHI     6B,BADAMO H A,B,91
W17,Undergraduate,ARTHI     6B,BADAMO H A,B-,52
W17,Undergraduate,ARTHI     6B,BADAMO H A,C+,39
W17,Undergraduate,ARTHI     6B,BADAMO H A,C,21
W17,Undergraduate,ARTHI     6B,BADAMO H A,C-,10
W17,Undergraduate,ARTHI     6B,BADAMO H A,D,6
W17,Undergraduate,ARTHI     6B,BADAMO H A,D-,2
W17,Undergraduate,ARTHI     6B,BADAMO H A,F,16
W17,Undergraduate,ARTHI     6DW,WATTLES M,A+,1
W17,Undergraduate,ARTHI     6DW,WATTLES M,A,21
W17,Undergraduate,ARTHI     6DW,WATTLES M,A-,19
W17,Undergraduate,ARTHI     6DW,WATTLES M,B+,28
W17,Undergraduate,ARTHI     6DW,WATTLES M,B,13
