Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W17,Undergraduate,CLASS    20B,MACLEAN R B,A,17
W17,Undergraduate,CLASS    20B,MACLEAN R B,A-,14
W17,Undergraduate,CLASS    20B,MACLEAN R B,B+,19
W17,Undergraduate,CLASS    20B,MACLEAN R B,B,22
W17,Undergraduate,CLASS    20B,MACLEAN R B,B-,12
W17,Undergraduate,CLASS    20B,MACLEAN R B,C+,11
W17,Undergraduate,CLASS    20B,MACLEAN R B,C,11
W17,Undergraduate,CLASS    20B,MACLEAN R B,C-,10
W17,Undergraduate,CLASS    20B,MACLEAN R B,D+,6
W17,Undergraduate,CLASS    20B,MACLEAN R B,D,5
W17,Undergraduate,CLASS    20B,MACLEAN R B,D-,2
W17,Undergraduate,CLASS    20B,MACLEAN R B,F,6
W17,Undergraduate,CLASS    40,MORALES H L,A+,50
W17,Undergraduate,CLASS    40,MORALES H L,A,249
W17,Undergraduate,CLASS    40,MORALES H L,A-,126
W17,Undergraduate,CLASS    40,MORALES H L,B+,89
W17,Undergraduate,CLASS    40,MORALES H L,B,80
W17,Undergraduate,CLASS    40,MORALES H L,B-,30
W17,Undergraduate,CLASS    40,MORALES H L,C+,23
W17,Undergraduate,CLASS    40,MORALES H L,C,25
W17,Undergraduate,CLASS    40,MORALES H L,C-,2
W17,Undergraduate,CLASS    40,MORALES H L,D+,3
W17,Undergraduate,CLASS    40,MORALES H L,D,1
W17,Undergraduate,CLASS    40,MORALES H L,D-,3
W17,Undergraduate,CLASS    40,MORALES H L,F,2
W17,Undergraduate,CLASS    50,GALLUCCI R,A+,27
W17,Undergraduate,CLASS    50,GALLUCCI R,A,32
W17,Undergraduate,CLASS    50,GALLUCCI R,A-,22
W17,Undergraduate,CLASS    50,GALLUCCI R,B+,13
W17,Undergraduate,CLASS    50,GALLUCCI R,B,28
W17,Undergraduate,CLASS    50,GALLUCCI R,B-,7
W17,Undergraduate,CLASS    50,GALLUCCI R,C+,10
W17,Undergraduate,CLASS    50,GALLUCCI R,C,10
W17,Undergraduate,CLASS    50,GALLUCCI R,F,2
W17,Undergraduate,CLASS   106,DUTSCH D,A+,3
W17,Undergraduate,CLASS   106,DUTSCH D,A,13
W17,Undergraduate,CLASS   106,DUTSCH D,A-,22
W17,Undergraduate,CLASS   106,DUTSCH D,B+,13
W17,Undergraduate,CLASS   106,DUTSCH D,B,13
W17,Undergraduate,CLASS   106,DUTSCH D,B-,5
W17,Undergraduate,CLASS   106,DUTSCH D,C+,4
W17,Undergraduate,CLASS   106,DUTSCH D,C,4
W17,Undergraduate,CLASS   106,DUTSCH D,C-,3
W17,Undergraduate,CLASS   106,DUTSCH D,D-,1
W17,Undergraduate,CLASS   106,DUTSCH D,F,5
W17,Graduate,CLASS   212,DUNN F M,A,5
W17,Graduate,CLASS   212,DUNN F M,A-,1
W17,Graduate,CLASS   234,ERICKSON B L,A,2
W17,Graduate,CLASS   234,ERICKSON B L,B,2
W17,Graduate,CLASS   234,ERICKSON B L,F,1
