Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W17,Undergraduate,MS        1AB,RAYFIELD T J,A+,4
W17,Undergraduate,MS        1AB,RAYFIELD T J,A,22
W17,Undergraduate,MS        1AB,RAYFIELD T J,D-,1
W17,Undergraduate,MS        2AB,RAYFIELD T J,A+,2
W17,Undergraduate,MS        2AB,RAYFIELD T J,A,10
W17,Undergraduate,MS        2AB,RAYFIELD T J,A-,2
W17,Undergraduate,MS        2AB,RAYFIELD T J,B,1
W17,Undergraduate,MS       22,RAYFIELD T J,A+,5
W17,Undergraduate,MS       22,RAYFIELD T J,A,22
W17,Undergraduate,MS       22,RAYFIELD T J,A-,5
W17,Undergraduate,MS       22,RAYFIELD T J,B-,1
W17,Undergraduate,MS       22,RAYFIELD T J,C,1
W17,Undergraduate,MS       27,RAYFIELD T J,A+,3
W17,Undergraduate,MS       27,RAYFIELD T J,A,3
W17,Undergraduate,MS       27,RAYFIELD T J,A-,2
W17,Undergraduate,MS       27,RAYFIELD T J,B+,4
W17,Undergraduate,MS       27,RAYFIELD T J,B,10
W17,Undergraduate,MS       27,RAYFIELD T J,B-,4
W17,Undergraduate,MS       27,RAYFIELD T J,C+,2
W17,Undergraduate,MS       27,RAYFIELD T J,C,7
W17,Undergraduate,MS       27,RAYFIELD T J,C-,1
W17,Undergraduate,MS       27,RAYFIELD T J,D+,1
W17,Undergraduate,MS       27,RAYFIELD T J,D,1
W17,Undergraduate,MS       27,RAYFIELD T J,F,2
W17,Undergraduate,MS       99,RAYFIELD T J,A+,1
W17,Undergraduate,MS       99,RAYFIELD T J,A,10
W17,Undergraduate,MS       99,RAYFIELD T J,A-,1
W17,Undergraduate,MS      132,RAYFIELD T J,A,16
W17,Undergraduate,MS      142,RAYFIELD T J,A+,1
W17,Undergraduate,MS      142,RAYFIELD T J,A,5
W17,Undergraduate,MS      142,RAYFIELD T J,A-,1
W17,Undergraduate,MS      142,RAYFIELD T J,B,2
W17,Undergraduate,MS      199,RAYFIELD T J,A+,2
W17,Undergraduate,MS      199,RAYFIELD T J,A,10
W17,Undergraduate,MS      199,RAYFIELD T J,A-,3
