Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W17,Undergraduate,PSTAT     5A,SWENSON J S,A+,5
W17,Undergraduate,PSTAT     5A,SWENSON J S,A,67
W17,Undergraduate,PSTAT     5A,SWENSON J S,A-,61
W17,Undergraduate,PSTAT     5A,SWENSON J S,B+,49
W17,Undergraduate,PSTAT     5A,SWENSON J S,B,69
W17,Undergraduate,PSTAT     5A,SWENSON J S,B-,36
W17,Undergraduate,PSTAT     5A,SWENSON J S,C+,55
W17,Undergraduate,PSTAT     5A,SWENSON J S,C,35
W17,Undergraduate,PSTAT     5A,SWENSON J S,C-,29
W17,Undergraduate,PSTAT     5A,SWENSON J S,D+,7
W17,Undergraduate,PSTAT     5A,SWENSON J S,D,4
W17,Undergraduate,PSTAT     5A,SWENSON J S,D-,4
W17,Undergraduate,PSTAT     5A,SWENSON J S,F,31
W17,Undergraduate,PSTAT     5H,HOLMES D E,P,19
W17,Undergraduate,PSTAT   109,SERUP J L,A+,4
W17,Undergraduate,PSTAT   109,SERUP J L,A,41
W17,Undergraduate,PSTAT   109,SERUP J L,A-,21
W17,Undergraduate,PSTAT   109,SERUP J L,B+,32
W17,Undergraduate,PSTAT   109,SERUP J L,B,31
W17,Undergraduate,PSTAT   109,SERUP J L,B-,35
W17,Undergraduate,PSTAT   109,SERUP J L,C+,35
W17,Undergraduate,PSTAT   109,SERUP J L,C,28
W17,Undergraduate,PSTAT   109,SERUP J L,C-,19
W17,Undergraduate,PSTAT   109,SERUP J L,F,12
W17,Undergraduate,PSTAT   120A,HOHN M E,A+,6
W17,Undergraduate,PSTAT   120A,HOHN M E,A,40
W17,Undergraduate,PSTAT   120A,HOHN M E,A-,7
W17,Undergraduate,PSTAT   120A,HOHN M E,B+,15
W17,Undergraduate,PSTAT   120A,HOHN M E,B,38
W17,Undergraduate,PSTAT   120A,HOHN M E,B-,20
W17,Undergraduate,PSTAT   120A,HOHN M E,C+,10
W17,Undergraduate,PSTAT   120A,HOHN M E,C,14
W17,Undergraduate,PSTAT   120A,HOHN M E,C-,17
W17,Undergraduate,PSTAT   120A,HOHN M E,D+,6
W17,Undergraduate,PSTAT   120A,HOHN M E,D,13
