Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W18,Undergraduate,CH ST     1B,HURTADO A,A+,22
W18,Undergraduate,CH ST     1B,HURTADO A,A,73
W18,Undergraduate,CH ST     1B,HURTADO A,A-,30
W18,Undergraduate,CH ST     1B,HURTADO A,B+,20
W18,Undergraduate,CH ST     1B,HURTADO A,B,21
W18,Undergraduate,CH ST     1B,HURTADO A,B-,5
W18,Undergraduate,CH ST     1B,HURTADO A,C+,1
W18,Undergraduate,CH ST     1B,HURTADO A,C,5
W18,Undergraduate,CH ST     1B,HURTADO A,F,1
W18,Undergraduate,CH ST   107,CASILLAS D I,A+,4
W18,Undergraduate,CH ST   107,CASILLAS D I,A,11
W18,Undergraduate,CH ST   107,CASILLAS D I,A-,11
W18,Undergraduate,CH ST   107,CASILLAS D I,B,1
W18,Undergraduate,CH ST   107,CASILLAS D I,C-,2
W18,Undergraduate,CH ST   110,FEMATT V L,A,2
W18,Undergraduate,CH ST   110,FEMATT V L,A-,1
W18,Undergraduate,CH ST   110,FEMATT V L,B+,4
W18,Undergraduate,CH ST   110,FEMATT V L,B,1
W18,Undergraduate,CH ST   110,FEMATT V L,B-,1
W18,Undergraduate,CH ST   110,FEMATT V L,C+,1
W18,Undergraduate,CH ST   110,FEMATT V L,C,3
W18,Undergraduate,CH ST   110,FEMATT V L,C-,1
W18,Undergraduate,CH ST   110,FEMATT V L,F,3
W18,Undergraduate,CH ST   113,LOPEZ F R,A,4
W18,Undergraduate,CH ST   113,LOPEZ F R,A-,4
W18,Undergraduate,CH ST   113,LOPEZ F R,B+,4
W18,Undergraduate,CH ST   113,LOPEZ F R,B,6
W18,Undergraduate,CH ST   113,LOPEZ F R,B-,4
W18,Undergraduate,CH ST   113,LOPEZ F R,C+,4
W18,Undergraduate,CH ST   113,LOPEZ F R,C,3
W18,Undergraduate,CH ST   113,LOPEZ F R,C-,3
W18,Undergraduate,CH ST   113,LOPEZ F R,F,3
W18,Undergraduate,CH ST   149,VILLANUEVA-NI,A,19
W18,Undergraduate,CH ST   149,VILLANUEVA-NI,A-,8
W18,Undergraduate,CH ST   149,VILLANUEVA-NI,B+,1
W18,Undergraduate,CH ST   149,VILLANUEVA-NI,B,2
W18,Undergraduate,CH ST   149,VILLANUEVA-NI,B-,1
W18,Undergraduate,CH ST   149,VILLANUEVA-NI,F,1
W18,Undergraduate,CH ST   151,SANDOVAL C,A+,1
W18,Undergraduate,CH ST   151,SANDOVAL C,A,24
W18,Undergraduate,CH ST   151,SANDOVAL C,A-,18
W18,Undergraduate,CH ST   151,SANDOVAL C,B+,5
W18,Undergraduate,CH ST   151,SANDOVAL C,B,4
W18,Undergraduate,CH ST   154,HERNANDEZ E D,A+,4
W18,Undergraduate,CH ST   154,HERNANDEZ E D,A,21
W18,Undergraduate,CH ST   154,HERNANDEZ E D,A-,21
W18,Undergraduate,CH ST   154,HERNANDEZ E D,B+,44
W18,Undergraduate,CH ST   154,HERNANDEZ E D,B,20
W18,Undergraduate,CH ST   154,HERNANDEZ E D,B-,13
W18,Undergraduate,CH ST   154,HERNANDEZ E D,C+,6
W18,Undergraduate,CH ST   154,HERNANDEZ E D,C,2
W18,Undergraduate,CH ST   154,HERNANDEZ E D,F,7
W18,Undergraduate,CH ST   168E,GARCIA M T,A+,2
W18,Undergraduate,CH ST   168E,GARCIA M T,A,7
W18,Undergraduate,CH ST   168E,GARCIA M T,A-,18
W18,Undergraduate,CH ST   168E,GARCIA M T,B+,9
W18,Undergraduate,CH ST   168E,GARCIA M T,B,10
W18,Undergraduate,CH ST   168E,GARCIA M T,B-,7
W18,Undergraduate,CH ST   168E,GARCIA M T,C+,2
W18,Undergraduate,CH ST   168E,GARCIA M T,C,1
W18,Undergraduate,CH ST   188C,DIAZ-SANCHEZ,A,6
W18,Undergraduate,CH ST   188C,DIAZ-SANCHEZ,A-,17
W18,Undergraduate,CH ST   188C,DIAZ-SANCHEZ,B+,2
W18,Undergraduate,CH ST   188C,DIAZ-SANCHEZ,B,1
W18,Undergraduate,CH ST   188C,DIAZ-SANCHEZ,B-,1
W18,Undergraduate,CH ST   191J,RODRIGUEZ C H,A+,1
W18,Undergraduate,CH ST   191J,RODRIGUEZ C H,A,12
W18,Undergraduate,CH ST   191J,RODRIGUEZ C H,A-,5
W18,Undergraduate,CH ST   191J,RODRIGUEZ C H,B+,2
W18,Undergraduate,CH ST   191J,RODRIGUEZ C H,B,2
W18,Undergraduate,CH ST   191J,RODRIGUEZ C H,C+,1
W18,Undergraduate,CH ST   191J,RODRIGUEZ C H,F,1
W18,Undergraduate,CH ST   193,FEMATT V L,A,1
W18,Undergraduate,CH ST   193,FEMATT V L,B+,1
W18,Undergraduate,CH ST   193,FEMATT V L,B,1
W18,Undergraduate,CH ST   193,FEMATT V L,B-,2
W18,Undergraduate,CH ST   193,FEMATT V L,F,1
W18,Undergraduate,CH ST   197HB,FERRADA J S,A+,5
W18,Undergraduate,CH ST   197HB,FERRADA J S,A,3
W18,Undergraduate,CH ST   197HB,FERRADA J S,F,1
