Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W18,Undergraduate,ENGR    101,HOUGH K C,A+,2
W18,Undergraduate,ENGR    101,HOUGH K C,A,53
W18,Undergraduate,ENGR    101,HOUGH K C,A-,5
W18,Undergraduate,ENGR    101,HOUGH K C,B+,3
W18,Undergraduate,ENGR    101,HOUGH K C,B,1
W18,Undergraduate,ENGR    177,PELJHAN M,A,6
W18,Undergraduate,ENGR    177,PELJHAN M,A-,1
W18,Undergraduate,ENGR    177,PELJHAN M,B,2
W18,Undergraduate,ENGR    195B,SUSKO T G,A+,8
W18,Undergraduate,ENGR    195B,SUSKO T G,A,11
W18,Undergraduate,ENGR    195B,SUSKO T G,A-,1
W18,Undergraduate,ENGR    195B,SUSKO T G,B,3
W18,Graduate,ENGR    220A,DOYLE A M,A+,3
W18,Graduate,ENGR    220A,DOYLE A M,A,2
W18,Graduate,ENGR    220A,DOYLE A M,A-,3
W18,Graduate,ENGR    220A,DOYLE A M,B+,1
W18,Graduate,ENGR    220A,DOYLE A M,B,3
W18,Graduate,ENGR    220A,DOYLE A M,C,1
W18,Graduate,ENGR    220A,PLAXCO K W,A+,3
W18,Graduate,ENGR    220A,PLAXCO K W,A,2
W18,Graduate,ENGR    220A,PLAXCO K W,A-,3
W18,Graduate,ENGR    220A,PLAXCO K W,B+,1
W18,Graduate,ENGR    220A,PLAXCO K W,B,3
W18,Graduate,ENGR    220A,PLAXCO K W,C,1
W18,Graduate,ENGR    225,DOYLE A M,S,6
W18,Graduate,ENGR    225,DOYLE A M,U,2
