Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W18,Undergraduate,KOR       2,LEE W A,A,21
W18,Undergraduate,KOR       2,LEE W A,A-,2
W18,Undergraduate,KOR       2,LEE W A,B,3
W18,Undergraduate,KOR       2,LEE W A,B-,1
W18,Undergraduate,KOR       2,LEE W A,F,1
W18,Undergraduate,KOR     182B,PAI H I,A-,3
W18,Undergraduate,KOR     182B,PAI H I,B+,3
W18,Undergraduate,KOR     182B,PAI H I,B,3
W18,Undergraduate,KOR     182B,PAI H I,B-,3
W18,Undergraduate,KOR     182B,PAI H I,C+,4
W18,Undergraduate,KOR     182B,PAI H I,C,2
W18,Undergraduate,KOR     182B,PAI H I,C-,1
W18,Undergraduate,KOR     182B,PAI H I,D-,1
W18,Undergraduate,KOR     182B,PAI H I,F,4
