Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W18,Undergraduate,LING      3A,LASHMET A J,P,15
W18,Undergraduate,LING      3A,LASHMET A J,NP,3
W18,Undergraduate,LING      3A,ROBERTSON J L,P,14
W18,Undergraduate,LING      3A,ROBERTSON J L,NP,1
W18,Undergraduate,LING      3B,BAKER A D,A,10
W18,Undergraduate,LING      3B,BAKER A D,B+,3
W18,Undergraduate,LING      3B,BAKER A D,B,2
W18,Undergraduate,LING      3B,BAKER A D,B-,1
W18,Undergraduate,LING      3B,DENEROFF I,A+,3
W18,Undergraduate,LING      3B,DENEROFF I,A,11
W18,Undergraduate,LING      3B,DENEROFF I,A-,5
W18,Undergraduate,LING      3B,DENEROFF I,B+,8
W18,Undergraduate,LING      3B,DENEROFF I,B,1
W18,Undergraduate,LING      3B,DENEROFF I,C,1
W18,Undergraduate,LING      3B,DENEROFF I,C-,1
W18,Undergraduate,LING      3B,NAUGHTON S J,A,7
W18,Undergraduate,LING      3B,NAUGHTON S J,A-,5
W18,Undergraduate,LING      3B,NAUGHTON S J,B+,5
W18,Undergraduate,LING      3B,NAUGHTON S J,B,1
W18,Undergraduate,LING      3B,ROBERTSON J L,A,10
W18,Undergraduate,LING      3B,ROBERTSON J L,A-,11
W18,Undergraduate,LING      3B,ROBERTSON J L,B+,3
W18,Undergraduate,LING      3B,ROBERTSON J L,B,6
W18,Undergraduate,LING      3B,ROBERTSON J L,C+,1
W18,Undergraduate,LING      3B,WAHLBERG D D,A+,2
W18,Undergraduate,LING      3B,WAHLBERG D D,A,20
W18,Undergraduate,LING      3B,WAHLBERG D D,A-,10
W18,Undergraduate,LING      3B,WAHLBERG D D,B+,2
W18,Undergraduate,LING      3B,WAHLBERG D D,B,1
W18,Undergraduate,LING      3B,WAHLBERG D D,B-,1
W18,Undergraduate,LING      3B,WESTMACOTT B,A,15
W18,Undergraduate,LING      3B,WESTMACOTT B,A-,9
W18,Undergraduate,LING      3B,WESTMACOTT B,B+,9
W18,Undergraduate,LING      3B,WESTMACOTT B,B,1
W18,Undergraduate,LING      3B,WESTMACOTT B,B-,1
W18,Undergraduate,LING      3C,BOWMAN I K,A-,3
W18,Undergraduate,LING      3C,BOWMAN I K,B+,1
W18,Undergraduate,LING      3C,BOWMAN I K,B,1
W18,Undergraduate,LING      3C,CORONA K D,A,15
W18,Undergraduate,LING      3C,CORONA K D,A-,18
W18,Undergraduate,LING      3C,CORONA K D,B+,11
W18,Undergraduate,LING      3C,CORONA K D,B,5
W18,Undergraduate,LING      3C,CORONA K D,B-,1
W18,Undergraduate,LING      3C,CORONA K D,C+,1
W18,Undergraduate,LING      3C,CORONA K D,C,1
W18,Undergraduate,LING      3C,CORONA K D,C-,1
W18,Undergraduate,LING      3C,DENEROFF I,A+,4
W18,Undergraduate,LING      3C,DENEROFF I,A,3
W18,Undergraduate,LING      3C,DENEROFF I,A-,4
W18,Undergraduate,LING      3C,DENEROFF I,B+,5
W18,Undergraduate,LING      3C,LASHMET A J,A,15
W18,Undergraduate,LING      3C,LASHMET A J,A-,4
W18,Undergraduate,LING      3C,LASHMET A J,B+,6
W18,Undergraduate,LING      3C,LASHMET A J,B,1
W18,Undergraduate,LING      3C,LASHMET A J,B-,1
W18,Undergraduate,LING      3C,SMALL A L,A+,4
W18,Undergraduate,LING      3C,SMALL A L,A,14
W18,Undergraduate,LING      3C,SMALL A L,A-,17
W18,Undergraduate,LING      3C,SMALL A L,B+,9
W18,Undergraduate,LING      3C,SMALL A L,B,8
W18,Undergraduate,LING      3G,GOUGH J D,P,14
W18,Undergraduate,LING      4,GOUGH J D,P,16
W18,Undergraduate,LING      6,HANSON J L,P,16
W18,Undergraduate,LING      8,WESTMACOTT B,A,9
W18,Undergraduate,LING      8,WESTMACOTT B,A-,1
W18,Undergraduate,LING      8,WESTMACOTT B,F,1
W18,Undergraduate,LING     12,BAKER A D,A,9
W18,Undergraduate,LING     12,BAKER A D,A-,12
W18,Undergraduate,LING     12,BAKER A D,B+,6
W18,Undergraduate,LING     12,BAKER A D,B,3
