Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W18,Undergraduate,PSY       3,PENTON R E,A+,7
W18,Undergraduate,PSY       3,PENTON R E,A,10
W18,Undergraduate,PSY       3,PENTON R E,A-,7
W18,Undergraduate,PSY       3,PENTON R E,B+,15
W18,Undergraduate,PSY       3,PENTON R E,B,16
W18,Undergraduate,PSY       3,PENTON R E,B-,15
W18,Undergraduate,PSY       3,PENTON R E,C+,29
W18,Undergraduate,PSY       3,PENTON R E,C,22
W18,Undergraduate,PSY       3,PENTON R E,C-,17
W18,Undergraduate,PSY       3,PENTON R E,D+,5
W18,Undergraduate,PSY       3,PENTON R E,D,3
W18,Undergraduate,PSY       3,PENTON R E,D-,2
W18,Undergraduate,PSY       3,PENTON R E,F,16
W18,Undergraduate,PSY       7,HERRERA ORTIZ,A,17
W18,Undergraduate,PSY       7,HERRERA ORTIZ,A-,8
W18,Undergraduate,PSY       7,HERRERA ORTIZ,B+,18
W18,Undergraduate,PSY       7,HERRERA ORTIZ,B,17
W18,Undergraduate,PSY       7,HERRERA ORTIZ,B-,17
W18,Undergraduate,PSY       7,HERRERA ORTIZ,C+,33
W18,Undergraduate,PSY       7,HERRERA ORTIZ,C,16
W18,Undergraduate,PSY       7,HERRERA ORTIZ,C-,16
W18,Undergraduate,PSY       7,HERRERA ORTIZ,D,12
W18,Undergraduate,PSY       7,HERRERA ORTIZ,F,9
W18,Undergraduate,PSY      90B,KIM H S,A,17
W18,Undergraduate,PSY      90B,KIM H S,B-,1
W18,Undergraduate,PSY     102,GABLE S,A+,13
W18,Undergraduate,PSY     102,GABLE S,A,95
W18,Undergraduate,PSY     102,GABLE S,A-,40
W18,Undergraduate,PSY     102,GABLE S,B+,52
W18,Undergraduate,PSY     102,GABLE S,B,109
W18,Undergraduate,PSY     102,GABLE S,B-,31
W18,Undergraduate,PSY     102,GABLE S,C+,12
W18,Undergraduate,PSY     102,GABLE S,C,35
W18,Undergraduate,PSY     102,GABLE S,C-,20
W18,Undergraduate,PSY     102,GABLE S,D,12
W18,Undergraduate,PSY     102,GABLE S,D-,1
W18,Undergraduate,PSY     102,GABLE S,F,5
W18,Undergraduate,PSY     108,REVLIN R,A,26
W18,Undergraduate,PSY     108,REVLIN R,B+,28
W18,Undergraduate,PSY     108,REVLIN R,B,46
W18,Undergraduate,PSY     108,REVLIN R,B-,41
W18,Undergraduate,PSY     108,REVLIN R,C+,22
W18,Undergraduate,PSY     108,REVLIN R,C,47
W18,Undergraduate,PSY     108,REVLIN R,C-,23
W18,Undergraduate,PSY     108,REVLIN R,D,18
W18,Undergraduate,PSY     108,REVLIN R,F,9
W18,Undergraduate,PSY     118L,GIESBRECHT B,A,4
W18,Undergraduate,PSY     118L,GIESBRECHT B,A-,4
W18,Undergraduate,PSY     118L,GIESBRECHT B,B+,13
W18,Undergraduate,PSY     118L,GIESBRECHT B,B,6
W18,Undergraduate,PSY     118L,GIESBRECHT B,B-,2
W18,Undergraduate,PSY     118L,GIESBRECHT B,C+,2
W18,Undergraduate,PSY     120L,WOODS V E,A+,1
W18,Undergraduate,PSY     120L,WOODS V E,A,9
W18,Undergraduate,PSY     120L,WOODS V E,A-,10
W18,Undergraduate,PSY     120L,WOODS V E,B+,9
W18,Undergraduate,PSY     120L,WOODS V E,B,5
W18,Undergraduate,PSY     120L,WOODS V E,B-,4
W18,Undergraduate,PSY     120L,WOODS V E,C+,1
W18,Undergraduate,PSY     124,MAYER R E,A+,1
W18,Undergraduate,PSY     124,MAYER R E,A,19
W18,Undergraduate,PSY     124,MAYER R E,A-,11
W18,Undergraduate,PSY     124,MAYER R E,B+,22
W18,Undergraduate,PSY     124,MAYER R E,B,13
W18,Undergraduate,PSY     124,MAYER R E,B-,12
W18,Undergraduate,PSY     124,MAYER R E,C+,11
W18,Undergraduate,PSY     124,MAYER R E,C,5
W18,Undergraduate,PSY     124,MAYER R E,C-,1
W18,Undergraduate,PSY     124,MAYER R E,D,1
W18,Undergraduate,PSY     124,MAYER R E,F,2
W18,Undergraduate,PSY     129L,ECKSTEIN M P,A+,2
W18,Undergraduate,PSY     129L,ECKSTEIN M P,A,12
W18,Undergraduate,PSY     129L,ECKSTEIN M P,A-,4
W18,Undergraduate,PSY     129L,ECKSTEIN M P,B+,5
W18,Undergraduate,PSY     129L,ECKSTEIN M P,B,3
W18,Undergraduate,PSY     129L,ECKSTEIN M P,B-,1
W18,Undergraduate,PSY     129L,ECKSTEIN M P,C+,1
W18,Undergraduate,PSY     129L,ECKSTEIN M P,C,1
W18,Undergraduate,PSY     133,WOODS V E,A+,1
W18,Undergraduate,PSY     133,WOODS V E,A,10
W18,Undergraduate,PSY     133,WOODS V E,A-,11
W18,Undergraduate,PSY     133,WOODS V E,B+,16
W18,Undergraduate,PSY     133,WOODS V E,B,10
W18,Undergraduate,PSY     133,WOODS V E,B-,9
W18,Undergraduate,PSY     133,WOODS V E,C+,8
W18,Undergraduate,PSY     133,WOODS V E,C,6
W18,Undergraduate,PSY     133,WOODS V E,C-,2
W18,Undergraduate,PSY     133,WOODS V E,D+,1
W18,Undergraduate,PSY     133,WOODS V E,D,3
W18,Undergraduate,PSY     133,WOODS V E,F,4
W18,Undergraduate,PSY     134,THAYER B S,A+,1
W18,Undergraduate,PSY     134,THAYER B S,A,4
W18,Undergraduate,PSY     134,THAYER B S,A-,19
W18,Undergraduate,PSY     134,THAYER B S,B+,12
W18,Undergraduate,PSY     134,THAYER B S,B,26
W18,Undergraduate,PSY     134,THAYER B S,B-,13
W18,Undergraduate,PSY     134,THAYER B S,C+,12
W18,Undergraduate,PSY     134,THAYER B S,C,6
W18,Undergraduate,PSY     134,THAYER B S,C-,3
W18,Undergraduate,PSY     134,THAYER B S,D+,5
W18,Undergraduate,PSY     134,THAYER B S,D,2
W18,Undergraduate,PSY     134,THAYER B S,D-,1
W18,Undergraduate,PSY     134,THAYER B S,F,3
W18,Undergraduate,PSY     138L,KIPPIN T E,A+,7
W18,Undergraduate,PSY     138L,KIPPIN T E,A,20
W18,Undergraduate,PSY     138L,KIPPIN T E,A-,18
W18,Undergraduate,PSY     138L,KIPPIN T E,B+,5
W18,Undergraduate,PSY     138L,KIPPIN T E,B,4
W18,Undergraduate,PSY     138L,KIPPIN T E,D,1
W18,Undergraduate,PSY     142,COSMIDES L,A+,2
W18,Undergraduate,PSY     142,COSMIDES L,A,15
W18,Undergraduate,PSY     142,COSMIDES L,A-,20
W18,Undergraduate,PSY     142,COSMIDES L,B+,15
W18,Undergraduate,PSY     142,COSMIDES L,B,14
W18,Undergraduate,PSY     142,COSMIDES L,B-,12
W18,Undergraduate,PSY     142,COSMIDES L,C+,1
W18,Undergraduate,PSY     142,COSMIDES L,C,4
W18,Undergraduate,PSY     142,COSMIDES L,C-,2
W18,Undergraduate,PSY     142,COSMIDES L,D+,1
W18,Undergraduate,PSY     142,COSMIDES L,F,4
W18,Undergraduate,PSY     144,GABLE S,A+,6
W18,Undergraduate,PSY     144,GABLE S,A,50
W18,Undergraduate,PSY     144,GABLE S,A-,27
W18,Undergraduate,PSY     144,GABLE S,B+,23
W18,Undergraduate,PSY     144,GABLE S,B,42
W18,Undergraduate,PSY     144,GABLE S,B-,5
W18,Undergraduate,PSY     144,GABLE S,C+,8
W18,Undergraduate,PSY     144,GABLE S,C,7
W18,Undergraduate,PSY     144,GABLE S,C-,1
W18,Undergraduate,PSY     144,GABLE S,D,1
W18,Undergraduate,PSY     145,GERMAN T C M,A+,28
W18,Undergraduate,PSY     145,GERMAN T C M,A,52
W18,Undergraduate,PSY     145,GERMAN T C M,A-,44
W18,Undergraduate,PSY     145,GERMAN T C M,B+,40
W18,Undergraduate,PSY     145,GERMAN T C M,B,36
W18,Undergraduate,PSY     145,GERMAN T C M,B-,22
W18,Undergraduate,PSY     145,GERMAN T C M,C+,12
W18,Undergraduate,PSY     145,GERMAN T C M,C,16
W18,Undergraduate,PSY     145,GERMAN T C M,C-,5
W18,Undergraduate,PSY     145,GERMAN T C M,D,2
W18,Undergraduate,PSY     145,GERMAN T C M,F,2
W18,Undergraduate,PSY     146,RONEY J R,A+,1
W18,Undergraduate,PSY     146,RONEY J R,A,19
W18,Undergraduate,PSY     146,RONEY J R,A-,20
W18,Undergraduate,PSY     146,RONEY J R,B+,14
W18,Undergraduate,PSY     146,RONEY J R,B,41
W18,Undergraduate,PSY     146,RONEY J R,B-,10
W18,Undergraduate,PSY     146,RONEY J R,C+,15
W18,Undergraduate,PSY     146,RONEY J R,C,16
W18,Undergraduate,PSY     146,RONEY J R,C-,8
W18,Undergraduate,PSY     146,RONEY J R,D+,2
W18,Undergraduate,PSY     146,RONEY J R,D,1
W18,Undergraduate,PSY     146,RONEY J R,F,3
W18,Undergraduate,PSY     160DS,SHERMAN D A,A+,3
W18,Undergraduate,PSY     160DS,SHERMAN D A,A,9
W18,Undergraduate,PSY     160DS,SHERMAN D A,A-,11
W18,Undergraduate,PSY     160DS,SHERMAN D A,B+,4
W18,Undergraduate,PSY     160DS,SHERMAN D A,B,3
W18,Undergraduate,PSY     160DS,SHERMAN D A,B-,1
W18,Undergraduate,PSY     160DS,SHERMAN D A,C+,2
W18,Undergraduate,PSY     160DS,SHERMAN D A,C,1
W18,Undergraduate,PSY     160SC,SCHOOLER J W,A,9
W18,Undergraduate,PSY     160SC,SCHOOLER J W,A-,9
W18,Undergraduate,PSY     160SC,SCHOOLER J W,B+,14
W18,Undergraduate,PSY     160SC,SCHOOLER J W,B,19
W18,Undergraduate,PSY     160SC,SCHOOLER J W,B-,14
W18,Undergraduate,PSY     160SC,SCHOOLER J W,C+,11
W18,Undergraduate,PSY     160SC,SCHOOLER J W,C,9
W18,Undergraduate,PSY     160SC,SCHOOLER J W,C-,6
W18,Undergraduate,PSY     160SC,SCHOOLER J W,D+,2
W18,Undergraduate,PSY     160SC,SCHOOLER J W,D,5
W18,Undergraduate,PSY     160SC,SCHOOLER J W,F,4
W18,Undergraduate,PSY     160SK,KLEIN S B,A+,7
W18,Undergraduate,PSY     160SK,KLEIN S B,A,12
W18,Undergraduate,PSY     160SK,KLEIN S B,A-,10
W18,Undergraduate,PSY     160SK,KLEIN S B,B+,18
W18,Undergraduate,PSY     160SK,KLEIN S B,B,8
W18,Undergraduate,PSY     160SK,KLEIN S B,B-,4
W18,Undergraduate,PSY     160SK,KLEIN S B,C+,6
W18,Undergraduate,PSY     160SK,KLEIN S B,C,5
W18,Undergraduate,PSY     160SK,KLEIN S B,C-,3
W18,Undergraduate,PSY     160SK,KLEIN S B,D+,6
W18,Undergraduate,PSY     160SK,KLEIN S B,F,1
W18,Undergraduate,PSY     163EJ,JACOBS E,A,64
W18,Undergraduate,PSY     163EJ,JACOBS E,A-,43
W18,Undergraduate,PSY     163EJ,JACOBS E,B+,14
W18,Undergraduate,PSY     163EJ,JACOBS E,B,11
W18,Undergraduate,PSY     163EJ,JACOBS E,B-,5
W18,Undergraduate,PSY     163EJ,JACOBS E,C+,2
W18,Undergraduate,PSY     163EJ,JACOBS E,C-,1
W18,Undergraduate,PSY     163EJ,JACOBS E,F,1
W18,Undergraduate,PSY     199,ECKSTEIN M P,A+,1
W18,Undergraduate,PSY     199,ECKSTEIN M P,A,12
W18,Undergraduate,PSY     199,GABLE S,A,7
