Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W18,Undergraduate,SPAN      1,CENICEROS R C,A,7
W18,Undergraduate,SPAN      1,CENICEROS R C,A-,10
W18,Undergraduate,SPAN      1,CENICEROS R C,B+,10
W18,Undergraduate,SPAN      1,CENICEROS R C,B,10
W18,Undergraduate,SPAN      1,CENICEROS R C,B-,4
W18,Undergraduate,SPAN      1,CENICEROS R C,C+,1
W18,Undergraduate,SPAN      1,CENICEROS R C,C,2
W18,Undergraduate,SPAN      1,CENICEROS R C,C-,2
W18,Undergraduate,SPAN      1,CENICEROS R C,F,1
W18,Undergraduate,SPAN      1,FERNANDEZ L,A,3
W18,Undergraduate,SPAN      1,FERNANDEZ L,A-,1
W18,Undergraduate,SPAN      1,FERNANDEZ L,B+,5
W18,Undergraduate,SPAN      1,FERNANDEZ L,B,2
W18,Undergraduate,SPAN      1,FERNANDEZ L,B-,1
W18,Undergraduate,SPAN      1,FERNANDEZ L,C+,4
W18,Undergraduate,SPAN      1,FERNANDEZ L,C,3
W18,Undergraduate,SPAN      1,FERNANDEZ L,D,1
W18,Undergraduate,SPAN      1,FERNANDEZ L,F,2
W18,Undergraduate,SPAN      1,REQUENA A M,A,2
W18,Undergraduate,SPAN      1,REQUENA A M,A-,8
W18,Undergraduate,SPAN      1,REQUENA A M,B+,1
W18,Undergraduate,SPAN      1,REQUENA A M,B,12
W18,Undergraduate,SPAN      1,REQUENA A M,B-,3
W18,Undergraduate,SPAN      1,REQUENA A M,C+,1
W18,Undergraduate,SPAN      1,REQUENA A M,C,8
W18,Undergraduate,SPAN      1,REQUENA A M,C-,3
W18,Undergraduate,SPAN      1,REQUENA A M,D+,3
W18,Undergraduate,SPAN      1,REQUENA A M,F,3
W18,Undergraduate,SPAN      2,CENICEROS R C,A-,4
W18,Undergraduate,SPAN      2,CENICEROS R C,B,4
W18,Undergraduate,SPAN      2,CENICEROS R C,B-,5
W18,Undergraduate,SPAN      2,CENICEROS R C,C+,1
W18,Undergraduate,SPAN      2,CENICEROS R C,C,7
W18,Undergraduate,SPAN      2,CENICEROS R C,C-,1
W18,Undergraduate,SPAN      2,FERNANDEZ L,A,3
W18,Undergraduate,SPAN      2,FERNANDEZ L,A-,6
W18,Undergraduate,SPAN      2,FERNANDEZ L,B+,2
W18,Undergraduate,SPAN      2,FERNANDEZ L,B,13
W18,Undergraduate,SPAN      2,FERNANDEZ L,B-,4
W18,Undergraduate,SPAN      2,FERNANDEZ L,C+,2
W18,Undergraduate,SPAN      2,FERNANDEZ L,C,5
W18,Undergraduate,SPAN      2,FERNANDEZ L,C-,2
W18,Undergraduate,SPAN      2,FERNANDEZ L,D+,1
W18,Undergraduate,SPAN      2,FERNANDEZ L,D,1
W18,Undergraduate,SPAN      2,FERNANDEZ L,D-,1
W18,Undergraduate,SPAN      2,FIGUEREDO O O,A,3
W18,Undergraduate,SPAN      2,FIGUEREDO O O,A-,2
W18,Undergraduate,SPAN      2,FIGUEREDO O O,B+,2
W18,Undergraduate,SPAN      2,FIGUEREDO O O,B,9
W18,Undergraduate,SPAN      2,FIGUEREDO O O,B-,9
W18,Undergraduate,SPAN      2,FIGUEREDO O O,C+,2
W18,Undergraduate,SPAN      2,FIGUEREDO O O,C,9
W18,Undergraduate,SPAN      2,FIGUEREDO O O,C-,1
W18,Undergraduate,SPAN      2,FIGUEREDO O O,D,1
W18,Undergraduate,SPAN      2,FIGUEREDO O O,D-,1
W18,Undergraduate,SPAN      2,FIGUEREDO O O,F,4
W18,Undergraduate,SPAN      2,MARQUES-PASCU,A,5
W18,Undergraduate,SPAN      2,MARQUES-PASCU,A-,4
W18,Undergraduate,SPAN      2,MARQUES-PASCU,B+,4
W18,Undergraduate,SPAN      2,MARQUES-PASCU,B,9
W18,Undergraduate,SPAN      2,MARQUES-PASCU,B-,3
W18,Undergraduate,SPAN      2,MARQUES-PASCU,C+,4
W18,Undergraduate,SPAN      2,MARQUES-PASCU,C,4
W18,Undergraduate,SPAN      2,MARQUES-PASCU,D,2
W18,Undergraduate,SPAN      2,MARQUES-PASCU,D-,1
W18,Undergraduate,SPAN      2,MARQUES-PASCU,F,3
W18,Undergraduate,SPAN      3,FIGUEREDO O O,A,1
W18,Undergraduate,SPAN      3,FIGUEREDO O O,A-,1
W18,Undergraduate,SPAN      3,FIGUEREDO O O,B+,1
W18,Undergraduate,SPAN      3,FIGUEREDO O O,B,7
W18,Undergraduate,SPAN      3,FIGUEREDO O O,B-,5
W18,Undergraduate,SPAN      3,FIGUEREDO O O,C+,1
W18,Undergraduate,SPAN      3,FIGUEREDO O O,C,7
W18,Undergraduate,SPAN      3,FIGUEREDO O O,D+,1
W18,Undergraduate,SPAN      3,MARQUES-PASCU,A+,1
W18,Undergraduate,SPAN      3,MARQUES-PASCU,A,5
W18,Undergraduate,SPAN      3,MARQUES-PASCU,A-,7
