Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W19,Undergraduate,CHIN      2,CHEN MENG,A+,3
W19,Undergraduate,CHIN      2,CHEN MENG,A,9
W19,Undergraduate,CHIN      2,CHEN MENG,B,2
W19,Undergraduate,CHIN      2,CHEN MENG,B-,1
W19,Undergraduate,CHIN      2,CHEN MENG,C+,1
W19,Undergraduate,CHIN      2,CHEN MENG,D+,2
W19,Undergraduate,CHIN      2,GUAN D,A+,4
W19,Undergraduate,CHIN      2,GUAN D,A,31
W19,Undergraduate,CHIN      2,GUAN D,A-,11
W19,Undergraduate,CHIN      2,GUAN D,B+,3
W19,Undergraduate,CHIN      2,GUAN D,B,10
W19,Undergraduate,CHIN      2,GUAN D,B-,2
W19,Undergraduate,CHIN      2,GUAN D,C+,3
W19,Undergraduate,CHIN      2,GUAN D,C,2
W19,Undergraduate,CHIN      2NH,HSU C-C,A,8
W19,Undergraduate,CHIN      2NH,HSU C-C,A-,5
W19,Undergraduate,CHIN      2NH,HSU C-C,B+,5
W19,Undergraduate,CHIN      2NH,HSU C-C,B,1
W19,Undergraduate,CHIN      2NH,HSU C-C,B-,1
W19,Undergraduate,CHIN      5,CHEN S C,A+,1
W19,Undergraduate,CHIN      5,CHEN S C,A,11
W19,Undergraduate,CHIN      5,CHEN S C,A-,7
W19,Undergraduate,CHIN      5,CHEN S C,B+,3
W19,Undergraduate,CHIN      5,CHEN S C,B,1
W19,Undergraduate,CHIN      5,CHEN S C,B-,1
W19,Undergraduate,CHIN      5,CHEN S C,C+,2
W19,Undergraduate,CHIN      5,CHEN S C,D+,1
W19,Undergraduate,CHIN      5NH,CHEN S C,A+,2
W19,Undergraduate,CHIN      5NH,CHEN S C,A,5
W19,Undergraduate,CHIN      5NH,CHEN S C,A-,11
W19,Undergraduate,CHIN      5NH,CHEN S C,B+,1
W19,Undergraduate,CHIN      5NH,CHEN S C,C+,1
W19,Undergraduate,CHIN      8A,CHEN MENG,A+,2
W19,Undergraduate,CHIN      8A,CHEN MENG,A,1
W19,Undergraduate,CHIN      8A,CHEN MENG,A-,1
W19,Undergraduate,CHIN      8A,CHEN MENG,B+,2
W19,Undergraduate,CHIN      8A,CHEN MENG,B,2
W19,Undergraduate,CHIN    101B,MAZANEC T J,A,12
W19,Undergraduate,CHIN    101B,MAZANEC T J,A-,6
W19,Undergraduate,CHIN    101B,MAZANEC T J,B+,5
W19,Undergraduate,CHIN    101B,MAZANEC T J,B,5
W19,Undergraduate,CHIN    101B,MAZANEC T J,B-,2
W19,Undergraduate,CHIN    101B,MAZANEC T J,F,1
W19,Undergraduate,CHIN    122B,HSU C-C,A,6
W19,Undergraduate,CHIN    122B,HSU C-C,A-,1
W19,Undergraduate,CHIN    122B,HSU C-C,B+,3
W19,Undergraduate,CHIN    122B,HSU C-C,B,2
W19,Undergraduate,CHIN    122B,HSU C-C,B-,1
W19,Undergraduate,CHIN    122B,HSU C-C,C+,1
W19,Undergraduate,CHIN    122B,HSU C-C,C-,1
W19,Undergraduate,CHIN    122B,HSU C-C,F,1
W19,Undergraduate,CHIN    134K,STURMAN P C,A,4
W19,Undergraduate,CHIN    134K,STURMAN P C,A-,1
W19,Undergraduate,CHIN    134K,STURMAN P C,B+,3
W19,Undergraduate,CHIN    134K,STURMAN P C,B,3
W19,Undergraduate,CHIN    134K,STURMAN P C,F,2
W19,Undergraduate,CHIN    138A,TU K-C,A,5
W19,Undergraduate,CHIN    138A,TU K-C,A-,4
W19,Undergraduate,CHIN    138A,TU K-C,B+,11
W19,Undergraduate,CHIN    138A,TU K-C,B,11
W19,Undergraduate,CHIN    138A,TU K-C,B-,4
W19,Undergraduate,CHIN    138A,TU K-C,C+,1
W19,Undergraduate,CHIN    185A,JI X,A+,1
W19,Undergraduate,CHIN    185A,JI X,A,2
W19,Undergraduate,CHIN    185A,JI X,A-,4
W19,Undergraduate,CHIN    185A,JI X,B+,4
W19,Undergraduate,CHIN    185A,JI X,B,6
W19,Undergraduate,CHIN    185A,JI X,F,1
W19,Undergraduate,CHIN    199,YU H-J,A+,2
W19,Graduate,CHIN    201,MAZANEC T J,A,2
W19,Graduate,CHIN    211,MAZANEC T J,A,4
W19,Graduate,CHIN    596,LI X,A,1
W19,Graduate,CHIN    597,LI X,S,1
W19,Graduate,CHIN    597,TU K-C,S,1
W19,Graduate,CHIN    597,YANG M,S,1
W19,Graduate,CHIN    598,YANG M,S,1
W19,Graduate,CHIN    598,YU H-J,S,1
W19,Graduate,CHIN    599,SALTZMAN-LI K,S,1
W19,Graduate,CHIN    599,YANG M,S,2
W19,Graduate,CHIN    599,YU H-J,S,2
