Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W19,Undergraduate,HIST      2A,DIGESER E D,A,25
W19,Undergraduate,HIST      2A,DIGESER E D,A-,28
W19,Undergraduate,HIST      2A,DIGESER E D,B+,18
W19,Undergraduate,HIST      2A,DIGESER E D,B,28
W19,Undergraduate,HIST      2A,DIGESER E D,B-,13
W19,Undergraduate,HIST      2A,DIGESER E D,C+,12
W19,Undergraduate,HIST      2A,DIGESER E D,C,12
W19,Undergraduate,HIST      2A,DIGESER E D,C-,1
W19,Undergraduate,HIST      2A,DIGESER E D,F,2
W19,Undergraduate,HIST      2B,ROBERTS L S,A+,28
W19,Undergraduate,HIST      2B,ROBERTS L S,A,103
W19,Undergraduate,HIST      2B,ROBERTS L S,A-,83
W19,Undergraduate,HIST      2B,ROBERTS L S,B+,68
W19,Undergraduate,HIST      2B,ROBERTS L S,B,61
W19,Undergraduate,HIST      2B,ROBERTS L S,B-,35
W19,Undergraduate,HIST      2B,ROBERTS L S,C+,10
W19,Undergraduate,HIST      2B,ROBERTS L S,C,7
W19,Undergraduate,HIST      2B,ROBERTS L S,C-,3
W19,Undergraduate,HIST      2B,ROBERTS L S,D,1
W19,Undergraduate,HIST      2B,ROBERTS L S,F,13
W19,Undergraduate,HIST      4B,SONNINO P M,A+,17
W19,Undergraduate,HIST      4B,SONNINO P M,A,29
W19,Undergraduate,HIST      4B,SONNINO P M,A-,23
W19,Undergraduate,HIST      4B,SONNINO P M,B+,26
W19,Undergraduate,HIST      4B,SONNINO P M,B,23
W19,Undergraduate,HIST      4B,SONNINO P M,B-,13
W19,Undergraduate,HIST      4B,SONNINO P M,C+,31
W19,Undergraduate,HIST      4B,SONNINO P M,C,23
W19,Undergraduate,HIST      4B,SONNINO P M,C-,23
W19,Undergraduate,HIST      4B,SONNINO P M,D+,11
W19,Undergraduate,HIST      4B,SONNINO P M,D,13
W19,Undergraduate,HIST      4B,SONNINO P M,D-,4
W19,Undergraduate,HIST      4B,SONNINO P M,F,45
W19,Undergraduate,HIST      8,LAURENT-PERRA,A,17
W19,Undergraduate,HIST      8,LAURENT-PERRA,A-,16
W19,Undergraduate,HIST      8,LAURENT-PERRA,B+,23
W19,Undergraduate,HIST      8,LAURENT-PERRA,B,25
W19,Undergraduate,HIST      8,LAURENT-PERRA,B-,5
W19,Undergraduate,HIST      8,LAURENT-PERRA,C+,10
W19,Undergraduate,HIST      8,LAURENT-PERRA,C,6
W19,Undergraduate,HIST      8,LAURENT-PERRA,D+,2
W19,Undergraduate,HIST      8,LAURENT-PERRA,D,1
W19,Undergraduate,HIST      8,LAURENT-PERRA,F,1
W19,Undergraduate,HIST      9,CHATTO U,A,6
W19,Undergraduate,HIST      9,CHATTO U,A-,10
W19,Undergraduate,HIST      9,CHATTO U,B+,2
W19,Undergraduate,HIST      9,CHATTO U,B,4
W19,Undergraduate,HIST      9,CHATTO U,B-,2
W19,Undergraduate,HIST      9,CHATTO U,C+,1
W19,Undergraduate,HIST      9,CHATTO U,C,1
W19,Undergraduate,HIST      9,CHATTO U,C-,1
W19,Undergraduate,HIST      9,CHATTO U,D+,1
W19,Undergraduate,HIST      9,CHATTO U,F,2
W19,Undergraduate,HIST      9,PLANE A M,A+,1
W19,Undergraduate,HIST      9,PLANE A M,A,5
W19,Undergraduate,HIST      9,PLANE A M,A-,8
W19,Undergraduate,HIST      9,PLANE A M,B+,4
W19,Undergraduate,HIST      9,PLANE A M,B,2
W19,Undergraduate,HIST      9,PLANE A M,B-,4
W19,Undergraduate,HIST      9,PLANE A M,C+,3
