Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W20,Undergraduate,BL ST     1,WOOTEN T L,A,16
W20,Undergraduate,BL ST     1,WOOTEN T L,A-,21
W20,Undergraduate,BL ST     1,WOOTEN T L,A+,6
W20,Undergraduate,BL ST     1,WOOTEN T L,B,8
W20,Undergraduate,BL ST     1,WOOTEN T L,B-,11
W20,Undergraduate,BL ST     1,WOOTEN T L,B+,12
W20,Undergraduate,BL ST     1,WOOTEN T L,C,4
W20,Undergraduate,BL ST     1,WOOTEN T L,C-,1
W20,Undergraduate,BL ST     1,WOOTEN T L,C+,6
W20,Undergraduate,BL ST     1,WOOTEN T L,D-,2
W20,Undergraduate,BL ST     1,WOOTEN T L,D+,3
W20,Undergraduate,BL ST     1,WOOTEN T L,F,2
W20,Undergraduate,BL ST     3,AKUDINOBI J,A,40
W20,Undergraduate,BL ST     3,AKUDINOBI J,A-,28
W20,Undergraduate,BL ST     3,AKUDINOBI J,A+,16
W20,Undergraduate,BL ST     3,AKUDINOBI J,B,7
W20,Undergraduate,BL ST     3,AKUDINOBI J,B+,3
W20,Undergraduate,BL ST     3,AKUDINOBI J,C,2
W20,Undergraduate,BL ST    14,STEWART J C,A,36
W20,Undergraduate,BL ST    14,STEWART J C,A-,30
W20,Undergraduate,BL ST    14,STEWART J C,A+,11
W20,Undergraduate,BL ST    14,STEWART J C,B,16
W20,Undergraduate,BL ST    14,STEWART J C,B-,5
W20,Undergraduate,BL ST    14,STEWART J C,B+,16
W20,Undergraduate,BL ST    14,STEWART J C,C,2
W20,Undergraduate,BL ST    14,STEWART J C,C+,2
W20,Undergraduate,BL ST    14,STEWART J C,D,1
W20,Undergraduate,BL ST    49A,WARE R T,A,12
W20,Undergraduate,BL ST    49A,WARE R T,A-,4
W20,Undergraduate,BL ST    49A,WARE R T,B,5
W20,Undergraduate,BL ST    49A,WARE R T,B-,1
W20,Undergraduate,BL ST    49A,WARE R T,B+,3
W20,Undergraduate,BL ST   104,MCAULEY C,A,14
W20,Undergraduate,BL ST   104,MCAULEY C,A-,9
W20,Undergraduate,BL ST   104,MCAULEY C,A+,4
W20,Undergraduate,BL ST   104,MCAULEY C,B,9
W20,Undergraduate,BL ST   104,MCAULEY C,B-,10
W20,Undergraduate,BL ST   104,MCAULEY C,B+,17
W20,Undergraduate,BL ST   104,MCAULEY C,C,8
W20,Undergraduate,BL ST   126,AKUDINOBI J,A,6
W20,Undergraduate,BL ST   126,AKUDINOBI J,A-,17
W20,Undergraduate,BL ST   126,AKUDINOBI J,A+,2
W20,Undergraduate,BL ST   126,AKUDINOBI J,B,10
W20,Undergraduate,BL ST   126,AKUDINOBI J,B+,24
W20,Undergraduate,BL ST   126,AKUDINOBI J,C,2
W20,Undergraduate,BL ST   130A,STRONGMAN R D,A-,11
W20,Undergraduate,BL ST   130A,STRONGMAN R D,B,11
W20,Undergraduate,BL ST   130A,STRONGMAN R D,B-,6
W20,Undergraduate,BL ST   130A,STRONGMAN R D,B+,5
W20,Undergraduate,BL ST   130A,STRONGMAN R D,C,4
W20,Undergraduate,BL ST   130A,STRONGMAN R D,C-,2
W20,Undergraduate,BL ST   130A,STRONGMAN R D,C+,2
W20,Undergraduate,BL ST   130A,STRONGMAN R D,D,2
W20,Undergraduate,BL ST   130A,STRONGMAN R D,D+,1
W20,Undergraduate,BL ST   130A,STRONGMAN R D,F,8
W20,Undergraduate,BL ST   137E,BASHI TREITLE,A,8
W20,Undergraduate,BL ST   137E,BASHI TREITLE,A-,4
W20,Undergraduate,BL ST   137E,BASHI TREITLE,A+,25
W20,Undergraduate,BL ST   137E,BASHI TREITLE,B,6
W20,Undergraduate,BL ST   137E,BASHI TREITLE,B-,3
W20,Undergraduate,BL ST   137E,BASHI TREITLE,B+,5
W20,Undergraduate,BL ST   137E,BASHI TREITLE,C,4
W20,Undergraduate,BL ST   137E,BASHI TREITLE,C-,1
W20,Undergraduate,BL ST   137E,BASHI TREITLE,C+,2
W20,Undergraduate,BL ST   137E,BASHI TREITLE,D,1
W20,Undergraduate,BL ST   137E,BASHI TREITLE,F,4
W20,Undergraduate,BL ST   154,STEWART J C,A,23
W20,Undergraduate,BL ST   154,STEWART J C,A-,7
W20,Undergraduate,BL ST   154,STEWART J C,A+,10
W20,Undergraduate,BL ST   154,STEWART J C,B,2
W20,Undergraduate,BL ST   154,STEWART J C,B+,2
W20,Undergraduate,BL ST   154,STEWART J C,C,1
W20,Undergraduate,BL ST   154,STEWART J C,D,1
W20,Undergraduate,BL ST   154,STEWART J C,D+,1
W20,Undergraduate,BL ST   154,STEWART J C,F,2
W20,Undergraduate,BL ST   180,AKUDINOBI J,A,13
W20,Undergraduate,BL ST   180,AKUDINOBI J,A-,6
W20,Undergraduate,BL ST   180,AKUDINOBI J,A+,6
W20,Undergraduate,BL ST   180,AKUDINOBI J,B,3
W20,Undergraduate,BL ST   180,AKUDINOBI J,B+,5
W20,Undergraduate,BL ST   180,AKUDINOBI J,C,1
W20,Graduate,BL ST   208,BASHI TREITLE,A,1
W20,Graduate,BL ST   208,BASHI TREITLE,A-,1
W20,Graduate,BL ST   208,BASHI TREITLE,A+,4
