Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W20,Undergraduate,DANCE    43B,HAYNES R M,A,6
W20,Undergraduate,DANCE    43B,HAYNES R M,A-,2
W20,Undergraduate,DANCE    43B,HAYNES R M,A+,15
W20,Undergraduate,DANCE    43B,HAYNES R M,B,1
W20,Undergraduate,DANCE    43B,HAYNES R M,B+,2
W20,Undergraduate,DANCE    43B,HAYNES R M,C+,1
W20,Undergraduate,DANCE    43C,HAYNES R M,A,5
W20,Undergraduate,DANCE    43C,HAYNES R M,A-,1
W20,Undergraduate,DANCE    43C,HAYNES R M,A+,13
W20,Undergraduate,DANCE    43C,HAYNES R M,B+,2
W20,Undergraduate,DANCE    43C,HAYNES R M,C-,1
W20,Undergraduate,DANCE    43C,HAYNES R M,F,1
W20,Undergraduate,DANCE    45,PRESS C M,A,192
W20,Undergraduate,DANCE    45,PRESS C M,A-,90
W20,Undergraduate,DANCE    45,PRESS C M,A+,59
W20,Undergraduate,DANCE    45,PRESS C M,B,74
W20,Undergraduate,DANCE    45,PRESS C M,B-,15
W20,Undergraduate,DANCE    45,PRESS C M,B+,38
W20,Undergraduate,DANCE    45,PRESS C M,C,8
W20,Undergraduate,DANCE    45,PRESS C M,C+,6
W20,Undergraduate,DANCE    45,PRESS C M,D,1
W20,Undergraduate,DANCE    45,PRESS C M,D+,1
W20,Undergraduate,DANCE    45,PRESS C M,F,6
W20,Undergraduate,DANCE    47B,HUSTON V G,A,2
W20,Undergraduate,DANCE    47B,HUSTON V G,A-,16
W20,Undergraduate,DANCE    47B,HUSTON V G,B+,5
W20,Undergraduate,DANCE    47B,MARTINS N C,A,15
W20,Undergraduate,DANCE    47B,MARTINS N C,A-,6
W20,Undergraduate,DANCE    47B,MARTINS N C,B-,4
W20,Undergraduate,DANCE    47B,MARTINS N C,B+,5
W20,Undergraduate,DANCE    47E,HUSTON V G,A-,2
W20,Undergraduate,DANCE    47E,HUSTON V G,B+,7
W20,Undergraduate,DANCE    47E,MARTINS N C,A,2
W20,Undergraduate,DANCE    47E,MARTINS N C,A-,2
