Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W20,Undergraduate,ENGL     10,DONNELLY B,A,87
W20,Undergraduate,ENGL     10,DONNELLY B,A-,68
W20,Undergraduate,ENGL     10,DONNELLY B,A+,20
W20,Undergraduate,ENGL     10,DONNELLY B,B,39
W20,Undergraduate,ENGL     10,DONNELLY B,B-,7
W20,Undergraduate,ENGL     10,DONNELLY B,B+,52
W20,Undergraduate,ENGL     10,DONNELLY B,C,5
W20,Undergraduate,ENGL     10,DONNELLY B,C-,1
W20,Undergraduate,ENGL     10,DONNELLY B,C+,5
W20,Undergraduate,ENGL     10,DONNELLY B,D,1
W20,Undergraduate,ENGL     10,DONNELLY B,F,3
W20,Undergraduate,ENGL     11,DROGE A M,A,20
W20,Undergraduate,ENGL     11,DROGE A M,A-,3
W20,Undergraduate,ENGL     11,DROGE A M,A+,7
W20,Undergraduate,ENGL     18,ENDERS J,A-,3
W20,Undergraduate,ENGL     18,ENDERS J,B,9
W20,Undergraduate,ENGL     18,ENDERS J,B-,7
W20,Undergraduate,ENGL     18,ENDERS J,B+,14
W20,Undergraduate,ENGL     18,ENDERS J,C-,1
W20,Undergraduate,ENGL     18,ENDERS J,C+,3
W20,Undergraduate,ENGL     18,ENDERS J,F,1
W20,Undergraduate,ENGL     23,HILTNER K C,A,285
W20,Undergraduate,ENGL     23,HILTNER K C,A-,138
W20,Undergraduate,ENGL     23,HILTNER K C,A+,199
W20,Undergraduate,ENGL     23,HILTNER K C,B,46
W20,Undergraduate,ENGL     23,HILTNER K C,B-,23
W20,Undergraduate,ENGL     23,HILTNER K C,B+,87
W20,Undergraduate,ENGL     23,HILTNER K C,C,11
W20,Undergraduate,ENGL     23,HILTNER K C,C-,1
W20,Undergraduate,ENGL     23,HILTNER K C,C+,11
W20,Undergraduate,ENGL     23,HILTNER K C,D,4
W20,Undergraduate,ENGL     23,HILTNER K C,D-,1
W20,Undergraduate,ENGL     23,HILTNER K C,D+,2
W20,Undergraduate,ENGL     23,HILTNER K C,F,10
W20,Undergraduate,ENGL     23S,HILTNER K C,A,13
W20,Undergraduate,ENGL     50,BLAKE F D,A,57
W20,Undergraduate,ENGL     50,BLAKE F D,A-,34
W20,Undergraduate,ENGL     50,BLAKE F D,A+,7
W20,Undergraduate,ENGL     50,BLAKE F D,B,22
W20,Undergraduate,ENGL     50,BLAKE F D,B-,4
W20,Undergraduate,ENGL     50,BLAKE F D,B+,13
W20,Undergraduate,ENGL     50,BLAKE F D,C,2
W20,Undergraduate,ENGL     50,BLAKE F D,C+,2
W20,Undergraduate,ENGL    101,BLURTON H F,A,32
W20,Undergraduate,ENGL    101,BLURTON H F,A-,37
W20,Undergraduate,ENGL    101,BLURTON H F,A+,2
W20,Undergraduate,ENGL    101,BLURTON H F,B,22
W20,Undergraduate,ENGL    101,BLURTON H F,B-,8
W20,Undergraduate,ENGL    101,BLURTON H F,B+,24
W20,Undergraduate,ENGL    101,BLURTON H F,C,4
