Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W20,Undergraduate,ENV S     2,MORET S L,A,121
W20,Undergraduate,ENV S     2,MORET S L,A-,92
W20,Undergraduate,ENV S     2,MORET S L,A+,21
W20,Undergraduate,ENV S     2,MORET S L,B,71
W20,Undergraduate,ENV S     2,MORET S L,B-,28
W20,Undergraduate,ENV S     2,MORET S L,B+,86
W20,Undergraduate,ENV S     2,MORET S L,C,8
W20,Undergraduate,ENV S     2,MORET S L,C-,3
W20,Undergraduate,ENV S     2,MORET S L,C+,15
W20,Undergraduate,ENV S     2,MORET S L,D-,2
W20,Undergraduate,ENV S     2,MORET S L,D+,2
W20,Undergraduate,ENV S     2,MORET S L,F,8
W20,Undergraduate,ENV S     2H,MORET S L,P,24
W20,Undergraduate,ENV S    15A,GARDNER H K,A,51
W20,Undergraduate,ENV S    15A,GARDNER H K,A-,12
W20,Undergraduate,ENV S    15A,GARDNER H K,A+,3
W20,Undergraduate,ENV S    15A,GARDNER H K,B,43
W20,Undergraduate,ENV S    15A,GARDNER H K,B-,4
W20,Undergraduate,ENV S    15A,GARDNER H K,B+,3
W20,Undergraduate,ENV S    15A,GARDNER H K,C,13
W20,Undergraduate,ENV S    15A,GARDNER H K,C-,1
W20,Undergraduate,ENV S    15A,GARDNER H K,C+,2
W20,Undergraduate,ENV S    15A,GARDNER H K,D,6
W20,Undergraduate,ENV S    15A,GARDNER H K,D+,1
W20,Undergraduate,ENV S    15A,GARDNER H K,F,3
W20,Undergraduate,ENV S    95,STRATTON E C,NP,2
W20,Undergraduate,ENV S    95,STRATTON E C,P,41
W20,Undergraduate,ENV S   106,MARTIN J A,A,65
W20,Undergraduate,ENV S   106,MARTIN J A,A-,26
W20,Undergraduate,ENV S   106,MARTIN J A,B,20
W20,Undergraduate,ENV S   106,MARTIN J A,B-,4
W20,Undergraduate,ENV S   106,MARTIN J A,B+,14
W20,Undergraduate,ENV S   106,MARTIN J A,C,2
W20,Undergraduate,ENV S   106,MARTIN J A,C+,4
W20,Undergraduate,ENV S   106,MARTIN J A,D+,1
W20,Undergraduate,ENV S   106,MARTIN J A,F,1
W20,Undergraduate,ENV S   108O,MARTIN J A,A,2
W20,Undergraduate,ENV S   108O,MARTIN J A,A-,5
W20,Undergraduate,ENV S   108O,MARTIN J A,A+,1
W20,Undergraduate,ENV S   108O,MARTIN J A,B,7
W20,Undergraduate,ENV S   108O,MARTIN J A,B-,3
W20,Undergraduate,ENV S   108O,MARTIN J A,B+,5
W20,Undergraduate,ENV S   108O,MARTIN J A,C+,2
W20,Undergraduate,ENV S   108O,MARTIN J A,D,1
W20,Undergraduate,ENV S   108O,MARTIN J A,F,3
W20,Undergraduate,ENV S   111,NIDZIEKO N J,A,32
W20,Undergraduate,ENV S   111,NIDZIEKO N J,A-,4
W20,Undergraduate,ENV S   111,NIDZIEKO N J,B,28
W20,Undergraduate,ENV S   111,NIDZIEKO N J,B+,6
W20,Undergraduate,ENV S   111,NIDZIEKO N J,C,4
W20,Undergraduate,ENV S   111,NIDZIEKO N J,C-,2
W20,Undergraduate,ENV S   112,GOTO E A,A,2
W20,Undergraduate,ENV S   112,GOTO E A,A-,3
W20,Undergraduate,ENV S   112,GOTO E A,A+,4
W20,Undergraduate,ENV S   112,GOTO E A,B,6
W20,Undergraduate,ENV S   112,GOTO E A,B-,1
W20,Undergraduate,ENV S   112,GOTO E A,B+,2
W20,Undergraduate,ENV S   112,GOTO E A,C,2
W20,Undergraduate,ENV S   112,GOTO E A,C-,1
W20,Undergraduate,ENV S   112,GOTO E A,C+,4
W20,Undergraduate,ENV S   112,GOTO E A,D+,2
W20,Undergraduate,ENV S   112,GOTO E A,F,2
W20,Undergraduate,ENV S   115,DESHMUKH R A,A,52
W20,Undergraduate,ENV S   115,DESHMUKH R A,A-,42
W20,Undergraduate,ENV S   115,DESHMUKH R A,B,61
W20,Undergraduate,ENV S   115,DESHMUKH R A,B-,31
W20,Undergraduate,ENV S   115,DESHMUKH R A,B+,36
W20,Undergraduate,ENV S   115,DESHMUKH R A,C,18
W20,Undergraduate,ENV S   115,DESHMUKH R A,C-,18
W20,Undergraduate,ENV S   115,DESHMUKH R A,C+,23
W20,Undergraduate,ENV S   115,DESHMUKH R A,D,1
W20,Undergraduate,ENV S   115,DESHMUKH R A,D+,5
W20,Undergraduate,ENV S   115,DESHMUKH R A,F,1
W20,Undergraduate,ENV S   116,PELLOW D N,A,67
W20,Undergraduate,ENV S   116,PELLOW D N,A-,5
W20,Undergraduate,ENV S   116,PELLOW D N,D,1
W20,Undergraduate,ENV S   118,BROWN M S,A,9
W20,Undergraduate,ENV S   118,BROWN M S,A-,8
W20,Undergraduate,ENV S   118,BROWN M S,B,4
W20,Undergraduate,ENV S   118,BROWN M S,B-,1
W20,Undergraduate,ENV S   118,BROWN M S,B+,8
W20,Undergraduate,ENV S   118,BROWN M S,C+,2
W20,Undergraduate,ENV S   120B,GARDNER H K,A,14
W20,Undergraduate,ENV S   120B,GARDNER H K,A-,4
W20,Undergraduate,ENV S   120B,GARDNER H K,B,8
W20,Undergraduate,ENV S   120B,GARDNER H K,B+,3
W20,Undergraduate,ENV S   122CC,HILTNER K C,A,10
W20,Undergraduate,ENV S   122CC,HILTNER K C,A-,4
W20,Undergraduate,ENV S   122CC,HILTNER K C,B,5
W20,Undergraduate,ENV S   122CC,HILTNER K C,B+,3
W20,Undergraduate,ENV S   125A,KROP L J,A,23
W20,Undergraduate,ENV S   125A,KROP L J,A-,10
W20,Undergraduate,ENV S   125A,KROP L J,A+,17
W20,Undergraduate,ENV S   125A,KROP L J,B,2
W20,Undergraduate,ENV S   125A,KROP L J,B-,1
W20,Undergraduate,ENV S   125A,KROP L J,B+,9
W20,Undergraduate,ENV S   127A,LEWIN B A,A,34
W20,Undergraduate,ENV S   127A,LEWIN B A,A-,3
W20,Undergraduate,ENV S   127A,LEWIN B A,A+,6
W20,Undergraduate,ENV S   127A,LEWIN B A,B,4
W20,Undergraduate,ENV S   130B,MALDONADO J K,A,21
W20,Undergraduate,ENV S   130B,MALDONADO J K,A-,5
W20,Undergraduate,ENV S   130B,MALDONADO J K,A+,11
W20,Undergraduate,ENV S   130B,MALDONADO J K,B,3
W20,Undergraduate,ENV S   130B,MALDONADO J K,B+,2
W20,Undergraduate,ENV S   135A,BRIGHT R,A,27
W20,Undergraduate,ENV S   135A,BRIGHT R,A-,14
W20,Undergraduate,ENV S   135A,BRIGHT R,A+,3
W20,Undergraduate,ENV S   135A,BRIGHT R,B,11
W20,Undergraduate,ENV S   135A,BRIGHT R,B-,2
W20,Undergraduate,ENV S   135A,BRIGHT R,B+,7
W20,Undergraduate,ENV S   135A,BRIGHT R,C,5
W20,Undergraduate,ENV S   135A,BRIGHT R,C+,2
W20,Undergraduate,ENV S   135A,BRIGHT R,F,1
W20,Undergraduate,ENV S   141,CLARK J,A,3
W20,Undergraduate,ENV S   141,CLARK J,A-,1
W20,Undergraduate,ENV S   141,CLARK J,A+,2
W20,Undergraduate,ENV S   141,CLARK J,B,2
W20,Undergraduate,ENV S   141,CLARK J,B-,5
W20,Undergraduate,ENV S   141,CLARK J,B+,3
W20,Undergraduate,ENV S   141,CLARK J,C,2
W20,Undergraduate,ENV S   141,CLARK J,C-,1
W20,Undergraduate,ENV S   141,CLARK J,C+,2
W20,Undergraduate,ENV S   144,KELLER E A,A,10
W20,Undergraduate,ENV S   144,KELLER E A,A+,1
W20,Undergraduate,ENV S   144,KELLER E A,B,4
W20,Undergraduate,ENV S   144,KELLER E A,B+,2
W20,Undergraduate,ENV S   144,KELLER E A,C,1
W20,Undergraduate,ENV S   144,KELLER E A,C-,1
W20,Undergraduate,ENV S   147,GARDNER H K,A,7
W20,Undergraduate,ENV S   147,GARDNER H K,A-,4
W20,Undergraduate,ENV S   147,GARDNER H K,B,13
W20,Undergraduate,ENV S   147,GARDNER H K,B+,3
W20,Undergraduate,ENV S   147,GARDNER H K,C,3
W20,Undergraduate,ENV S   147,GARDNER H K,C+,2
W20,Undergraduate,ENV S   149,CARLISLE E W,A,54
W20,Undergraduate,ENV S   149,CARLISLE E W,A-,2
W20,Undergraduate,ENV S   149,CARLISLE E W,A+,5
W20,Undergraduate,ENV S   152,HOLBROOK S J,A,3
W20,Undergraduate,ENV S   152,HOLBROOK S J,A-,3
W20,Undergraduate,ENV S   152,HOLBROOK S J,B,1
W20,Undergraduate,ENV S   152,HOLBROOK S J,B-,1
W20,Undergraduate,ENV S   152,HOLBROOK S J,C,2
W20,Undergraduate,ENV S   152,SCHMITT R J,A,3
W20,Undergraduate,ENV S   152,SCHMITT R J,A-,3
W20,Undergraduate,ENV S   152,SCHMITT R J,B,1
W20,Undergraduate,ENV S   152,SCHMITT R J,B-,1
W20,Undergraduate,ENV S   152,SCHMITT R J,C,2
W20,Undergraduate,ENV S   155,GRAY S M,A,22
W20,Undergraduate,ENV S   155,GRAY S M,A-,8
W20,Undergraduate,ENV S   155,GRAY S M,A+,4
W20,Undergraduate,ENV S   155,GRAY S M,B,4
