Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W20,Graduate,ESM     201,TILMAN G D,A,45
W20,Graduate,ESM     201,TILMAN G D,A+,7
W20,Graduate,ESM     201,TILMAN G D,B,19
W20,Graduate,ESM     201,TILMAN G D,B+,16
W20,Graduate,ESM     202,HOLDEN P A,A,38
W20,Graduate,ESM     202,HOLDEN P A,A-,21
W20,Graduate,ESM     202,HOLDEN P A,A+,6
W20,Graduate,ESM     202,HOLDEN P A,B,9
W20,Graduate,ESM     202,HOLDEN P A,B+,13
W20,Graduate,ESM     202,MELACK J M,A,38
W20,Graduate,ESM     202,MELACK J M,A-,21
W20,Graduate,ESM     202,MELACK J M,A+,6
W20,Graduate,ESM     202,MELACK J M,B,9
W20,Graduate,ESM     202,MELACK J M,B+,13
W20,Graduate,ESM     211,KENDALL B E,A,19
W20,Graduate,ESM     211,KENDALL B E,A-,1
W20,Graduate,ESM     215,DAVIS F W,A,6
W20,Graduate,ESM     215,DAVIS F W,A-,4
W20,Graduate,ESM     215,DAVIS F W,A+,7
W20,Graduate,ESM     215,DAVIS F W,B,1
W20,Graduate,ESM     215,DAVIS F W,B+,1
W20,Graduate,ESM     226,JASECHKO S A,A,2
W20,Graduate,ESM     226,JASECHKO S A,A+,12
W20,Graduate,ESM     229,MENG K C,A,8
W20,Graduate,ESM     229,MENG K C,A-,3
W20,Graduate,ESM     229,MENG K C,B,1
W20,Graduate,ESM     229,MENG K C,B-,2
W20,Graduate,ESM     229,MENG K C,B+,5
W20,Graduate,ESM     235,JASECHKO S A,A,4
W20,Graduate,ESM     235,JASECHKO S A,A+,6
W20,Graduate,ESM     235,JASECHKO S A,B,1
W20,Graduate,ESM     235,JASECHKO S A,B+,2
W20,Graduate,ESM     241,ANDERSON S,A,18
W20,Graduate,ESM     241,ANDERSON S,A-,33
W20,Graduate,ESM     241,ANDERSON S,B,22
W20,Graduate,ESM     241,ANDERSON S,B+,14
W20,Graduate,ESM     244,HORST A M,A,52
W20,Graduate,ESM     244,HORST A M,A-,1
W20,Graduate,ESM     244,HORST A M,B,1
W20,Graduate,ESM     246,DESCHENES O,A,6
W20,Graduate,ESM     246,DESCHENES O,A-,1
W20,Graduate,ESM     246,DESCHENES O,A+,4
W20,Graduate,ESM     246,DESCHENES O,B+,1
W20,Graduate,ESM     248,BUNTAINE M T,A,17
W20,Graduate,ESM     248,BUNTAINE M T,A-,11
W20,Graduate,ESM     248,BUNTAINE M T,A+,1
W20,Graduate,ESM     256B,COTTER E E,A,4
W20,Graduate,ESM     256B,COTTER E E,A-,1
W20,Graduate,ESM     260,LENIHAN H S,A,13
W20,Graduate,ESM     260,LENIHAN H S,A+,5
W20,Graduate,ESM     262,TAGUE C,A,3
W20,Graduate,ESM     262,TAGUE C,A-,5
W20,Graduate,ESM     262,TAGUE C,A+,10
W20,Graduate,ESM     262,TAGUE C,B+,3
W20,Graduate,ESM     263,FREW J E,A,41
W20,Graduate,ESM     263,FREW J E,A-,4
W20,Graduate,ESM     263,FREW J E,A+,4
W20,Graduate,ESM     263,FREW J E,B+,2
W20,Graduate,ESM     273,GEYER R,A,10
W20,Graduate,ESM     273,GEYER R,A-,6
W20,Graduate,ESM     273,GEYER R,A+,7
W20,Graduate,ESM     273,GEYER R,B+,1
W20,Graduate,ESM     281,HEINTZ M A,A,8
W20,Graduate,ESM     281,HEINTZ M A,A-,8
W20,Graduate,ESM     281,HEINTZ M A,A+,2
W20,Graduate,ESM     283,JOSTES J C,A,6
W20,Graduate,ESM     283,JOSTES J C,A-,3
W20,Graduate,ESM     283,JOSTES J C,A+,1
W20,Graduate,ESM     283,JOSTES J C,B,1
W20,Graduate,ESM     283,JOSTES J C,B+,4
W20,Graduate,ESM     283,JOSTES J C,D,1
W20,Graduate,ESM     294,DANIELS E B,A,18
W20,Graduate,ESM     294,DANIELS E B,A+,1
W20,Graduate,ESM     296,JOSTES J C,A,7
W20,Graduate,ESM     296,JOSTES J C,A-,1
W20,Graduate,ESM     296,JOSTES J C,B+,3
W20,Graduate,ESM     401C,ANDERSON S,A,4
W20,Graduate,ESM     401C,ANDERSON S,B,1
W20,Graduate,ESM     401C,COSTELLO C J,A,5
W20,Graduate,ESM     401C,DAVIS F W,A,4
W20,Graduate,ESM     401C,DAVIS F W,B,1
W20,Graduate,ESM     401C,GEYER R,A+,5
W20,Graduate,ESM     401C,JACK B K,A,5
W20,Graduate,ESM     401C,LENIHAN H S,A+,5
W20,Graduate,ESM     401C,PLANTINGA A,A,5
W20,Graduate,ESM     430,GAINES S,S,45
W20,Graduate,ESM     438,HORST A M,A,18
W20,Graduate,ESM     439,REBICH S R,A,9
W20,Graduate,ESM     442,HODGES H E,A,7
W20,Graduate,ESM     514,JACK B K,A,9
W20,Graduate,ESM     514,SUH S,A,9
W20,Graduate,ESM     596,GAINES S,A,7
W20,Graduate,ESM     596,GAINES S,U,1
