Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W20,Undergraduate,ITAL      1,BORROMEO C,A,12
W20,Undergraduate,ITAL      1,BORROMEO C,A-,5
W20,Undergraduate,ITAL      1,BORROMEO C,B,1
W20,Undergraduate,ITAL      1,BORROMEO C,B+,2
W20,Undergraduate,ITAL      1,BORROMEO C,D+,1
W20,Undergraduate,ITAL      1,BORROMEO C,F,1
W20,Undergraduate,ITAL      1,CRICKETTE M E,A,9
W20,Undergraduate,ITAL      1,CRICKETTE M E,A-,4
W20,Undergraduate,ITAL      1,CRICKETTE M E,A+,1
W20,Undergraduate,ITAL      1,CRICKETTE M E,B,1
W20,Undergraduate,ITAL      1,CRICKETTE M E,B+,1
W20,Undergraduate,ITAL      1,CRICKETTE M E,C,1
W20,Undergraduate,ITAL      1,CRICKETTE M E,C-,1
W20,Undergraduate,ITAL      1,CRICKETTE M E,D,1
W20,Undergraduate,ITAL      1,CRICKETTE M E,F,1
W20,Undergraduate,ITAL      1,PATTONE C F,A,7
W20,Undergraduate,ITAL      1,PATTONE C F,A-,4
W20,Undergraduate,ITAL      1,PATTONE C F,A+,4
W20,Undergraduate,ITAL      1,PATTONE C F,B-,1
W20,Undergraduate,ITAL      1,PATTONE C F,B+,1
W20,Undergraduate,ITAL      1,PATTONE C F,C,2
W20,Undergraduate,ITAL      1,PATTONE C F,F,3
W20,Undergraduate,ITAL      1HY,DAHL SARNELLI,A,8
W20,Undergraduate,ITAL      1HY,DAHL SARNELLI,A-,2
W20,Undergraduate,ITAL      1HY,DAHL SARNELLI,A+,4
W20,Undergraduate,ITAL      1HY,DAHL SARNELLI,B+,2
W20,Undergraduate,ITAL      1HY,DAHL SARNELLI,C-,1
W20,Undergraduate,ITAL      1HY,FIORINA C P,A,7
W20,Undergraduate,ITAL      1HY,FIORINA C P,A-,1
W20,Undergraduate,ITAL      1HY,FIORINA C P,A+,3
W20,Undergraduate,ITAL      1HY,FIORINA C P,B,2
W20,Undergraduate,ITAL      1HY,FIORINA C P,B+,1
W20,Undergraduate,ITAL      1HY,FIORINA C P,F,1
W20,Undergraduate,ITAL      2,DE SIMONE T,A,19
W20,Undergraduate,ITAL      2,DE SIMONE T,A-,8
W20,Undergraduate,ITAL      2,DE SIMONE T,A+,1
W20,Undergraduate,ITAL      2,DE SIMONE T,B,2
W20,Undergraduate,ITAL      2,DE SIMONE T,B-,1
W20,Undergraduate,ITAL      2,DE SIMONE T,B+,4
W20,Undergraduate,ITAL      2,DE SIMONE T,C+,1
W20,Undergraduate,ITAL      2,DE SIMONE T,D-,1
W20,Undergraduate,ITAL      2,DE SIMONE T,F,2
W20,Undergraduate,ITAL      2,FIORINA C P,A,10
W20,Undergraduate,ITAL      2,FIORINA C P,A-,6
W20,Undergraduate,ITAL      2,FIORINA C P,A+,1
W20,Undergraduate,ITAL      2,FIORINA C P,B+,2
W20,Undergraduate,ITAL      2,FIORINA C P,D,1
W20,Undergraduate,ITAL      2,FIORINA C P,F,2
W20,Undergraduate,ITAL      2HY,CRICKETTE M E,A-,5
W20,Undergraduate,ITAL      2HY,CRICKETTE M E,A+,1
W20,Undergraduate,ITAL      2HY,CRICKETTE M E,B,2
W20,Undergraduate,ITAL      2HY,CRICKETTE M E,C+,1
W20,Undergraduate,ITAL      2HY,CRICKETTE M E,F,1
W20,Undergraduate,ITAL      2HY,PADULA V,A,2
W20,Undergraduate,ITAL      2HY,PADULA V,A-,2
W20,Undergraduate,ITAL      2HY,PADULA V,A+,1
W20,Undergraduate,ITAL      2HY,PADULA V,B-,3
W20,Undergraduate,ITAL      2HY,PADULA V,B+,2
W20,Undergraduate,ITAL      3,BORROMEO C,A,2
W20,Undergraduate,ITAL      3,BORROMEO C,A-,6
W20,Undergraduate,ITAL      3,BORROMEO C,B,3
W20,Undergraduate,ITAL      3,BORROMEO C,B+,7
W20,Undergraduate,ITAL      4,CRICKETTE M E,A,3
W20,Undergraduate,ITAL      4,CRICKETTE M E,A-,1
W20,Undergraduate,ITAL      4,CRICKETTE M E,A+,1
W20,Undergraduate,ITAL      4,CRICKETTE M E,B-,1
W20,Undergraduate,ITAL      4,CRICKETTE M E,B+,2
W20,Undergraduate,ITAL      4,CRICKETTE M E,C,2
W20,Undergraduate,ITAL      4,CRICKETTE M E,F,2
W20,Undergraduate,ITAL      5,BORROMEO C,A,1
W20,Undergraduate,ITAL      5,BORROMEO C,A-,2
W20,Undergraduate,ITAL      5,BORROMEO C,A+,1
W20,Undergraduate,ITAL      5,BORROMEO C,B,2
W20,Undergraduate,ITAL      5,BORROMEO C,B+,1
W20,Undergraduate,ITAL      5,DE SIMONE T,A,4
W20,Undergraduate,ITAL      5,DE SIMONE T,A-,4
W20,Undergraduate,ITAL      5,DE SIMONE T,A+,1
W20,Undergraduate,ITAL      5,DE SIMONE T,B,1
W20,Undergraduate,ITAL      5,DE SIMONE T,B+,1
W20,Undergraduate,ITAL      5,DE SIMONE T,C+,1
W20,Undergraduate,ITAL      5,DE SIMONE T,D,1
W20,Undergraduate,ITAL      6,PADULA V,A-,1
W20,Undergraduate,ITAL      6,PADULA V,A+,2
W20,Undergraduate,ITAL      6,PADULA V,B,1
W20,Undergraduate,ITAL      6,PADULA V,B+,1
W20,Undergraduate,ITAL      6,PADULA V,D-,1
W20,Undergraduate,ITAL      6,PADULA V,F,1
W20,Undergraduate,ITAL     16A,PATTONE C F,A,10
W20,Undergraduate,ITAL     16A,PATTONE C F,A+,5
W20,Undergraduate,ITAL     20X,FOGU C,A,22
W20,Undergraduate,ITAL     20X,FOGU C,A-,23
W20,Undergraduate,ITAL     20X,FOGU C,A+,3
W20,Undergraduate,ITAL     20X,FOGU C,B,17
W20,Undergraduate,ITAL     20X,FOGU C,B-,11
W20,Undergraduate,ITAL     20X,FOGU C,B+,16
W20,Undergraduate,ITAL     20X,FOGU C,C,4
W20,Undergraduate,ITAL     20X,FOGU C,C-,1
W20,Undergraduate,ITAL     20X,FOGU C,C+,11
W20,Undergraduate,ITAL     20X,FOGU C,D+,1
W20,Undergraduate,ITAL     20X,FOGU C,F,1
W20,Undergraduate,ITAL    102,FIORINA C P,A,1
W20,Undergraduate,ITAL    102,FIORINA C P,A-,1
W20,Undergraduate,ITAL    102,FIORINA C P,B,1
W20,Undergraduate,ITAL    102,FIORINA C P,B+,1
W20,Undergraduate,ITAL    102,FIORINA C P,D-,1
