Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W20,Undergraduate,CMPSC    64,MATNI Z A,A,30
W20,Undergraduate,CMPSC    64,MATNI Z A,A-,31
W20,Undergraduate,CMPSC    64,MATNI Z A,A+,11
W20,Undergraduate,CMPSC    64,MATNI Z A,B,5
W20,Undergraduate,CMPSC    64,MATNI Z A,B-,1
W20,Undergraduate,CMPSC    64,MATNI Z A,B+,8
W20,Undergraduate,CMPSC    64,MATNI Z A,C,1
W20,Undergraduate,CMPSC    64,MATNI Z A,C-,1
W20,Undergraduate,CMPSC    64,MATNI Z A,C+,1
W20,Undergraduate,CMPSC   154,MATNI Z A,A,36
W20,Undergraduate,CMPSC   154,MATNI Z A,A-,29
W20,Undergraduate,CMPSC   154,MATNI Z A,A+,14
W20,Undergraduate,CMPSC   154,MATNI Z A,B,21
W20,Undergraduate,CMPSC   154,MATNI Z A,B-,1
W20,Undergraduate,CMPSC   154,MATNI Z A,B+,10
W20,Undergraduate,CMPSC   154,MATNI Z A,C,1
W20,Undergraduate,CMPSC   154,MATNI Z A,C-,2
W20,Undergraduate,CMPSC   154,MATNI Z A,C+,5
W20,Undergraduate,CMPSC   154,MATNI Z A,D,2
W20,Undergraduate,COMM    169,MATNI Z A,A,23
W20,Undergraduate,COMM    169,MATNI Z A,A-,35
W20,Undergraduate,COMM    169,MATNI Z A,B,12
W20,Undergraduate,COMM    169,MATNI Z A,B-,5
W20,Undergraduate,COMM    169,MATNI Z A,B+,27
W20,Undergraduate,COMM    169,MATNI Z A,C,2
W20,Undergraduate,COMM    169,MATNI Z A,C+,3
W20,Undergraduate,EARTH   136,MATOZA R S,A,4
W20,Undergraduate,EARTH   136,MATOZA R S,A-,4
W20,Undergraduate,EARTH   136,MATOZA R S,A+,5
W20,Undergraduate,EARTH   136,MATOZA R S,B+,3
W20,Undergraduate,EARTH   136,MATOZA R S,C-,1
W20,Undergraduate,EARTH   136,MATOZA R S,C+,1
W20,Undergraduate,EARTH   136,MATOZA R S,F,2
W20,Graduate,MAT     201B,YERKES K M,A,6
W20,Graduate,MAT     259A,LEGRADY G T,A,4
W20,Graduate,MAT     259A,LEGRADY G T,A-,2
W20,Graduate,MAT     259A,LEGRADY G T,A+,2
W20,Graduate,MAT     261C,NOVAK M J,A,6
W20,Graduate,MAT     261D,NOVAK M J,A,5
W20,Graduate,MAT     594X,JACOBS J M,A,3
W20,Graduate,MAT     594X,JACOBS J M,A-,1
W20,Graduate,MAT     594X,JACOBS J M,A+,2
W20,Graduate,MAT     595M,PELJHAN M,S,18
W20,Undergraduate,MATH      2B,GARFIELD P M,A,20
W20,Undergraduate,MATH      2B,GARFIELD P M,A-,18
W20,Undergraduate,MATH      2B,GARFIELD P M,A+,17
W20,Undergraduate,MATH      2B,GARFIELD P M,B,18
W20,Undergraduate,MATH      2B,GARFIELD P M,B-,3
W20,Undergraduate,MATH      2B,GARFIELD P M,B+,19
W20,Undergraduate,MATH      2B,GARFIELD P M,C,9
W20,Undergraduate,MATH      2B,GARFIELD P M,C+,2
W20,Undergraduate,MATH      2B,GARFIELD P M,D,2
W20,Undergraduate,MATH      2B,GARFIELD P M,D+,1
W20,Undergraduate,MATH      2B,GARFIELD P M,F,1
W20,Undergraduate,MATH      3A,AVETISYAN Z,A,8
W20,Undergraduate,MATH      3A,AVETISYAN Z,A-,13
W20,Undergraduate,MATH      3A,AVETISYAN Z,B,16
W20,Undergraduate,MATH      3A,AVETISYAN Z,B-,11
W20,Undergraduate,MATH      3A,AVETISYAN Z,B+,11
W20,Undergraduate,MATH      3A,AVETISYAN Z,C,17
W20,Undergraduate,MATH      3A,AVETISYAN Z,C-,3
W20,Undergraduate,MATH      3A,AVETISYAN Z,C+,9
W20,Undergraduate,MATH      3A,AVETISYAN Z,D,1
W20,Undergraduate,MATH      3A,AVETISYAN Z,D-,1
W20,Undergraduate,MATH      3A,AVETISYAN Z,D+,2
W20,Undergraduate,MATH      3A,AVETISYAN Z,F,2
W20,Undergraduate,MATH      3A,MILLETT K C,A,26
W20,Undergraduate,MATH      3A,MILLETT K C,B,7
W20,Undergraduate,MATH      3A,MILLETT K C,B+,3
W20,Undergraduate,MATH      3A,MILLETT K C,C,2
W20,Undergraduate,MATH      3A,MILLETT K C,C+,1
W20,Undergraduate,MATH      3B,LOPEZ C,A,37
W20,Undergraduate,MATH      3B,LOPEZ C,A-,29
W20,Undergraduate,MATH      3B,LOPEZ C,A+,1
W20,Undergraduate,MATH      3B,LOPEZ C,B,15
W20,Undergraduate,MATH      3B,LOPEZ C,B-,13
W20,Undergraduate,MATH      3B,LOPEZ C,B+,19
W20,Undergraduate,MATH      3B,LOPEZ C,C,2
W20,Undergraduate,MATH      3B,LOPEZ C,C-,3
W20,Undergraduate,MATH      3B,LOPEZ C,C+,9
W20,Undergraduate,MATH      3B,LOPEZ C,D,1
W20,Undergraduate,MATH      3B,LOPEZ C,D-,1
W20,Undergraduate,MATH      3B,LOPEZ C,D+,2
W20,Undergraduate,MATH      3B,LOPEZ C,F,3
W20,Undergraduate,MATH      3B,PUTINAR M,A,122
W20,Undergraduate,MATH      3B,PUTINAR M,A-,56
W20,Undergraduate,MATH      3B,PUTINAR M,B,23
W20,Undergraduate,MATH      3B,PUTINAR M,B-,15
W20,Undergraduate,MATH      3B,PUTINAR M,B+,57
W20,Undergraduate,MATH      3B,PUTINAR M,C,2
W20,Undergraduate,MATH      3B,PUTINAR M,C+,4
W20,Undergraduate,MATH      3B,PUTINAR M,D,1
W20,Undergraduate,MATH      3B,PUTINAR M,F,2
W20,Undergraduate,MATH      4A,PORTER M J,A,236
W20,Undergraduate,MATH      4A,PORTER M J,A-,74
W20,Undergraduate,MATH      4A,PORTER M J,A+,192
W20,Undergraduate,MATH      4A,PORTER M J,B,28
W20,Undergraduate,MATH      4A,PORTER M J,B-,10
W20,Undergraduate,MATH      4A,PORTER M J,B+,35
W20,Undergraduate,MATH      4A,PORTER M J,C,3
W20,Undergraduate,MATH      4A,PORTER M J,C+,4
W20,Undergraduate,MATH      4A,PORTER M J,F,4
W20,Undergraduate,MATH      4B,GARCIA-CERVER,A,53
W20,Undergraduate,MATH      4B,GARCIA-CERVER,A-,25
W20,Undergraduate,MATH      4B,GARCIA-CERVER,A+,239
W20,Undergraduate,MATH      4B,GARCIA-CERVER,B,13
W20,Undergraduate,MATH      4B,GARCIA-CERVER,B-,2
W20,Undergraduate,MATH      4B,GARCIA-CERVER,B+,12
W20,Undergraduate,MATH      4B,GARCIA-CERVER,C-,1
W20,Undergraduate,MATH      4B,GARCIA-CERVER,C+,1
W20,Undergraduate,MATH      4B,GARCIA-CERVER,D,1
W20,Undergraduate,MATH      4B,GARCIA-CERVER,F,2
W20,Undergraduate,MATH      4B,PAN J,A,48
W20,Undergraduate,MATH      4B,PAN J,A-,24
W20,Undergraduate,MATH      4B,PAN J,A+,16
W20,Undergraduate,MATH      4B,PAN J,B,18
W20,Undergraduate,MATH      4B,PAN J,B-,17
W20,Undergraduate,MATH      4B,PAN J,B+,15
W20,Undergraduate,MATH      4B,PAN J,C,5
W20,Undergraduate,MATH      4B,PAN J,C-,3
W20,Undergraduate,MATH      4B,PAN J,C+,7
W20,Undergraduate,MATH      4B,PAN J,D,3
W20,Undergraduate,MATH      4B,PAN J,F,2
W20,Undergraduate,MATH      6A,CENICEROS H,A,45
W20,Undergraduate,MATH      6A,CENICEROS H,A-,27
W20,Undergraduate,MATH      6A,CENICEROS H,A+,47
W20,Undergraduate,MATH      6A,CENICEROS H,B,6
W20,Undergraduate,MATH      6A,CENICEROS H,B-,2
W20,Undergraduate,MATH      6A,CENICEROS H,B+,17
W20,Undergraduate,MATH      6A,CENICEROS H,C,2
W20,Undergraduate,MATH      6A,CENICEROS H,C-,2
W20,Undergraduate,MATH      6A,CENICEROS H,C+,1
W20,Undergraduate,MATH      6A,KORATTI CHENG,A,19
W20,Undergraduate,MATH      6A,KORATTI CHENG,A-,35
W20,Undergraduate,MATH      6A,KORATTI CHENG,A+,7
W20,Undergraduate,MATH      6A,KORATTI CHENG,B,15
W20,Undergraduate,MATH      6A,KORATTI CHENG,B-,15
W20,Undergraduate,MATH      6A,KORATTI CHENG,B+,26
W20,Undergraduate,MATH      6A,KORATTI CHENG,C,12
W20,Undergraduate,MATH      6A,KORATTI CHENG,C+,5
W20,Undergraduate,MATH      6A,KORATTI CHENG,D+,4
W20,Undergraduate,MATH      6A,KORATTI CHENG,F,2
W20,Undergraduate,MATH      6A,ZHOU XIN,A,61
W20,Undergraduate,MATH      6A,ZHOU XIN,A-,25
W20,Undergraduate,MATH      6A,ZHOU XIN,A+,14
W20,Undergraduate,MATH      6A,ZHOU XIN,B,15
W20,Undergraduate,MATH      6A,ZHOU XIN,B-,4
W20,Undergraduate,MATH      6A,ZHOU XIN,B+,11
W20,Undergraduate,MATH      6A,ZHOU XIN,C,2
W20,Undergraduate,MATH      6A,ZHOU XIN,C-,6
W20,Undergraduate,MATH      6A,ZHOU XIN,C+,5
W20,Undergraduate,MATH      6A,ZHOU XIN,D,2
W20,Undergraduate,MATH      6B,BARTER D E,A,131
W20,Undergraduate,MATH      6B,KORATTI CHENG,A,16
W20,Undergraduate,MATH      6B,KORATTI CHENG,A-,14
W20,Undergraduate,MATH      6B,KORATTI CHENG,A+,8
W20,Undergraduate,MATH      6B,KORATTI CHENG,B,21
W20,Undergraduate,MATH      6B,KORATTI CHENG,B-,17
W20,Undergraduate,MATH      6B,KORATTI CHENG,B+,29
W20,Undergraduate,MATH      6B,KORATTI CHENG,C+,13
W20,Undergraduate,MATH      6B,KORATTI CHENG,D+,3
W20,Undergraduate,MATH      8,AVETISYAN Z,A,4
W20,Undergraduate,MATH      8,AVETISYAN Z,A-,9
W20,Undergraduate,MATH      8,AVETISYAN Z,A+,1
W20,Undergraduate,MATH      8,AVETISYAN Z,B,5
W20,Undergraduate,MATH      8,AVETISYAN Z,B-,4
W20,Undergraduate,MATH      8,AVETISYAN Z,B+,5
W20,Undergraduate,MATH      8,AVETISYAN Z,C,6
W20,Undergraduate,MATH      8,AVETISYAN Z,C+,3
W20,Undergraduate,MATH      8,BIGELOW S J,A,5
W20,Undergraduate,MATH      8,BIGELOW S J,A-,5
W20,Undergraduate,MATH      8,BIGELOW S J,A+,1
W20,Undergraduate,MATH      8,BIGELOW S J,B,7
W20,Undergraduate,MATH      8,BIGELOW S J,B-,7
W20,Undergraduate,MATH      8,BIGELOW S J,B+,5
W20,Undergraduate,MATH      8,BIGELOW S J,C,2
W20,Undergraduate,MATH      8,BIGELOW S J,C+,3
W20,Undergraduate,MATH      8,BIGELOW S J,D,2
W20,Undergraduate,MATH      8,BIGELOW S J,D+,1
W20,Undergraduate,MATH      8,EBRAHIM E,A,12
W20,Undergraduate,MATH      8,EBRAHIM E,A-,2
W20,Undergraduate,MATH      8,EBRAHIM E,A+,6
W20,Undergraduate,MATH      8,EBRAHIM E,B,7
W20,Undergraduate,MATH      8,EBRAHIM E,B-,4
W20,Undergraduate,MATH      8,EBRAHIM E,C,3
W20,Undergraduate,MATH      8,EBRAHIM E,C+,2
W20,Undergraduate,MATH      8,EBRAHIM E,D,1
W20,Undergraduate,MATH      8,EBRAHIM E,F,1
W20,Undergraduate,MATH      8,HARUTYUNYAN D,A,14
W20,Undergraduate,MATH      8,HARUTYUNYAN D,A-,7
W20,Undergraduate,MATH      8,HARUTYUNYAN D,A+,3
W20,Undergraduate,MATH      8,HARUTYUNYAN D,B,5
W20,Undergraduate,MATH      8,HARUTYUNYAN D,B-,1
W20,Undergraduate,MATH      8,HARUTYUNYAN D,B+,2
