Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W20,Undergraduate,MS        1AB,BUEHNER T D,A,19
W20,Undergraduate,MS        1AB,BUEHNER T D,A+,5
W20,Undergraduate,MS        2AB,BUEHNER T D,A,13
W20,Undergraduate,MS        2AB,BUEHNER T D,B,1
W20,Undergraduate,MS       22,BUEHNER T D,A-,3
W20,Undergraduate,MS       22,BUEHNER T D,A+,23
W20,Undergraduate,MS       22,BUEHNER T D,B,1
W20,Undergraduate,MS       22,BUEHNER T D,C,1
W20,Undergraduate,MS       99,BUEHNER T D,A,13
W20,Undergraduate,MS      132,BUEHNER T D,A,15
W20,Undergraduate,MS      142,BUEHNER T D,A,12
W20,Undergraduate,MS      199,BUEHNER T D,A,7
W20,Undergraduate,MS      199,BUEHNER T D,A+,13
