Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W20,Undergraduate,THTR      1,KING W D,A,30
W20,Undergraduate,THTR      1,KING W D,A-,24
W20,Undergraduate,THTR      1,KING W D,B,5
W20,Undergraduate,THTR      1,KING W D,B-,5
W20,Undergraduate,THTR      1,KING W D,B+,17
W20,Undergraduate,THTR      1,KING W D,C,1
W20,Undergraduate,THTR      1,KING W D,C+,2
W20,Undergraduate,THTR      5,FISHELL J K,A,96
W20,Undergraduate,THTR      5,FISHELL J K,A-,8
W20,Undergraduate,THTR      5,FISHELL J K,A+,2
W20,Undergraduate,THTR      5,FISHELL J K,B,4
W20,Undergraduate,THTR      5,FISHELL J K,B-,2
W20,Undergraduate,THTR      5,FISHELL J K,B+,2
W20,Undergraduate,THTR      5,FISHELL J K,C,1
W20,Undergraduate,THTR     10B,STEIN D A,A,4
W20,Undergraduate,THTR     10B,STEIN D A,B,3
W20,Undergraduate,THTR     10B,STEIN D A,B+,5
W20,Undergraduate,THTR     11B,MORGAN M,A,2
W20,Undergraduate,THTR     11B,MORGAN M,A-,3
W20,Undergraduate,THTR     11B,MORGAN M,B,2
W20,Undergraduate,THTR     11B,MORGAN M,B-,1
W20,Undergraduate,THTR     11B,MORGAN M,B+,4
W20,Undergraduate,THTR     15B,FISHELL J K,A,8
W20,Undergraduate,THTR     15B,FISHELL J K,A-,2
W20,Undergraduate,THTR     15B,FISHELL J K,B+,2
W20,Undergraduate,THTR     23,SCOTT V,A,9
W20,Undergraduate,THTR     23,SCOTT V,A-,5
W20,Undergraduate,THTR     23,SCOTT V,B,2
W20,Undergraduate,THTR     23,SCOTT V,B+,1
W20,Undergraduate,THTR     23,SCOTT V,F,1
W20,Undergraduate,THTR     25,BRUICE A M,A,10
W20,Undergraduate,THTR     25,BRUICE A M,A-,3
W20,Undergraduate,THTR     25,BRUICE A M,A+,1
W20,Undergraduate,THTR     25,BRUICE A M,B-,1
W20,Undergraduate,THTR     29A,SHEFFIELD C A,A,11
W20,Undergraduate,THTR     29A,SHEFFIELD C A,A-,1
W20,Undergraduate,THTR     29A,SHEFFIELD C A,B,2
W20,Undergraduate,THTR     29B,SHEFFIELD C A,A,1
W20,Undergraduate,THTR     29B,SHEFFIELD C A,A+,11
W20,Undergraduate,THTR     29B,SHEFFIELD C A,B-,1
W20,Undergraduate,THTR     29B,SHEFFIELD C A,B+,2
W20,Undergraduate,THTR     29C,SHEFFIELD C A,A,9
W20,Undergraduate,THTR     29C,SHEFFIELD C A,A-,1
W20,Undergraduate,THTR     29C,SHEFFIELD C A,B,1
W20,Undergraduate,THTR     29D,SHEFFIELD C A,A,17
W20,Undergraduate,THTR     29D,SHEFFIELD C A,A-,1
W20,Undergraduate,THTR     29D,SHEFFIELD C A,A+,1
W20,Undergraduate,THTR     42,APPEL I J,A,2
W20,Undergraduate,THTR     42,APPEL I J,A-,1
W20,Undergraduate,THTR     42,APPEL I J,A+,3
W20,Undergraduate,THTR     42,APPEL I J,B+,1
W20,Undergraduate,THTR     42,APPEL I J,C,1
W20,Undergraduate,THTR    110B,STEIN D A,A,8
W20,Undergraduate,THTR    110B,STEIN D A,A-,1
W20,Undergraduate,THTR    111B,MORGAN M,A,8
W20,Undergraduate,THTR    111B,MORGAN M,B-,1
W20,Undergraduate,THTR    122,MITCHELL G M,A,3
