Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W20,Undergraduate,WRIT      1,JOHNSON J K,A,3
W20,Undergraduate,WRIT      1,JOHNSON J K,A-,7
W20,Undergraduate,WRIT      1,JOHNSON J K,A+,1
W20,Undergraduate,WRIT      1,JOHNSON J K,B,1
W20,Undergraduate,WRIT      1,JOHNSON J K,B+,1
W20,Undergraduate,WRIT      1,SAUR E H,A,41
W20,Undergraduate,WRIT      1,SAUR E H,A-,5
W20,Undergraduate,WRIT      1,SAUR E H,B-,1
W20,Undergraduate,WRIT      1,SAUR E H,B+,1
W20,Undergraduate,WRIT      1,SAUR E H,D,1
W20,Undergraduate,WRIT      1,WARWICK N L,A,5
W20,Undergraduate,WRIT      1,WARWICK N L,A-,3
W20,Undergraduate,WRIT      1,WARWICK N L,A+,9
W20,Undergraduate,WRIT      1,WARWICK N L,B,5
W20,Undergraduate,WRIT      1,WARWICK N L,B+,2
W20,Undergraduate,WRIT      1,WARWICK N L,C+,1
W20,Undergraduate,WRIT      2,BROWNING R,A,42
W20,Undergraduate,WRIT      2,BROWNING R,A-,38
W20,Undergraduate,WRIT      2,BROWNING R,A+,7
W20,Undergraduate,WRIT      2,BROWNING R,B,18
W20,Undergraduate,WRIT      2,BROWNING R,B+,10
W20,Undergraduate,WRIT      2,BROWNING R,C,2
W20,Undergraduate,WRIT      2,BROWNING R,C+,2
W20,Undergraduate,WRIT      2,BROWNING R,F,3
W20,Undergraduate,WRIT      2,COTICH C,A,1
W20,Undergraduate,WRIT      2,COTICH C,A-,1
W20,Undergraduate,WRIT      2,COTICH C,A+,1
W20,Undergraduate,WRIT      2,COTICH C,B,6
W20,Undergraduate,WRIT      2,COTICH C,B-,3
W20,Undergraduate,WRIT      2,COTICH C,B+,2
W20,Undergraduate,WRIT      2,COTICH C,C+,2
W20,Undergraduate,WRIT      2,DEAN C W,A,15
W20,Undergraduate,WRIT      2,DEAN C W,A-,3
W20,Undergraduate,WRIT      2,DEAN C W,B,1
W20,Undergraduate,WRIT      2,DONELAN J H,A,5
W20,Undergraduate,WRIT      2,DONELAN J H,A-,9
W20,Undergraduate,WRIT      2,DONELAN J H,B+,8
W20,Undergraduate,WRIT      2,DONELAN J H,F,2
W20,Undergraduate,WRIT      2,EK A A,A,28
W20,Undergraduate,WRIT      2,EK A A,A-,24
W20,Undergraduate,WRIT      2,EK A A,A+,7
W20,Undergraduate,WRIT      2,EK A A,B,13
W20,Undergraduate,WRIT      2,EK A A,B-,2
W20,Undergraduate,WRIT      2,EK A A,B+,15
W20,Undergraduate,WRIT      2,EK A A,C,1
W20,Undergraduate,WRIT      2,EK A A,C+,1
W20,Undergraduate,WRIT      2,EK A A,F,1
W20,Undergraduate,WRIT      2,ERNST B C,A,10
W20,Undergraduate,WRIT      2,ERNST B C,A-,9
W20,Undergraduate,WRIT      2,ERNST B C,B,1
W20,Undergraduate,WRIT      2,ERNST B C,B-,1
W20,Undergraduate,WRIT      2,ERNST B C,B+,3
W20,Undergraduate,WRIT      2,FRANK D M,A,14
W20,Undergraduate,WRIT      2,FRANK D M,A-,1
W20,Undergraduate,WRIT      2,FRANK D M,A+,3
W20,Undergraduate,WRIT      2,FRANK D M,B,5
W20,Undergraduate,WRIT      2,FRANK D M,B+,2
W20,Undergraduate,WRIT      2,FRANK D M,F,1
W20,Undergraduate,WRIT      2,HAMMER L M,A,2
W20,Undergraduate,WRIT      2,HAMMER L M,A-,9
W20,Undergraduate,WRIT      2,HAMMER L M,B,1
W20,Undergraduate,WRIT      2,HAMMER L M,B-,1
W20,Undergraduate,WRIT      2,HAMMER L M,B+,3
W20,Undergraduate,WRIT      2,HAMMER L M,C,1
W20,Undergraduate,WRIT      2,HAMMER L M,F,1
W20,Undergraduate,WRIT      2,HANSON J L,A,36
W20,Undergraduate,WRIT      2,HANSON J L,A-,29
W20,Undergraduate,WRIT      2,HANSON J L,B,11
W20,Undergraduate,WRIT      2,HANSON J L,B-,10
W20,Undergraduate,WRIT      2,HANSON J L,B+,19
W20,Undergraduate,WRIT      2,HANSON J L,C,1
W20,Undergraduate,WRIT      2,HANSON J L,C+,3
W20,Undergraduate,WRIT      2,HANSON J L,F,2
W20,Undergraduate,WRIT      2,HARRIS-MOORE,A,36
W20,Undergraduate,WRIT      2,HARRIS-MOORE,A-,22
W20,Undergraduate,WRIT      2,HARRIS-MOORE,A+,10
W20,Undergraduate,WRIT      2,HARRIS-MOORE,B,14
W20,Undergraduate,WRIT      2,HARRIS-MOORE,B-,9
W20,Undergraduate,WRIT      2,HARRIS-MOORE,B+,30
W20,Undergraduate,WRIT      2,HARRIS-MOORE,F,2
W20,Undergraduate,WRIT      2,KRUT R M,A,6
W20,Undergraduate,WRIT      2,KRUT R M,A-,11
W20,Undergraduate,WRIT      2,KRUT R M,B+,1
W20,Undergraduate,WRIT      2,MIELE I,A,6
W20,Undergraduate,WRIT      2,MIELE I,A-,5
W20,Undergraduate,WRIT      2,MIELE I,B,2
W20,Undergraduate,WRIT      2,MIELE I,B+,5
W20,Undergraduate,WRIT      2,PATTERSON K A,A,1
W20,Undergraduate,WRIT      2,PATTERSON K A,A-,5
W20,Undergraduate,WRIT      2,PATTERSON K A,B,5
W20,Undergraduate,WRIT      2,PATTERSON K A,B-,3
W20,Undergraduate,WRIT      2,PATTERSON K A,B+,2
W20,Undergraduate,WRIT      2,PATTERSON K A,C,1
W20,Undergraduate,WRIT      2,PATTERSON K A,C+,1
W20,Undergraduate,WRIT      2,ROSS ALTARAC,A,14
W20,Undergraduate,WRIT      2,ROSS ALTARAC,A-,14
W20,Undergraduate,WRIT      2,ROSS ALTARAC,A+,3
W20,Undergraduate,WRIT      2,ROSS ALTARAC,B,1
W20,Undergraduate,WRIT      2,ROSS ALTARAC,B+,10
W20,Undergraduate,WRIT      2,VERTIZ V,A,9
W20,Undergraduate,WRIT      2,VERTIZ V,A-,4
W20,Undergraduate,WRIT      2,VERTIZ V,A+,9
W20,Undergraduate,WRIT      2,WEBBER M A,A,21
W20,Undergraduate,WRIT      2,WEBBER M A,A-,6
W20,Undergraduate,WRIT      2,WEBBER M A,B,1
W20,Undergraduate,WRIT      2,WEBBER M A,B-,1
W20,Undergraduate,WRIT      2,WEBBER M A,B+,6
W20,Undergraduate,WRIT      2,WILLIAMS A M,A,10
W20,Undergraduate,WRIT      2,WILLIAMS A M,A-,14
W20,Undergraduate,WRIT      2,WUEBBEN D L,A,26
W20,Undergraduate,WRIT      2,WUEBBEN D L,A-,5
W20,Undergraduate,WRIT      2,WUEBBEN D L,A+,9
W20,Undergraduate,WRIT      2,WUEBBEN D L,B,1
W20,Undergraduate,WRIT      2,WUEBBEN D L,B+,3
W20,Undergraduate,WRIT      2,YAMBOLIEV K I,A,6
W20,Undergraduate,WRIT      2,YAMBOLIEV K I,A-,11
W20,Undergraduate,WRIT      2,YAMBOLIEV K I,B,16
W20,Undergraduate,WRIT      2,YAMBOLIEV K I,B-,9
W20,Undergraduate,WRIT      2,YAMBOLIEV K I,B+,21
W20,Undergraduate,WRIT      2,YAMBOLIEV K I,C+,2
W20,Undergraduate,WRIT      2,YAMBOLIEV K I,F,3
W20,Undergraduate,WRIT      2E,BRADLEY N D,A,12
W20,Undergraduate,WRIT      2E,BRADLEY N D,A-,7
W20,Undergraduate,WRIT      2E,BRADLEY N D,A+,3
W20,Undergraduate,WRIT      2E,BRADLEY N D,B,1
W20,Undergraduate,WRIT      2E,BRADLEY N D,B+,1
W20,Undergraduate,WRIT      2E,BRADLEY N D,C-,1
W20,Undergraduate,WRIT     18,ENDERS J,A,2
W20,Undergraduate,WRIT     18,ENDERS J,A-,3
W20,Undergraduate,WRIT     18,ENDERS J,B,10
W20,Undergraduate,WRIT     18,ENDERS J,B-,3
W20,Undergraduate,WRIT     18,ENDERS J,B+,4
W20,Undergraduate,WRIT     18,ENDERS J,C,2
W20,Undergraduate,WRIT     18,ENDERS J,C+,1
W20,Undergraduate,WRIT     50,CHENOWETH R C,A,7
W20,Undergraduate,WRIT     50,CHENOWETH R C,A-,11
W20,Undergraduate,WRIT     50,CHENOWETH R C,B,2
W20,Undergraduate,WRIT     50,CHENOWETH R C,B-,1
W20,Undergraduate,WRIT     50,CHENOWETH R C,B+,4
W20,Undergraduate,WRIT     50E,HUK P M,A,31
W20,Undergraduate,WRIT     50E,HUK P M,A-,5
W20,Undergraduate,WRIT     50E,HUK P M,A+,10
W20,Undergraduate,WRIT     50E,HUK P M,B,1
W20,Undergraduate,WRIT     50E,HUK P M,B-,1
W20,Undergraduate,WRIT     50E,HUK P M,B+,2
W20,Undergraduate,WRIT     50E,RUTHERFORD K,A,24
W20,Undergraduate,WRIT     50E,RUTHERFORD K,A-,1
W20,Undergraduate,WRIT     50E,STANSELL A,A,13
W20,Undergraduate,WRIT     50E,STANSELL A,A-,16
W20,Undergraduate,WRIT     50E,STANSELL A,B,2
W20,Undergraduate,WRIT     50E,STANSELL A,B+,12
W20,Undergraduate,WRIT    105C,BROWN KARA,A,10
W20,Undergraduate,WRIT    105C,BROWN KARA,A-,5
W20,Undergraduate,WRIT    105C,BROWN KARA,B,1
W20,Undergraduate,WRIT    105C,BROWN KARA,B+,2
W20,Undergraduate,WRIT    105C,BROWN KARA,C,3
W20,Undergraduate,WRIT    105C,BROWN KARA,D,2
W20,Undergraduate,WRIT    105C,BROWNING R,A,11
W20,Undergraduate,WRIT    105C,BROWNING R,A-,6
W20,Undergraduate,WRIT    105C,BROWNING R,B,4
W20,Undergraduate,WRIT    105C,BROWNING R,B+,1
W20,Undergraduate,WRIT    105C,BROWNING R,F,2
W20,Undergraduate,WRIT    105C,COKLIN L,A,10
W20,Undergraduate,WRIT    105C,COKLIN L,A-,4
W20,Undergraduate,WRIT    105C,COKLIN L,B,3
W20,Undergraduate,WRIT    105C,COKLIN L,B-,1
W20,Undergraduate,WRIT    105C,COKLIN L,B+,2
W20,Undergraduate,WRIT    105C,COKLIN L,F,1
W20,Undergraduate,WRIT    105C,VERTIZ V,A,10
W20,Undergraduate,WRIT    105C,VERTIZ V,A-,11
W20,Undergraduate,WRIT    105C,VERTIZ V,A+,1
W20,Undergraduate,WRIT    105CW,DEAN C W,A,8
W20,Undergraduate,WRIT    105CW,DEAN C W,A-,5
W20,Undergraduate,WRIT    105CW,DEAN C W,B,3
W20,Undergraduate,WRIT    105CW,DEAN C W,B+,4
W20,Undergraduate,WRIT    105CW,DEAN C W,F,1
W20,Undergraduate,WRIT    105CW,WHITTET E O,A,11
W20,Undergraduate,WRIT    105CW,WHITTET E O,A-,3
W20,Undergraduate,WRIT    105CW,WHITTET E O,A+,1
W20,Undergraduate,WRIT    105CW,WHITTET E O,B,1
W20,Undergraduate,WRIT    105CW,WHITTET E O,B+,3
W20,Undergraduate,WRIT    105CW,WHITTET E O,C,2
W20,Undergraduate,WRIT    105M,FRANK D M,A,12
W20,Undergraduate,WRIT    105M,FRANK D M,A+,3
W20,Undergraduate,WRIT    105M,FRANK D M,B,3
W20,Undergraduate,WRIT    105M,FRANK D M,B-,1
W20,Undergraduate,WRIT    105M,FRANK D M,B+,2
W20,Undergraduate,WRIT    105M,RUTHERFORD K,A,35
W20,Undergraduate,WRIT    105M,RUTHERFORD K,A-,4
W20,Undergraduate,WRIT    105M,RUTHERFORD K,B,1
W20,Undergraduate,WRIT    105M,RUTHERFORD K,B-,1
W20,Undergraduate,WRIT    105M,RUTHERFORD K,B+,3
W20,Undergraduate,WRIT    105M,RUTHERFORD K,C,1
W20,Undergraduate,WRIT    105M,RUTHERFORD K,D-,1
W20,Undergraduate,WRIT    105M,RUTHERFORD K,F,1
W20,Undergraduate,WRIT    105M,WUEBBEN D L,A,14
W20,Undergraduate,WRIT    105M,WUEBBEN D L,A-,2
W20,Undergraduate,WRIT    105M,WUEBBEN D L,A+,6
W20,Undergraduate,WRIT    105M,WUEBBEN D L,B+,1
W20,Undergraduate,WRIT    105PD,SAMUELS R D,A,16
W20,Undergraduate,WRIT    105PD,SAMUELS R D,A-,22
