Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W21,Undergraduate,DANCE    45,PRESS C M,A+,317
W21,Undergraduate,DANCE    45,PRESS C M,A,170
W21,Undergraduate,DANCE    45,PRESS C M,A-,31
W21,Undergraduate,DANCE    45,PRESS C M,B+,20
W21,Undergraduate,DANCE    45,PRESS C M,B,24
W21,Undergraduate,DANCE    45,PRESS C M,B-,7
W21,Undergraduate,DANCE    45,PRESS C M,C+,2
W21,Undergraduate,DANCE    45,PRESS C M,C,4
W21,Undergraduate,DANCE    45,PRESS C M,C-,4
W21,Undergraduate,DANCE    45,PRESS C M,D+,1
W21,Undergraduate,DANCE    45,PRESS C M,D,2
W21,Undergraduate,DANCE    45,PRESS C M,F,5
W21,Undergraduate,DANCE    47B,MEUNIER M M,A+,8
W21,Undergraduate,DANCE    47B,MEUNIER M M,A,9
W21,Undergraduate,DANCE    47B,MEUNIER M M,A-,1
W21,Undergraduate,DANCE    47B,MEUNIER M M,B,2
W21,Undergraduate,DANCE    47B,MOSELEY D,A,21
W21,Undergraduate,DANCE    47B,MOSELEY D,A-,2
W21,Undergraduate,DANCE    47B,MOSELEY D,B+,1
W21,Undergraduate,DANCE    47B,MOSELEY D,B-,1
W21,Undergraduate,DANCE    47B,MOSELEY D,C+,1
W21,Undergraduate,DANCE    47B,MOSELEY D,C,1
W21,Undergraduate,DANCE    47E,HUSTON V G,A,10
W21,Undergraduate,DANCE    47E,HUSTON V G,A-,12
W21,Undergraduate,DANCE    47E,MEUNIER M M,A+,9
W21,Undergraduate,DANCE    47E,MEUNIER M M,A,7
W21,Undergraduate,DANCE    50,PILAFIAN C,A,15
W21,Undergraduate,DANCE    50,PILAFIAN C,A-,5
W21,Undergraduate,DANCE    50,PILAFIAN C,B+,1
W21,Undergraduate,DANCE    56B,COLAHAN N,A+,2
W21,Undergraduate,DANCE    56B,COLAHAN N,A,7
W21,Undergraduate,DANCE    56B,COLAHAN N,A-,4
W21,Undergraduate,DANCE    56B,COLAHAN N,B+,2
W21,Undergraduate,DANCE    56B,COLAHAN N,B,1
W21,Undergraduate,DANCE    56B,WHITED B S,A+,1
W21,Undergraduate,DANCE    56B,WHITED B S,A,23
W21,Undergraduate,DANCE    56B,WHITED B S,A-,2
W21,Undergraduate,DANCE    56B,WHITED B S,B+,1
W21,Undergraduate,DANCE    56B,WHITED B S,C,1
W21,Undergraduate,DANCE    56E,COLAHAN N,A+,4
W21,Undergraduate,DANCE    56E,COLAHAN N,A,2
W21,Undergraduate,DANCE    56E,COLAHAN N,A-,4
W21,Undergraduate,DANCE    56E,WHITED B S,A,15
W21,Undergraduate,DANCE    56E,WHITED B S,A-,5
W21,Undergraduate,DANCE    56E,WHITED B S,B-,1
W21,Undergraduate,DANCE   145G,BENNAHUM D,A+,4
W21,Undergraduate,DANCE   145G,BENNAHUM D,A,10
W21,Undergraduate,DANCE   145G,BENNAHUM D,A-,3
W21,Undergraduate,DANCE   147B,MEUNIER M M,A+,5
W21,Undergraduate,DANCE   147B,MEUNIER M M,A,3
W21,Undergraduate,DANCE   147B,MEUNIER M M,A-,1
W21,Undergraduate,DANCE   147B,MEUNIER M M,C,1
W21,Undergraduate,DANCE   147B,MOSELEY D,A,11
W21,Undergraduate,DANCE   147B,MOSELEY D,A-,3
W21,Undergraduate,DANCE   147E,HUSTON V G,A,5
W21,Undergraduate,DANCE   147E,HUSTON V G,A-,3
W21,Undergraduate,DANCE   149,MCCARTHY C R,A,10
W21,Undergraduate,DANCE   156B,COLAHAN N,A,2
W21,Undergraduate,DANCE   156B,COLAHAN N,A-,3
W21,Undergraduate,DANCE   156B,COLAHAN N,B+,1
W21,Undergraduate,DANCE   156B,SANCHEZ C A,A+,4
W21,Undergraduate,DANCE   156B,SANCHEZ C A,A,4
W21,Undergraduate,DANCE   156E,SANCHEZ C A,A+,12
W21,Undergraduate,DANCE   156E,SANCHEZ C A,A,1
W21,Undergraduate,DANCE   167A,MCCARTHY C R,A+,5
W21,Undergraduate,DANCE   167A,MCCARTHY C R,A,1
W21,Undergraduate,DANCE   171,JAMES A M,A,4
W21,Undergraduate,DANCE   171,JAMES A M,A-,2
W21,Undergraduate,DANCE   171,JAMES A M,B+,1
W21,Undergraduate,DANCE   171,JAMES A M,F,1
W21,Undergraduate,DANCE   190,MOSELEY D,A,10
W21,Undergraduate,DANCE   194,MOSELEY D,A,8
