Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W21,Undergraduate,EARTH     2,RIOUX M E,A,23
W21,Undergraduate,EARTH     2,RIOUX M E,A-,25
W21,Undergraduate,EARTH     2,RIOUX M E,B+,15
W21,Undergraduate,EARTH     2,RIOUX M E,B,23
W21,Undergraduate,EARTH     2,RIOUX M E,B-,16
W21,Undergraduate,EARTH     2,RIOUX M E,C+,8
W21,Undergraduate,EARTH     2,RIOUX M E,C,9
W21,Undergraduate,EARTH     2,RIOUX M E,C-,2
W21,Undergraduate,EARTH     2,RIOUX M E,D+,1
W21,Undergraduate,EARTH     2,RIOUX M E,D,3
W21,Undergraduate,EARTH     2,RIOUX M E,F,6
W21,Undergraduate,EARTH     4,LISIECKI L E,A+,56
W21,Undergraduate,EARTH     4,LISIECKI L E,A,98
W21,Undergraduate,EARTH     4,LISIECKI L E,A-,38
W21,Undergraduate,EARTH     4,LISIECKI L E,B+,11
W21,Undergraduate,EARTH     4,LISIECKI L E,B,9
W21,Undergraduate,EARTH     4,LISIECKI L E,B-,10
W21,Undergraduate,EARTH     4,LISIECKI L E,C+,2
W21,Undergraduate,EARTH     4,LISIECKI L E,C,4
W21,Undergraduate,EARTH     4,LISIECKI L E,D,4
W21,Undergraduate,EARTH     4,LISIECKI L E,F,4
W21,Undergraduate,EARTH     7,MOORE J,A+,16
W21,Undergraduate,EARTH     7,MOORE J,A,71
W21,Undergraduate,EARTH     7,MOORE J,A-,52
W21,Undergraduate,EARTH     7,MOORE J,B+,42
W21,Undergraduate,EARTH     7,MOORE J,B,38
W21,Undergraduate,EARTH     7,MOORE J,B-,20
W21,Undergraduate,EARTH     7,MOORE J,C+,12
W21,Undergraduate,EARTH     7,MOORE J,C,23
W21,Undergraduate,EARTH     7,MOORE J,D+,3
W21,Undergraduate,EARTH     7,MOORE J,D,1
W21,Undergraduate,EARTH     7,MOORE J,D-,2
W21,Undergraduate,EARTH     7,MOORE J,F,7
W21,Undergraduate,EARTH    10,BROWNE N C,A+,25
W21,Undergraduate,EARTH    10,BROWNE N C,A,67
W21,Undergraduate,EARTH    10,BROWNE N C,A-,38
W21,Undergraduate,EARTH    10,BROWNE N C,B+,45
W21,Undergraduate,EARTH    10,BROWNE N C,B,33
W21,Undergraduate,EARTH    10,BROWNE N C,B-,13
W21,Undergraduate,EARTH    10,BROWNE N C,C+,12
W21,Undergraduate,EARTH    10,BROWNE N C,C,19
W21,Undergraduate,EARTH    10,BROWNE N C,D+,2
W21,Undergraduate,EARTH    10,BROWNE N C,D,1
W21,Undergraduate,EARTH    10,BROWNE N C,D-,3
W21,Undergraduate,EARTH    10,BROWNE N C,F,15
W21,Undergraduate,EARTH    20,SCRUGGS M A,A+,20
W21,Undergraduate,EARTH    20,SCRUGGS M A,A,95
W21,Undergraduate,EARTH    20,SCRUGGS M A,A-,56
W21,Undergraduate,EARTH    20,SCRUGGS M A,B+,18
W21,Undergraduate,EARTH    20,SCRUGGS M A,B,18
W21,Undergraduate,EARTH    20,SCRUGGS M A,B-,11
W21,Undergraduate,EARTH    20,SCRUGGS M A,C+,1
W21,Undergraduate,EARTH    20,SCRUGGS M A,C,4
W21,Undergraduate,EARTH    20,SCRUGGS M A,C-,1
W21,Undergraduate,EARTH    20,SCRUGGS M A,D+,3
W21,Undergraduate,EARTH    20,SCRUGGS M A,D-,1
W21,Undergraduate,EARTH    20,SCRUGGS M A,F,5
W21,Undergraduate,EARTH   103,GANS P B,A+,1
W21,Undergraduate,EARTH   103,GANS P B,A,1
W21,Undergraduate,EARTH   103,GANS P B,A-,1
W21,Undergraduate,EARTH   103,GANS P B,B+,2
W21,Undergraduate,EARTH   103,GANS P B,B,3
W21,Undergraduate,EARTH   103,GANS P B,B-,2
W21,Undergraduate,EARTH   103,GANS P B,C+,3
W21,Undergraduate,EARTH   103,GANS P B,C,1
W21,Undergraduate,EARTH   105,LEA D W,A+,5
W21,Undergraduate,EARTH   105,LEA D W,A,19
W21,Undergraduate,EARTH   105,LEA D W,A-,11
W21,Undergraduate,EARTH   105,LEA D W,B+,6
W21,Undergraduate,EARTH   105,LEA D W,B,4
W21,Undergraduate,EARTH   105,LEA D W,B-,5
W21,Undergraduate,EARTH   105,LEA D W,C+,3
W21,Undergraduate,EARTH   105,LEA D W,C,4
W21,Undergraduate,EARTH   105,LEA D W,C-,1
W21,Undergraduate,EARTH   105,LEA D W,D,5
W21,Undergraduate,EARTH   105,LEA D W,F,7
W21,Undergraduate,EARTH   111,MOORE J,A+,4
W21,Undergraduate,EARTH   111,MOORE J,A,8
W21,Undergraduate,EARTH   111,MOORE J,A-,11
W21,Undergraduate,EARTH   111,MOORE J,B+,6
W21,Undergraduate,EARTH   111,MOORE J,B,10
