Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W21,Undergraduate,EEMB      2,EVEN T J,A+,9
W21,Undergraduate,EEMB      2,EVEN T J,A,162
W21,Undergraduate,EEMB      2,EVEN T J,A-,89
W21,Undergraduate,EEMB      2,EVEN T J,B+,90
W21,Undergraduate,EEMB      2,EVEN T J,B,203
W21,Undergraduate,EEMB      2,EVEN T J,B-,47
W21,Undergraduate,EEMB      2,EVEN T J,C+,45
W21,Undergraduate,EEMB      2,EVEN T J,C,112
W21,Undergraduate,EEMB      2,EVEN T J,C-,18
W21,Undergraduate,EEMB      2,EVEN T J,D+,20
W21,Undergraduate,EEMB      2,EVEN T J,D,41
W21,Undergraduate,EEMB      2,EVEN T J,F,24
W21,Undergraduate,EEMB      2,LATTO J G,A+,9
W21,Undergraduate,EEMB      2,LATTO J G,A,162
W21,Undergraduate,EEMB      2,LATTO J G,A-,89
W21,Undergraduate,EEMB      2,LATTO J G,B+,90
W21,Undergraduate,EEMB      2,LATTO J G,B,203
W21,Undergraduate,EEMB      2,LATTO J G,B-,47
W21,Undergraduate,EEMB      2,LATTO J G,C+,45
W21,Undergraduate,EEMB      2,LATTO J G,C,112
W21,Undergraduate,EEMB      2,LATTO J G,C-,18
W21,Undergraduate,EEMB      2,LATTO J G,D+,20
W21,Undergraduate,EEMB      2,LATTO J G,D,41
W21,Undergraduate,EEMB      2,LATTO J G,F,24
W21,Undergraduate,EEMB      2,NGUYEN A T,A+,9
W21,Undergraduate,EEMB      2,NGUYEN A T,A,162
W21,Undergraduate,EEMB      2,NGUYEN A T,A-,89
W21,Undergraduate,EEMB      2,NGUYEN A T,B+,90
W21,Undergraduate,EEMB      2,NGUYEN A T,B,203
W21,Undergraduate,EEMB      2,NGUYEN A T,B-,47
W21,Undergraduate,EEMB      2,NGUYEN A T,C+,45
W21,Undergraduate,EEMB      2,NGUYEN A T,C,112
W21,Undergraduate,EEMB      2,NGUYEN A T,C-,18
W21,Undergraduate,EEMB      2,NGUYEN A T,D+,20
W21,Undergraduate,EEMB      2,NGUYEN A T,D,41
W21,Undergraduate,EEMB      2,NGUYEN A T,F,24
W21,Undergraduate,EEMB      7,THOMASSON K M,A+,2
W21,Undergraduate,EEMB      7,THOMASSON K M,A,40
W21,Undergraduate,EEMB      7,THOMASSON K M,A-,51
W21,Undergraduate,EEMB      7,THOMASSON K M,B+,42
W21,Undergraduate,EEMB      7,THOMASSON K M,B,52
W21,Undergraduate,EEMB      7,THOMASSON K M,B-,17
W21,Undergraduate,EEMB      7,THOMASSON K M,C+,8
W21,Undergraduate,EEMB      7,THOMASSON K M,C,13
W21,Undergraduate,EEMB      7,THOMASSON K M,C-,2
W21,Undergraduate,EEMB      7,THOMASSON K M,D,2
W21,Undergraduate,EEMB      7,THOMASSON K M,F,5
W21,Undergraduate,EEMB     92,HOFMANN G E,A+,1
W21,Undergraduate,EEMB     92,HOFMANN G E,A,21
W21,Undergraduate,EEMB     92,HOFMANN G E,C,1
W21,Undergraduate,EEMB     96,SELTMANN K,P,6
W21,Undergraduate,EEMB    111,KURIS A M,A+,2
W21,Undergraduate,EEMB    111,KURIS A M,A,38
W21,Undergraduate,EEMB    111,KURIS A M,A-,8
W21,Undergraduate,EEMB    111,KURIS A M,B+,3
W21,Undergraduate,EEMB    111,KURIS A M,B,22
W21,Undergraduate,EEMB    111,KURIS A M,C+,1
W21,Undergraduate,EEMB    111,KURIS A M,C,5
W21,Undergraduate,EEMB    111,KURIS A M,D+,1
W21,Undergraduate,EEMB    111,TELLEZ C M,A+,2
W21,Undergraduate,EEMB    111,TELLEZ C M,A,38
W21,Undergraduate,EEMB    111,TELLEZ C M,A-,8
W21,Undergraduate,EEMB    111,TELLEZ C M,B+,3
W21,Undergraduate,EEMB    111,TELLEZ C M,B,22
W21,Undergraduate,EEMB    111,TELLEZ C M,C+,1
W21,Undergraduate,EEMB    111,TELLEZ C M,C,5
W21,Undergraduate,EEMB    111,TELLEZ C M,D+,1
W21,Undergraduate,EEMB    127,MAZER S J,A+,2
W21,Undergraduate,EEMB    127,MAZER S J,A,42
W21,Undergraduate,EEMB    127,MAZER S J,A-,29
W21,Undergraduate,EEMB    127,MAZER S J,B+,21
W21,Undergraduate,EEMB    127,MAZER S J,B,20
W21,Undergraduate,EEMB    127,MAZER S J,B-,13
W21,Undergraduate,EEMB    127,MAZER S J,C+,9
W21,Undergraduate,EEMB    127,MAZER S J,C-,3
W21,Undergraduate,EEMB    127,MAZER S J,D,1
W21,Undergraduate,EEMB    127,MAZER S J,F,2
W21,Undergraduate,EEMB    129,CABIN Z A,A+,4
W21,Undergraduate,EEMB    129,CABIN Z A,A,7
W21,Undergraduate,EEMB    129,CABIN Z A,A-,12
W21,Undergraduate,EEMB    129,CABIN Z A,B+,12
W21,Undergraduate,EEMB    129,CABIN Z A,B,28
W21,Undergraduate,EEMB    129,CABIN Z A,B-,11
W21,Undergraduate,EEMB    129,CABIN Z A,C+,5
W21,Undergraduate,EEMB    129,CABIN Z A,C,12
W21,Undergraduate,EEMB    129,CABIN Z A,C-,12
W21,Undergraduate,EEMB    129,CABIN Z A,D,17
W21,Undergraduate,EEMB    129,CABIN Z A,F,3
W21,Undergraduate,EEMB    130C,FROEHLICH H E,A,31
W21,Undergraduate,EEMB    130C,FROEHLICH H E,B,1
W21,Undergraduate,EEMB    130C,FROEHLICH H E,F,2
W21,Undergraduate,EEMB    131,GILLILAND K L,A+,1
W21,Undergraduate,EEMB    131,GILLILAND K L,A,54
W21,Undergraduate,EEMB    131,GILLILAND K L,A-,28
W21,Undergraduate,EEMB    131,GILLILAND K L,B+,16
W21,Undergraduate,EEMB    131,GILLILAND K L,B,27
W21,Undergraduate,EEMB    131,GILLILAND K L,B-,9
W21,Undergraduate,EEMB    131,GILLILAND K L,C+,5
W21,Undergraduate,EEMB    131,GILLILAND K L,C,7
W21,Undergraduate,EEMB    131,GILLILAND K L,F,1
W21,Undergraduate,EEMB    136,MOORE J,A,9
W21,Undergraduate,EEMB    136,MOORE J,A-,11
W21,Undergraduate,EEMB    136,MOORE J,B+,2
W21,Undergraduate,EEMB    136,MOORE J,B,2
W21,Undergraduate,EEMB    136,MOORE J,B-,1
W21,Undergraduate,EEMB    136,MOORE J,C,1
W21,Undergraduate,EEMB    136,TIFFNEY B H,A,9
W21,Undergraduate,EEMB    136,TIFFNEY B H,A-,11
W21,Undergraduate,EEMB    136,TIFFNEY B H,B+,2
W21,Undergraduate,EEMB    136,TIFFNEY B H,B,2
W21,Undergraduate,EEMB    136,TIFFNEY B H,B-,1
W21,Undergraduate,EEMB    136,TIFFNEY B H,C,1
W21,Undergraduate,EEMB    136L,MOORE J,A+,7
W21,Undergraduate,EEMB    136L,MOORE J,A,8
W21,Undergraduate,EEMB    136L,TIFFNEY B H,A+,7
W21,Undergraduate,EEMB    136L,TIFFNEY B H,A,8
W21,Undergraduate,EEMB    138,THOMASSON K M,A+,10
W21,Undergraduate,EEMB    138,THOMASSON K M,A,46
W21,Undergraduate,EEMB    138,THOMASSON K M,A-,18
W21,Undergraduate,EEMB    138,THOMASSON K M,B+,5
W21,Undergraduate,EEMB    138,THOMASSON K M,B,12
W21,Undergraduate,EEMB    138,THOMASSON K M,B-,5
W21,Undergraduate,EEMB    138,THOMASSON K M,C+,2
W21,Undergraduate,EEMB    138,THOMASSON K M,F,1
W21,Undergraduate,EEMB    142B,CARLSON C A,A,15
W21,Undergraduate,EEMB    142B,CARLSON C A,A-,12
W21,Undergraduate,EEMB    142B,CARLSON C A,B+,7
W21,Undergraduate,EEMB    142B,CARLSON C A,B,7
W21,Undergraduate,EEMB    142B,CARLSON C A,B-,4
W21,Undergraduate,EEMB    142B,CARLSON C A,C+,1
W21,Undergraduate,EEMB    142B,CARLSON C A,C-,1
W21,Undergraduate,EEMB    142B,CARLSON C A,F,1
W21,Undergraduate,EEMB    142B,MACINTYRE S,A,15
W21,Undergraduate,EEMB    142B,MACINTYRE S,A-,12
W21,Undergraduate,EEMB    142B,MACINTYRE S,B+,7
W21,Undergraduate,EEMB    142B,MACINTYRE S,B,7
W21,Undergraduate,EEMB    142B,MACINTYRE S,B-,4
W21,Undergraduate,EEMB    142B,MACINTYRE S,C+,1
W21,Undergraduate,EEMB    142B,MACINTYRE S,C-,1
W21,Undergraduate,EEMB    142B,MACINTYRE S,F,1
W21,Undergraduate,EEMB    142BL,MACINTYRE S,A,5
W21,Undergraduate,EEMB    146,KATZ T S,A,30
W21,Undergraduate,EEMB    146,KATZ T S,A-,20
W21,Undergraduate,EEMB    146,KATZ T S,B+,4
W21,Undergraduate,EEMB    146,KATZ T S,B,9
W21,Undergraduate,EEMB    146,KATZ T S,B-,2
W21,Undergraduate,EEMB    146,KATZ T S,C+,1
W21,Undergraduate,EEMB    146,KATZ T S,F,3
W21,Undergraduate,EEMB    150A,SANTORO A E,A,12
W21,Undergraduate,EEMB    150A,SANTORO A E,A-,1
W21,Undergraduate,EEMB    150A,SANTORO A E,B+,3
W21,Undergraduate,EEMB    150A,SANTORO A E,B,2
W21,Undergraduate,EEMB    150A,SANTORO A E,B-,2
W21,Undergraduate,EEMB    150A,SANTORO A E,C+,2
W21,Undergraduate,EEMB    150A,SANTORO A E,C,3
W21,Undergraduate,EEMB    152,HOLBROOK S J,A+,2
W21,Undergraduate,EEMB    152,HOLBROOK S J,A,9
W21,Undergraduate,EEMB    152,HOLBROOK S J,A-,6
W21,Undergraduate,EEMB    152,HOLBROOK S J,B+,1
W21,Undergraduate,EEMB    152,HOLBROOK S J,B,1
W21,Undergraduate,EEMB    152,SCHMITT R J,A+,2
W21,Undergraduate,EEMB    152,SCHMITT R J,A,9
W21,Undergraduate,EEMB    152,SCHMITT R J,A-,6
W21,Undergraduate,EEMB    152,SCHMITT R J,B+,1
W21,Undergraduate,EEMB    152,SCHMITT R J,B,1
W21,Undergraduate,EEMB    157B,ELIASON PARSO,A+,10
W21,Undergraduate,EEMB    157B,ELIASON PARSO,A,27
W21,Undergraduate,EEMB    157B,ELIASON PARSO,A-,17
W21,Undergraduate,EEMB    157B,ELIASON PARSO,B+,7
W21,Undergraduate,EEMB    157B,ELIASON PARSO,B,12
W21,Undergraduate,EEMB    157B,ELIASON PARSO,B-,1
W21,Undergraduate,EEMB    157B,ELIASON PARSO,C+,1
W21,Undergraduate,EEMB    163,CHILDRESS J J,A,12
W21,Undergraduate,EEMB    163,CHILDRESS J J,A-,11
W21,Undergraduate,EEMB    163,CHILDRESS J J,B+,11
W21,Undergraduate,EEMB    163,CHILDRESS J J,B,12
W21,Undergraduate,EEMB    163,CHILDRESS J J,B-,3
W21,Undergraduate,EEMB    163,CHILDRESS J J,C+,6
W21,Undergraduate,EEMB    163,CHILDRESS J J,C,9
W21,Undergraduate,EEMB    163,CHILDRESS J J,C-,2
W21,Undergraduate,EEMB    163,CHILDRESS J J,D,4
W21,Undergraduate,EEMB    168,TYLER C M,A+,131
W21,Undergraduate,EEMB    168,TYLER C M,A,58
W21,Undergraduate,EEMB    168,TYLER C M,A-,6
W21,Undergraduate,EEMB    168,TYLER C M,B+,1
W21,Undergraduate,EEMB    168,TYLER C M,B,3
W21,Undergraduate,EEMB    168,TYLER C M,B-,1
W21,Undergraduate,EEMB    174,PROULX S R,A+,8
W21,Undergraduate,EEMB    174,PROULX S R,A,1
W21,Undergraduate,EEMB    179,MOELLER H V,A+,2
W21,Undergraduate,EEMB    179,MOELLER H V,A,12
W21,Undergraduate,EEMB    179,MOELLER H V,A-,15
W21,Undergraduate,EEMB    179,MOELLER H V,B+,13
W21,Undergraduate,EEMB    179,MOELLER H V,B,6
W21,Undergraduate,EEMB    179,MOELLER H V,B-,8
W21,Undergraduate,EEMB    179,MOELLER H V,C+,2
W21,Undergraduate,EEMB    179,MOELLER H V,C,2
W21,Undergraduate,EEMB    179,MOELLER H V,F,1
W21,Undergraduate,EEMB    184,MAZER S J,P,14
W21,Undergraduate,EEMB    188RE,STRATTON E C,A,6
W21,Undergraduate,EEMB    188RE,STRATTON E C,A-,3
W21,Undergraduate,EEMB    188RE,STRATTON E C,B+,1
W21,Undergraduate,EEMB    190,MCCAULEY D J,P,8
W21,Undergraduate,EEMB    190,YOUNG H S,P,8
W21,Undergraduate,EEMB    199,MAZER S J,A,5
W21,Graduate,EEMB    242,BURKEPILE D E,A,4
W21,Graduate,EEMB    242,BURKEPILE D E,A-,5
W21,Graduate,EEMB    242,STIER A C,A,4
W21,Graduate,EEMB    242,STIER A C,A-,5
W21,Graduate,EEMB    502,EVEN T J,S,11
W21,Graduate,EEMB    509,MOELLER H V,A,10
W21,Graduate,EEMB    590,MCCAULEY D J,S,14
W21,Graduate,EEMB    590,YOUNG H S,S,14
W21,Graduate,EEMB    595D,OONO R,A,13
W21,Graduate,EEMB    595D,SCHIMEL J P,A,13
W21,Graduate,EEMB    595EV,HODGES S A,A,6
W21,Graduate,EEMB    595EV,OAKLEY T H,A,6
W21,Graduate,EEMB    595EV,TURNER T L,A,6
W21,Graduate,EEMB    595MM,CARLSON C A,S,5
W21,Graduate,EEMB    595TE,BRIGGS C J,A,6
W21,Graduate,EEMB    595TE,PROULX S R,A,6
W21,Graduate,EEMB    596,D'ANTONIO C M,A,5
W21,Graduate,EEMB    596,ELIASON PARSO,A,5
W21,Graduate,EEMB    596,HOFMANN G E,A,8
W21,Graduate,EEMB    596,MOELLER H V,A+,1
W21,Graduate,EEMB    596,MOELLER H V,A,4
W21,Graduate,EEMB    596,YOUNG H S,A,5
