Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W21,Undergraduate,FAMST    70,SIEGEL G D,A,20
W21,Undergraduate,FAMST    70,SIEGEL G D,A-,25
W21,Undergraduate,FAMST    70,SIEGEL G D,B+,26
W21,Undergraduate,FAMST    70,SIEGEL G D,B,40
W21,Undergraduate,FAMST    70,SIEGEL G D,B-,23
W21,Undergraduate,FAMST    70,SIEGEL G D,C+,24
W21,Undergraduate,FAMST    70,SIEGEL G D,C,16
W21,Undergraduate,FAMST    70,SIEGEL G D,C-,8
W21,Undergraduate,FAMST    70,SIEGEL G D,D+,6
W21,Undergraduate,FAMST    70,SIEGEL G D,D,9
W21,Undergraduate,FAMST    70,SIEGEL G D,D-,11
W21,Undergraduate,FAMST    70,SIEGEL G D,F,13
W21,Undergraduate,FAMST   101B,WOLFE C C,A,17
W21,Undergraduate,FAMST   101B,WOLFE C C,A-,15
W21,Undergraduate,FAMST   101B,WOLFE C C,B+,11
W21,Undergraduate,FAMST   101B,WOLFE C C,B,19
W21,Undergraduate,FAMST   101B,WOLFE C C,B-,12
W21,Undergraduate,FAMST   101B,WOLFE C C,C+,5
W21,Undergraduate,FAMST   101B,WOLFE C C,C,4
W21,Undergraduate,FAMST   101B,WOLFE C C,C-,3
W21,Undergraduate,FAMST   101B,WOLFE C C,D+,1
W21,Undergraduate,FAMST   101B,WOLFE C C,D-,1
W21,Undergraduate,FAMST   101B,WOLFE C C,F,7
W21,Undergraduate,FAMST   101BH,WOLFE C C,A,4
W21,Undergraduate,FAMST   101BH,WOLFE C C,A-,1
W21,Undergraduate,FAMST   101D,CURTIN M J,A+,2
W21,Undergraduate,FAMST   101D,CURTIN M J,A,11
W21,Undergraduate,FAMST   101D,CURTIN M J,A-,15
W21,Undergraduate,FAMST   101D,CURTIN M J,B+,15
W21,Undergraduate,FAMST   101D,CURTIN M J,B,19
W21,Undergraduate,FAMST   101D,CURTIN M J,B-,15
W21,Undergraduate,FAMST   101D,CURTIN M J,C+,10
W21,Undergraduate,FAMST   101D,CURTIN M J,C,4
W21,Undergraduate,FAMST   101D,CURTIN M J,C-,2
W21,Undergraduate,FAMST   101D,CURTIN M J,D,3
W21,Undergraduate,FAMST   101D,CURTIN M J,F,6
W21,Undergraduate,FAMST   104,CALDWELL S,A+,2
W21,Undergraduate,FAMST   104,CALDWELL S,A,16
W21,Undergraduate,FAMST   104,CALDWELL S,A-,8
W21,Undergraduate,FAMST   104,CALDWELL S,B+,7
W21,Undergraduate,FAMST   104,CALDWELL S,B,3
W21,Undergraduate,FAMST   104,CALDWELL S,B-,1
W21,Undergraduate,FAMST   104,CALDWELL S,C,1
W21,Undergraduate,FAMST   104,CALDWELL S,C-,1
W21,Undergraduate,FAMST   104,CALDWELL S,D,1
W21,Undergraduate,FAMST   106B,JACKSON W E,A+,3
W21,Undergraduate,FAMST   106B,JACKSON W E,A,12
W21,Undergraduate,FAMST   106B,JENKINS C L,A+,1
W21,Undergraduate,FAMST   106B,JENKINS C L,A,4
W21,Undergraduate,FAMST   106B,JENKINS C L,A-,4
W21,Undergraduate,FAMST   106B,JENKINS C L,B,4
W21,Undergraduate,FAMST   107,JENKINS C L,A+,1
W21,Undergraduate,FAMST   107,JENKINS C L,A,13
W21,Undergraduate,FAMST   107,JENKINS C L,A-,11
W21,Undergraduate,FAMST   107,JENKINS C L,B+,4
W21,Undergraduate,FAMST   107,JENKINS C L,B,4
W21,Undergraduate,FAMST   107,JENKINS C L,B-,1
W21,Undergraduate,FAMST   107,JENKINS C L,C,1
W21,Undergraduate,FAMST   107,JENKINS C L,F,1
W21,Undergraduate,FAMST   109GA,SHEREEN SAKR,A,11
W21,Undergraduate,FAMST   109GA,SHEREEN SAKR,A-,1
W21,Undergraduate,FAMST   109GA,SHEREEN SAKR,B+,2
W21,Undergraduate,FAMST   109GA,SHEREEN SAKR,C-,1
W21,Undergraduate,FAMST   113PW,STEINKELLNER,A+,5
W21,Undergraduate,FAMST   113PW,STEINKELLNER,A,14
W21,Undergraduate,FAMST   113PW,STEINKELLNER,A-,8
W21,Undergraduate,FAMST   115,HOLCOMB S J,A,1
W21,Undergraduate,FAMST   115,HOLCOMB S J,A-,2
W21,Undergraduate,FAMST   115,HOLCOMB S J,B+,6
W21,Undergraduate,FAMST   115,HOLCOMB S J,B,2
W21,Undergraduate,FAMST   115,HOLCOMB S J,C+,1
W21,Undergraduate,FAMST   115,HOLCOMB S J,F,2
W21,Undergraduate,FAMST   119ML,BLOOM P J,A+,2
W21,Undergraduate,FAMST   119ML,BLOOM P J,A,14
W21,Undergraduate,FAMST   119ML,BLOOM P J,A-,3
W21,Undergraduate,FAMST   119ML,BLOOM P J,B,3
W21,Undergraduate,FAMST   119ML,BLOOM P J,B-,2
W21,Undergraduate,FAMST   119ML,BLOOM P J,C+,1
W21,Undergraduate,FAMST   122ME,SHEREEN SAKR,A,20
W21,Undergraduate,FAMST   122ME,SHEREEN SAKR,A-,3
W21,Undergraduate,FAMST   122ME,SHEREEN SAKR,B+,1
W21,Undergraduate,FAMST   122ME,SHEREEN SAKR,B,1
W21,Undergraduate,FAMST   122ME,SHEREEN SAKR,C+,1
W21,Undergraduate,FAMST   163,FELANDO C L,A,14
W21,Undergraduate,FAMST   163,FELANDO C L,A-,14
W21,Undergraduate,FAMST   163,FELANDO C L,B+,11
