Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W21,Undergraduate,ES   1-  38A,GERSTENFELD P,P,7
W21,Undergraduate,GER       1G,KOMMERELL G,A+,5
W21,Undergraduate,GER       1G,KOMMERELL G,A,4
W21,Undergraduate,GER       1G,KOMMERELL G,A-,1
W21,Undergraduate,GER       2,GABRIEL V,A+,6
W21,Undergraduate,GER       2,GABRIEL V,A,7
W21,Undergraduate,GER       2,GABRIEL V,A-,2
W21,Undergraduate,GER       2,HOFMANN M J,A+,2
W21,Undergraduate,GER       2,HOFMANN M J,A,5
W21,Undergraduate,GER       2,HOFMANN M J,A-,1
W21,Undergraduate,GER       2,HOFMANN M J,B+,1
W21,Undergraduate,GER       2,HOFMANN M J,B,1
W21,Undergraduate,GER       2,PAJAK A K,A+,11
W21,Undergraduate,GER       2,PAJAK A K,A,8
W21,Undergraduate,GER       2,PAJAK A K,B-,1
W21,Undergraduate,GER       2,REDER E R,A+,8
W21,Undergraduate,GER       2,REDER E R,A,4
W21,Undergraduate,GER       2,REDER E R,A-,2
W21,Undergraduate,GER       2,REDER E R,B+,1
W21,Undergraduate,GER       2,WHITE K D,A+,9
W21,Undergraduate,GER       2,WHITE K D,A,27
W21,Undergraduate,GER       2,WHITE K D,A-,3
W21,Undergraduate,GER       2,WHITE K D,B+,2
W21,Undergraduate,GER       2,WHITE K D,B,2
W21,Undergraduate,GER       5,HOFMANN M J,A+,3
W21,Undergraduate,GER       5,HOFMANN M J,A,11
W21,Undergraduate,GER       5,HOFMANN M J,A-,2
W21,Undergraduate,GER       5,HOFMANN M J,B+,1
W21,Undergraduate,GER       5,HOFMANN M J,B,1
W21,Undergraduate,GER       5,HOFMANN M J,B-,1
W21,Undergraduate,GER       5,PAJAK A K,A+,13
W21,Undergraduate,GER       5,PAJAK A K,A,4
W21,Undergraduate,GER       5,PAJAK A K,B,2
W21,Undergraduate,GER       5,PAJAK A K,F,1
W21,Undergraduate,GER       5,REDER E R,A+,10
W21,Undergraduate,GER       5,REDER E R,A,7
W21,Undergraduate,GER       5,REDER E R,C,1
W21,Undergraduate,GER       5,REDER E R,D,1
W21,Undergraduate,GER      35,KITTLER W D,A+,4
W21,Undergraduate,GER      35,KITTLER W D,A,11
W21,Undergraduate,GER      35,KITTLER W D,A-,5
W21,Undergraduate,GER      35,KITTLER W D,B+,7
W21,Undergraduate,GER      35,KITTLER W D,B,6
W21,Undergraduate,GER      35,KITTLER W D,B-,2
W21,Undergraduate,GER      35,KITTLER W D,C,2
W21,Undergraduate,GER      35,KITTLER W D,F,3
W21,Undergraduate,GER     101B,REDER E R,A+,12
W21,Undergraduate,GER     101B,REDER E R,A,20
W21,Undergraduate,GER     101B,REDER E R,B,2
W21,Undergraduate,GER     101B,WHITE K D,A+,11
W21,Undergraduate,GER     101B,WHITE K D,A,4
W21,Undergraduate,GER     101B,WHITE K D,B,1
W21,Undergraduate,GER     101B,WHITE K D,C,1
W21,Undergraduate,GER     107A,GABRIEL V,A+,5
W21,Undergraduate,GER     107A,GABRIEL V,A,13
W21,Undergraduate,GER     107A,GABRIEL V,A-,2
W21,Undergraduate,GER     107A,GABRIEL V,C-,1
W21,Undergraduate,GER     161,LOVETT D W,A+,1
W21,Undergraduate,GER     161,LOVETT D W,A,6
W21,Undergraduate,GER     161,LOVETT D W,A-,1
W21,Undergraduate,GER     161,LOVETT D W,B+,2
W21,Undergraduate,GER     161,LOVETT D W,C,1
W21,Undergraduate,GER     179B,WOLFSON E R,A,3
W21,Undergraduate,GER     179B,WOLFSON E R,A-,2
W21,Undergraduate,GER     179B,WOLFSON E R,B,4
W21,Undergraduate,GER     179B,WOLFSON E R,B-,1
W21,Undergraduate,GER     179B,WOLFSON E R,C,1
W21,Undergraduate,GER     179C,OFFERT F,A+,1
W21,Undergraduate,GER     179C,OFFERT F,A,8
W21,Undergraduate,GER     179C,OFFERT F,A-,4
W21,Undergraduate,GER     179C,OFFERT F,B+,4
W21,Undergraduate,GER     179C,OFFERT F,B,4
W21,Undergraduate,GER     179C,OFFERT F,F,2
W21,Undergraduate,INT     186AF,GERMAN T C M,P,17
W21,Undergraduate,PSY     145,GERMAN T C M,A+,62
W21,Undergraduate,PSY     145,GERMAN T C M,A,26
W21,Undergraduate,PSY     145,GERMAN T C M,A-,3
W21,Undergraduate,PSY     145,GERMAN T C M,B+,2
W21,Undergraduate,PSY     145,GERMAN T C M,B,2
W21,Undergraduate,PSY     145,GERMAN T C M,C,1
W21,Undergraduate,PSY     145,GERMAN T C M,D,1
W21,Undergraduate,PSY     199P,GERMAN T C M,P,7
