Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W21,Undergraduate,MATRL    10,STEMMER S,A+,2
W21,Undergraduate,MATRL    10,STEMMER S,A,3
W21,Undergraduate,MATRL    10,STEMMER S,A-,3
W21,Undergraduate,MATRL    10,STEMMER S,B+,3
W21,Undergraduate,MATRL    10,STEMMER S,B-,4
W21,Undergraduate,MATRL    10,STEMMER S,C+,1
W21,Undergraduate,MATRL    10,STEMMER S,C,1
W21,Undergraduate,MATRL    10,STEMMER S,D+,1
W21,Undergraduate,MATRL   100B,GIANOLA D S,A,27
W21,Undergraduate,MATRL   100B,GIANOLA D S,A-,6
W21,Undergraduate,MATRL   100B,GIANOLA D S,B+,1
W21,Undergraduate,MATRL   100B,GIANOLA D S,B-,1
W21,Undergraduate,MATRL   100B,GIANOLA D S,C+,1
W21,Undergraduate,MATRL   101,BATES C M,A,48
W21,Undergraduate,MATRL   101,BATES C M,A-,13
W21,Undergraduate,MATRL   101,BATES C M,B+,9
W21,Undergraduate,MATRL   101,BATES C M,B,6
W21,Undergraduate,MATRL   101,BATES C M,B-,1
W21,Undergraduate,MATRL   101,BATES C M,C+,3
W21,Undergraduate,MATRL   101,BATES C M,C,3
W21,Undergraduate,MATRL   101,BATES C M,F,2
W21,Undergraduate,MATRL   135,SAFINYA C R,A+,3
W21,Undergraduate,MATRL   135,SAFINYA C R,A,2
W21,Graduate,MATRL   200B,HARTER J W,A+,2
W21,Graduate,MATRL   200B,HARTER J W,A,2
W21,Graduate,MATRL   200B,HARTER J W,A-,6
W21,Graduate,MATRL   200B,HARTER J W,B+,6
W21,Graduate,MATRL   200B,HARTER J W,B,4
W21,Graduate,MATRL   204,WILSON S D,A+,2
W21,Graduate,MATRL   204,WILSON S D,A,5
W21,Graduate,MATRL   206A,SPECK J S,A+,2
W21,Graduate,MATRL   206A,SPECK J S,A,4
W21,Graduate,MATRL   218,SESHADRI R,A+,5
W21,Graduate,MATRL   218,SESHADRI R,A,5
W21,Graduate,MATRL   218,SESHADRI R,A-,2
W21,Graduate,MATRL   219,VAN DER VEN A,A+,3
W21,Graduate,MATRL   219,VAN DER VEN A,A,8
W21,Graduate,MATRL   219,VAN DER VEN A,B+,1
W21,Graduate,MATRL   220,POLLOCK T M,A,7
W21,Graduate,MATRL   220,POLLOCK T M,A-,2
W21,Graduate,MATRL   220,POLLOCK T M,B+,1
W21,Graduate,MATRL   222A,PITENIS A A,A,6
W21,Graduate,MATRL   240,BEGLEY M R,A,5
W21,Graduate,MATRL   245,CLEMENT R J,A+,1
W21,Graduate,MATRL   245,CLEMENT R J,A,9
W21,Graduate,MATRL   245,CLEMENT R J,A-,2
W21,Graduate,MATRL   245,CLEMENT R J,B+,1
W21,Graduate,MATRL   245,CLEMENT R J,B,2
W21,Graduate,MATRL   268A,KLAMKIN J,A,5
W21,Graduate,MATRL   268A,KLAMKIN J,A-,1
W21,Graduate,MATRL   271B,SALEH O A,A+,1
W21,Graduate,MATRL   271B,SALEH O A,A,3
W21,Graduate,MATRL   271B,SALEH O A,A-,1
W21,Graduate,MATRL   271B,SALEH O A,B,1
W21,Graduate,MATRL   281,HAWKER C J,A+,3
W21,Graduate,MATRL   281,HAWKER C J,A,14
W21,Graduate,MATRL   288A,VAN DE WALLE,A+,3
W21,Graduate,MATRL   288A,VAN DE WALLE,A,5
W21,Graduate,MATRL   288A,VAN DE WALLE,B+,1
W21,Graduate,MATRL   290,BEYERLEIN I J,S,7
W21,Graduate,MATRL   290,BOWERS J E,S,5
W21,Graduate,MATRL   290,CHABINYC M L,S,6
W21,Graduate,MATRL   290,CLEMENT R J,S,10
W21,Graduate,MATRL   290,DENBAARS S P,S,8
W21,Graduate,MATRL   290,NAKAMURA S,S,5
W21,Graduate,MATRL   290,PALMSTROM C J,S,7
W21,Graduate,MATRL   290,POLLOCK T M,S,14
W21,Graduate,MATRL   290,SESHADRI R,S,8
W21,Graduate,MATRL   290,SPECK J S,S,10
W21,Graduate,MATRL   290,STEMMER S,S,9
W21,Graduate,MATRL   290,VAN DER VEN A,S,8
W21,Graduate,MATRL   290,WILSON S D,S,8
W21,Graduate,MATRL   290,ZOK F,S,9
W21,Graduate,MATRL   598,CLEMENT R J,S,6
W21,Graduate,MATRL   598,POLLOCK T M,S,8
W21,Graduate,MATRL   598,SESHADRI R,S,5
W21,Graduate,MATRL   598,VAN DER VEN A,S,6
W21,Graduate,MATRL   598,ZOK F,S,5
W21,Graduate,MATRL   599,POLLOCK T M,S,5
W21,Graduate,MATRL   599,SPECK J S,S,6
W21,Graduate,MATRL   599,STEMMER S,S,5
