Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W22,Undergraduate,CHEM      1A,PRICE S P,A,91
W22,Undergraduate,CHEM      1A,PRICE S P,A-,11
W22,Undergraduate,CHEM      1A,PRICE S P,A+,14
W22,Undergraduate,CHEM      1A,PRICE S P,B,116
W22,Undergraduate,CHEM      1A,PRICE S P,B-,10
W22,Undergraduate,CHEM      1A,PRICE S P,B+,20
W22,Undergraduate,CHEM      1A,PRICE S P,C,174
W22,Undergraduate,CHEM      1A,PRICE S P,C+,18
W22,Undergraduate,CHEM      1A,PRICE S P,D,91
W22,Undergraduate,CHEM      1A,PRICE S P,F,74
W22,Undergraduate,CHEM      1AL,BERNT C M,A,64
W22,Undergraduate,CHEM      1AL,BERNT C M,A-,20
W22,Undergraduate,CHEM      1AL,BERNT C M,A+,8
W22,Undergraduate,CHEM      1AL,BERNT C M,B,50
W22,Undergraduate,CHEM      1AL,BERNT C M,B-,21
W22,Undergraduate,CHEM      1AL,BERNT C M,B+,33
W22,Undergraduate,CHEM      1AL,BERNT C M,C,42
W22,Undergraduate,CHEM      1AL,BERNT C M,C-,9
W22,Undergraduate,CHEM      1AL,BERNT C M,C+,10
W22,Undergraduate,CHEM      1AL,BERNT C M,D,19
W22,Undergraduate,CHEM      1AL,BERNT C M,D-,1
W22,Undergraduate,CHEM      1AL,BERNT C M,D+,7
W22,Undergraduate,CHEM      1AL,BERNT C M,F,30
W22,Undergraduate,CHEM      1B,ANYIKA M,A,25
W22,Undergraduate,CHEM      1B,ANYIKA M,A-,21
W22,Undergraduate,CHEM      1B,ANYIKA M,A+,1
W22,Undergraduate,CHEM      1B,ANYIKA M,B,39
W22,Undergraduate,CHEM      1B,ANYIKA M,B-,27
W22,Undergraduate,CHEM      1B,ANYIKA M,B+,28
W22,Undergraduate,CHEM      1B,ANYIKA M,C,59
W22,Undergraduate,CHEM      1B,ANYIKA M,C+,25
W22,Undergraduate,CHEM      1B,ANYIKA M,D,16
W22,Undergraduate,CHEM      1B,ANYIKA M,D-,16
W22,Undergraduate,CHEM      1B,ANYIKA M,D+,9
W22,Undergraduate,CHEM      1B,ANYIKA M,F,21
W22,Undergraduate,CHEM      1B,FELDWINN D L,A,39
W22,Undergraduate,CHEM      1B,FELDWINN D L,A-,2
W22,Undergraduate,CHEM      1B,FELDWINN D L,B,28
W22,Undergraduate,CHEM      1B,FELDWINN D L,B-,19
W22,Undergraduate,CHEM      1B,FELDWINN D L,B+,6
W22,Undergraduate,CHEM      1B,FELDWINN D L,C,90
W22,Undergraduate,CHEM      1B,FELDWINN D L,C+,15
W22,Undergraduate,CHEM      1B,FELDWINN D L,D,6
W22,Undergraduate,CHEM      1B,FELDWINN D L,D-,7
W22,Undergraduate,CHEM      1B,FELDWINN D L,D+,8
W22,Undergraduate,CHEM      1B,FELDWINN D L,F,41
W22,Undergraduate,CHEM      1B,JOSEPH C A,A,80
W22,Undergraduate,CHEM      1B,JOSEPH C A,A-,34
W22,Undergraduate,CHEM      1B,JOSEPH C A,A+,10
W22,Undergraduate,CHEM      1B,JOSEPH C A,B,106
W22,Undergraduate,CHEM      1B,JOSEPH C A,B-,33
W22,Undergraduate,CHEM      1B,JOSEPH C A,B+,36
W22,Undergraduate,CHEM      1B,JOSEPH C A,C,127
W22,Undergraduate,CHEM      1B,JOSEPH C A,C-,5
W22,Undergraduate,CHEM      1B,JOSEPH C A,C+,39
W22,Undergraduate,CHEM      1B,JOSEPH C A,D,49
W22,Undergraduate,CHEM      1B,JOSEPH C A,D-,5
W22,Undergraduate,CHEM      1B,JOSEPH C A,D+,23
W22,Undergraduate,CHEM      1B,JOSEPH C A,F,14
W22,Undergraduate,CHEM      1B,SEPUNARU L,A,13
W22,Undergraduate,CHEM      1B,SEPUNARU L,A-,10
W22,Undergraduate,CHEM      1B,SEPUNARU L,A+,5
W22,Undergraduate,CHEM      1B,SEPUNARU L,B,23
W22,Undergraduate,CHEM      1B,SEPUNARU L,B-,10
W22,Undergraduate,CHEM      1B,SEPUNARU L,B+,13
W22,Undergraduate,CHEM      1B,SEPUNARU L,C,33
W22,Undergraduate,CHEM      1B,SEPUNARU L,C+,16
W22,Undergraduate,CHEM      1B,SEPUNARU L,D,9
W22,Undergraduate,CHEM      1B,SEPUNARU L,D-,3
W22,Undergraduate,CHEM      1B,SEPUNARU L,D+,4
W22,Undergraduate,CHEM      1B,SEPUNARU L,F,23
W22,Undergraduate,CHEM      1B,SYLVESTER B M,A,58
W22,Undergraduate,CHEM      1B,SYLVESTER B M,A-,21
W22,Undergraduate,CHEM      1B,SYLVESTER B M,A+,1
W22,Undergraduate,CHEM      1B,SYLVESTER B M,B,58
W22,Undergraduate,CHEM      1B,SYLVESTER B M,B-,41
W22,Undergraduate,CHEM      1B,SYLVESTER B M,B+,29
W22,Undergraduate,CHEM      1B,SYLVESTER B M,C,133
W22,Undergraduate,CHEM      1B,SYLVESTER B M,C+,37
W22,Undergraduate,CHEM      1B,SYLVESTER B M,D,20
W22,Undergraduate,CHEM      1B,SYLVESTER B M,D-,20
W22,Undergraduate,CHEM      1B,SYLVESTER B M,D+,14
W22,Undergraduate,CHEM      1B,SYLVESTER B M,F,47
W22,Undergraduate,CHEM      1BL,BERNT C M,A,300
W22,Undergraduate,CHEM      1BL,BERNT C M,A-,127
W22,Undergraduate,CHEM      1BL,BERNT C M,A+,18
W22,Undergraduate,CHEM      1BL,BERNT C M,B,195
W22,Undergraduate,CHEM      1BL,BERNT C M,B-,40
W22,Undergraduate,CHEM      1BL,BERNT C M,B+,112
W22,Undergraduate,CHEM      1BL,BERNT C M,C,97
W22,Undergraduate,CHEM      1BL,BERNT C M,C-,13
W22,Undergraduate,CHEM      1BL,BERNT C M,C+,42
