Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W22,Undergraduate,CNCSPW  116,ISRAEL T,A,132
W22,Undergraduate,CNCSPW  116,ISRAEL T,A-,22
W22,Undergraduate,CNCSPW  116,ISRAEL T,B,7
W22,Undergraduate,CNCSPW  116,ISRAEL T,B-,8
W22,Undergraduate,CNCSPW  116,ISRAEL T,B+,10
W22,Undergraduate,CNCSPW  116,ISRAEL T,C,5
W22,Undergraduate,CNCSPW  116,ISRAEL T,C-,1
W22,Undergraduate,CNCSPW  116,ISRAEL T,D,2
W22,Undergraduate,CNCSPW  116,ISRAEL T,D+,2
W22,Undergraduate,CNCSPW  116,ISRAEL T,F,5
