Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W22,Undergraduate,ECE       1A,WANG L C,P,84
W22,Undergraduate,ECE       5,HESPANHA J P,A,74
W22,Undergraduate,ECE       5,HESPANHA J P,A-,1
W22,Undergraduate,ECE       5,HESPANHA J P,A+,9
W22,Undergraduate,ECE      10A,BUCKWALTER J,A,7
W22,Undergraduate,ECE      10A,BUCKWALTER J,A-,4
W22,Undergraduate,ECE      10A,BUCKWALTER J,A+,2
W22,Undergraduate,ECE      10A,BUCKWALTER J,B,1
W22,Undergraduate,ECE      10A,BUCKWALTER J,B+,1
W22,Undergraduate,ECE      10A,BUCKWALTER J,C+,2
W22,Undergraduate,ECE      10A,BUCKWALTER J,D+,1
W22,Undergraduate,ECE      10AL,BUCKWALTER J,A,9
W22,Undergraduate,ECE      10AL,BUCKWALTER J,A-,1
W22,Undergraduate,ECE      10AL,BUCKWALTER J,C+,1
W22,Undergraduate,ECE      10AL,BUCKWALTER J,F,2
W22,Undergraduate,ECE      10B,SCHOW C L,A,8
W22,Undergraduate,ECE      10B,SCHOW C L,A-,11
W22,Undergraduate,ECE      10B,SCHOW C L,A+,1
W22,Undergraduate,ECE      10B,SCHOW C L,B,39
W22,Undergraduate,ECE      10B,SCHOW C L,B-,22
W22,Undergraduate,ECE      10B,SCHOW C L,B+,12
W22,Undergraduate,ECE      10B,SCHOW C L,C,10
W22,Undergraduate,ECE      10B,SCHOW C L,C+,10
W22,Undergraduate,ECE      10B,SCHOW C L,D,13
W22,Undergraduate,ECE      10B,SCHOW C L,F,2
W22,Undergraduate,ECE      10BL,SCHOW C L,A,77
W22,Undergraduate,ECE      10BL,SCHOW C L,A-,6
W22,Undergraduate,ECE      10BL,SCHOW C L,A+,41
W22,Undergraduate,ECE      10BL,SCHOW C L,B+,3
W22,Undergraduate,ECE      15A,ZHANG Z,A,23
W22,Undergraduate,ECE      15A,ZHANG Z,A-,33
W22,Undergraduate,ECE      15A,ZHANG Z,A+,3
W22,Undergraduate,ECE      15A,ZHANG Z,B,23
W22,Undergraduate,ECE      15A,ZHANG Z,B-,8
W22,Undergraduate,ECE      15A,ZHANG Z,B+,28
W22,Undergraduate,ECE      15A,ZHANG Z,C,1
W22,Undergraduate,ECE      15A,ZHANG Z,C-,1
W22,Undergraduate,ECE      15A,ZHANG Z,C+,21
W22,Undergraduate,ECE      15A,ZHANG Z,D-,1
W22,Undergraduate,ECE      15A,ZHANG Z,F,4
W22,Undergraduate,ECE     120A,MOODY G A,A,20
W22,Undergraduate,ECE     120A,MOODY G A,A-,6
W22,Undergraduate,ECE     120A,MOODY G A,A+,5
W22,Undergraduate,ECE     120A,MOODY G A,B,5
W22,Undergraduate,ECE     120A,MOODY G A,B+,4
W22,Undergraduate,ECE     130A,MARDEN J R,A,3
W22,Undergraduate,ECE     130A,MARDEN J R,A-,2
W22,Undergraduate,ECE     130A,MARDEN J R,A+,3
W22,Undergraduate,ECE     130A,MARDEN J R,B,1
W22,Undergraduate,ECE     130A,MARDEN J R,B-,2
W22,Undergraduate,ECE     130A,MARDEN J R,B+,3
W22,Undergraduate,ECE     130A,MARDEN J R,C,1
W22,Undergraduate,ECE     130A,MARDEN J R,C-,1
W22,Undergraduate,ECE     130A,MARDEN J R,C+,2
W22,Undergraduate,ECE     130A,MARDEN J R,D-,3
W22,Undergraduate,ECE     130A,MARDEN J R,D+,1
W22,Undergraduate,ECE     130A,MARDEN J R,F,4
W22,Undergraduate,ECE     130B,MADHOW U,A,13
W22,Undergraduate,ECE     130B,MADHOW U,A-,11
W22,Undergraduate,ECE     130B,MADHOW U,A+,7
W22,Undergraduate,ECE     130B,MADHOW U,B,7
W22,Undergraduate,ECE     130B,MADHOW U,B-,6
W22,Undergraduate,ECE     130B,MADHOW U,B+,7
W22,Undergraduate,ECE     130B,MADHOW U,C,4
W22,Undergraduate,ECE     130B,MADHOW U,C-,2
W22,Undergraduate,ECE     130B,MADHOW U,C+,4
W22,Undergraduate,ECE     130B,MADHOW U,F,4
W22,Undergraduate,ECE     137A,RODWELL M J,A,10
W22,Undergraduate,ECE     137A,RODWELL M J,A-,9
W22,Undergraduate,ECE     137A,RODWELL M J,A+,2
W22,Undergraduate,ECE     137A,RODWELL M J,B,7
W22,Undergraduate,ECE     137A,RODWELL M J,B-,9
W22,Undergraduate,ECE     137A,RODWELL M J,B+,7
W22,Undergraduate,ECE     137A,RODWELL M J,C,9
W22,Undergraduate,ECE     137A,RODWELL M J,C-,4
W22,Undergraduate,ECE     137A,RODWELL M J,C+,7
W22,Undergraduate,ECE     137A,RODWELL M J,D,2
W22,Undergraduate,ECE     137A,RODWELL M J,F,4
W22,Undergraduate,ECE     144,DAGLI N,A,6
W22,Undergraduate,ECE     144,DAGLI N,A-,5
W22,Undergraduate,ECE     144,DAGLI N,A+,3
W22,Undergraduate,ECE     144,DAGLI N,B,3
W22,Undergraduate,ECE     144,DAGLI N,C,2
W22,Undergraduate,ECE     144,DAGLI N,C-,1
W22,Undergraduate,ECE     144,DAGLI N,D,2
W22,Undergraduate,ECE     144,DAGLI N,D-,1
W22,Undergraduate,ECE     145B,BUCKWALTER J,A,3
W22,Undergraduate,ECE     145B,BUCKWALTER J,B,2
W22,Undergraduate,ECE     145B,BUCKWALTER J,B+,1
W22,Undergraduate,ECE     146A,MOSTOFI Y C,A,6
W22,Undergraduate,ECE     146A,MOSTOFI Y C,A-,2
W22,Undergraduate,ECE     146A,MOSTOFI Y C,A+,2
W22,Undergraduate,ECE     146A,MOSTOFI Y C,B+,3
W22,Undergraduate,ECE     146A,MOSTOFI Y C,C,1
W22,Undergraduate,ECE     147B,BYL K A,A,1
W22,Undergraduate,ECE     147B,BYL K A,A-,3
W22,Undergraduate,ECE     147B,BYL K A,A+,1
W22,Undergraduate,ECE     147B,BYL K A,B,1
W22,Undergraduate,ECE     147B,BYL K A,B-,1
W22,Undergraduate,ECE     147B,BYL K A,B+,1
W22,Undergraduate,ECE     147B,BYL K A,C,2
W22,Undergraduate,ECE     147B,BYL K A,C+,3
W22,Undergraduate,ECE     153B,ISUKAPALLI Y,A,16
W22,Undergraduate,ECE     153B,ISUKAPALLI Y,A-,15
W22,Undergraduate,ECE     153B,ISUKAPALLI Y,A+,7
W22,Undergraduate,ECE     153B,ISUKAPALLI Y,B,16
W22,Undergraduate,ECE     153B,ISUKAPALLI Y,B-,1
W22,Undergraduate,ECE     153B,ISUKAPALLI Y,B+,5
W22,Undergraduate,ECE     153B,ISUKAPALLI Y,C,1
W22,Undergraduate,ECE     153B,ISUKAPALLI Y,C+,1
W22,Undergraduate,ECE     154B,STRUKOV D B,A,8
W22,Undergraduate,ECE     154B,STRUKOV D B,A+,1
W22,Undergraduate,ECE     157B,WANG L C,A,3
W22,Undergraduate,ECE     157B,WANG L C,A-,9
W22,Undergraduate,ECE     157B,WANG L C,A+,2
W22,Undergraduate,ECE     157B,WANG L C,B,1
W22,Undergraduate,ECE     157B,WANG L C,B-,2
W22,Undergraduate,ECE     162B,DENBAARS S P,A,3
W22,Undergraduate,ECE     162B,DENBAARS S P,A-,2
W22,Undergraduate,ECE     162B,DENBAARS S P,A+,2
W22,Undergraduate,ECE     181,MANJUNATH B S,A,3
W22,Undergraduate,ECE     181,MANJUNATH B S,A-,17
W22,Undergraduate,ECE     181,MANJUNATH B S,A+,1
W22,Undergraduate,ECE     181,MANJUNATH B S,B,8
W22,Undergraduate,ECE     181,MANJUNATH B S,B-,4
W22,Undergraduate,ECE     181,MANJUNATH B S,B+,9
W22,Undergraduate,ECE     181,MANJUNATH B S,C,5
W22,Undergraduate,ECE     181,MANJUNATH B S,C+,4
W22,Undergraduate,ECE     188B,ABDOLEE R,A,50
W22,Undergraduate,ECE     188B,ABDOLEE R,A-,15
W22,Undergraduate,ECE     188B,ABDOLEE R,B,1
W22,Undergraduate,ECE     188B,ABDOLEE R,B-,2
W22,Undergraduate,ECE     188B,ABDOLEE R,B+,2
W22,Undergraduate,ECE     189B,ISUKAPALLI Y,A,13
W22,Undergraduate,ECE     189B,ISUKAPALLI Y,A-,4
W22,Undergraduate,ECE     189B,ISUKAPALLI Y,A+,18
W22,Undergraduate,ECE     189B,ISUKAPALLI Y,B+,1
W22,Undergraduate,ECE     189B,ISUKAPALLI Y,D,1
W22,Undergraduate,ECE     194M,SEN P,A,4
W22,Undergraduate,ECE     194M,SEN P,A-,1
W22,Undergraduate,ECE     194M,SEN P,A+,8
