Quarter,Course Level,Course,Instructor,Grade Given,Sum of Student Count
W22,Undergraduate,ES   1-  15A,BARIL D J,NP,3
W22,Undergraduate,ES   1-  15A,BARIL D J,P,82
W22,Undergraduate,ES   1-  15B,BARIL D J,NP,13
W22,Undergraduate,ES   1-  15B,BARIL D J,P,70
W22,Undergraduate,ES   1-  15C,BARIL D J,NP,4
W22,Undergraduate,ES   1-  15C,BARIL D J,P,25
W22,Undergraduate,ES   1-  17,SILVA M M,F,2
W22,Undergraduate,ES   1-  17,SILVA M M,NP,5
W22,Undergraduate,ES   1-  17,SILVA M M,P,69
W22,Undergraduate,ES   1-  22,LASS S,P,5
W22,Undergraduate,ES   1-  32,GALICINAO B M,P,6
W22,Undergraduate,ES   1-  33,ROSEN J,P,19
W22,Undergraduate,ES   1-  42,FLEMING C K,P,22
W22,Undergraduate,ES   1-  43D,JAMIESON A E,NP,12
W22,Undergraduate,ES   1-  43D,JAMIESON A E,P,295
W22,Undergraduate,ES   1-  45,WIGO W N,P,6
W22,Undergraduate,ES   1-  47,WELCH N L,NP,1
W22,Undergraduate,ES   1-  47,WELCH N L,P,5
W22,Undergraduate,ES   1-  48,STUMPF P A,P,10
W22,Undergraduate,ES   1-  48,VOM STEEG T H,P,10
