Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
W22,Undergraduate,SLAV    130C,DELCHEVA M P,A,12
W22,Undergraduate,SLAV    130C,DELCHEVA M P,A-,7
W22,Undergraduate,SLAV    130C,DELCHEVA M P,B,2
W22,Undergraduate,SLAV    130C,DELCHEVA M P,B-,2
W22,Undergraduate,SLAV    130C,DELCHEVA M P,C,1
W22,Undergraduate,SLAV    130C,DELCHEVA M P,F,1
W22,Undergraduate,SLAV    168,SPIEKER S,A,11
W22,Undergraduate,SLAV    168,SPIEKER S,B,1
W22,Undergraduate,SLAV    168,SPIEKER S,F,1
W22,Undergraduate,SLAV    175A,MOVSESIAN H,A,7
W22,Undergraduate,SLAV    175A,MOVSESIAN H,A-,4
W22,Undergraduate,SLAV    175A,MOVSESIAN H,A+,3
W22,Undergraduate,SLAV    175A,MOVSESIAN H,B,2
W22,Undergraduate,SLAV    175A,MOVSESIAN H,B+,2
